	sd0	sd2	sdX	sr0	sr2	srX	dd0	dd2	ddX	dr0	dr2	drX
sd0	1	0.16666666666666666	0.16666666666666666	0.34666666666666657	0.22	0.22	0.0066666666666666645	-0.5266666666666665	-0.5266666666666665	0.07999999999999997	-0.29999999999999993	-0.29999999999999993
sd2	0.16666666666666666	1	0.9999999999999998	0.033333333333333326	0.7199999999999999	0.7199999999999999	0.8399999999999999	0.026666666666666658	0.026666666666666658	0.8066666666666665	0.0	0.0
sdX	0.16666666666666666	0.9999999999999998	1	0.033333333333333326	0.7199999999999999	0.7199999999999999	0.8399999999999999	0.026666666666666658	0.026666666666666658	0.8066666666666665	0.0	0.0
sr0	0.34666666666666657	0.033333333333333326	0.033333333333333326	1	0.2733333333333333	0.2733333333333333	-0.07333333333333332	-0.4999999999999999	-0.4999999999999999	0.06666666666666665	-0.8599999999999999	-0.8599999999999999
sr2	0.22	0.7199999999999999	0.7199999999999999	0.2733333333333333	1	0.9999999999999998	0.6533333333333332	-0.06666666666666665	-0.06666666666666665	0.7933333333333331	-0.25333333333333324	-0.25333333333333324
srX	0.22	0.7199999999999999	0.7199999999999999	0.2733333333333333	0.9999999999999998	1	0.6533333333333332	-0.06666666666666665	-0.06666666666666665	0.7933333333333331	-0.25333333333333324	-0.25333333333333324
dd0	0.0066666666666666645	0.8399999999999999	0.8399999999999999	-0.07333333333333332	0.6533333333333332	0.6533333333333332	1	0.18666666666666665	0.18666666666666665	0.8333333333333331	0.09333333333333332	0.09333333333333332
dd2	-0.5266666666666665	0.026666666666666658	0.026666666666666658	-0.4999999999999999	-0.06666666666666665	-0.06666666666666665	0.18666666666666665	1	0.9999999999999998	0.05999999999999999	0.5599999999999998	0.5599999999999998
ddX	-0.5266666666666665	0.026666666666666658	0.026666666666666658	-0.4999999999999999	-0.06666666666666665	-0.06666666666666665	0.18666666666666665	0.9999999999999998	1	0.05999999999999999	0.5599999999999998	0.5599999999999998
dr0	0.07999999999999997	0.8066666666666665	0.8066666666666665	0.06666666666666665	0.7933333333333331	0.7933333333333331	0.8333333333333331	0.05999999999999999	0.05999999999999999	1	-0.046666666666666655	-0.046666666666666655
dr2	-0.29999999999999993	0.0	0.0	-0.8599999999999999	-0.25333333333333324	-0.25333333333333324	0.09333333333333332	0.5599999999999998	0.5599999999999998	-0.046666666666666655	1	0.9999999999999998
drX	-0.29999999999999993	0.0	0.0	-0.8599999999999999	-0.25333333333333324	-0.25333333333333324	0.09333333333333332	0.5599999999999998	0.5599999999999998	-0.046666666666666655	0.9999999999999998	1
