	sd0	sd2	sdX	sr0	sr2	srX	dd0	dd2	ddX	dr0	dr2	drX
sd0	0	0.30469106597880624	0.30469106597880624	0.021914141428861025	0.1691165361794464	0.1691165361794464	0.9476251645766064	0.00014203286857710537	0.00014203286857710537	0.7147630179938111	0.04994695145286887	0.04994695145286887
sd2	0.30469106597880624	0	0.0	0.904131335446848	2.075031514074323e-09	2.075031514074323e-09	5.733043815027261e-13	0.9215035687808961	0.9215035687808961	2.0347452275450914e-12	0.8551673034402157	0.8551673034402157
sdX	0.30469106597880624	0.0	0	0.904131335446848	2.075031514074323e-09	2.075031514074323e-09	5.733043815027261e-13	0.9215035687808961	0.9215035687808961	2.0347452275450914e-12	0.8551673034402157	0.8551673034402157
sr0	0.021914141428861025	0.904131335446848	0.904131335446848	0	0.08197511194517204	0.08197511194517204	0.4787936059036386	0.00010317024482877786	0.00010317024482877786	0.8580349461734571	4.080805582974763e-14	4.080805582974763e-14
sr2	0.1691165361794464	2.075031514074323e-09	2.075031514074323e-09	0.08197511194517204	0	0.0	3.64009155957771e-07	0.6369836836671996	0.6369836836671996	7.020721162428648e-11	0.20115369650871265	0.20115369650871265
srX	0.1691165361794464	2.075031514074323e-09	2.075031514074323e-09	0.08197511194517204	0.0	0	3.64009155957771e-07	0.6369836836671996	0.6369836836671996	7.020721162428648e-11	0.20115369650871265	0.20115369650871265
dd0	0.9476251645766064	5.733043815027261e-13	5.733043815027261e-13	0.4787936059036386	3.64009155957771e-07	3.64009155957771e-07	0	0.19844887309568146	0.19844887309568146	2.3948235644928954e-13	0.35316974326493866	0.35316974326493866
dd2	0.00014203286857710537	0.9215035687808961	0.9215035687808961	0.00010317024482877786	0.6369836836671996	0.6369836836671996	0.19844887309568146	0	0.0	0.6213151863171391	1.4420529590621073e-05	1.4420529590621073e-05
ddX	0.00014203286857710537	0.9215035687808961	0.9215035687808961	0.00010317024482877786	0.6369836836671996	0.6369836836671996	0.19844887309568146	0.0	0	0.6213151863171391	1.4420529590621073e-05	1.4420529590621073e-05
dr0	0.7147630179938111	2.0347452275450914e-12	2.0347452275450914e-12	0.8580349461734571	7.020721162428648e-11	7.020721162428648e-11	2.3948235644928954e-13	0.6213151863171391	0.6213151863171391	0	0.941814892951957	0.941814892951957
dr2	0.04994695145286887	0.8551673034402157	0.8551673034402157	4.080805582974763e-14	0.20115369650871265	0.20115369650871265	0.35316974326493866	1.4420529590621073e-05	1.4420529590621073e-05	0.941814892951957	0	0.0
drX	0.04994695145286887	0.8551673034402157	0.8551673034402157	4.080805582974763e-14	0.20115369650871265	0.20115369650871265	0.35316974326493866	1.4420529590621073e-05	1.4420529590621073e-05	0.941814892951957	0.0	0
