	sd0	sd2	sdX	sr0	sr2	srX	dd0	dd2	ddX	dr0	dr2	drX
sd0	1	0.21384615384615385	0.21384615384615385	0.4561538461538461	0.28384615384615386	0.28384615384615386	-0.013846153846153848	-0.6884615384615385	-0.6884615384615385	0.07692307692307691	-0.3961538461538461	-0.3961538461538461
sd2	0.21384615384615385	1	1.0	0.025384615384615387	0.8923076923076924	0.8923076923076924	0.9484615384615384	0.02076923076923077	0.02076923076923077	0.9423076923076924	0.038461538461538464	0.038461538461538464
sdX	0.21384615384615385	1.0	1	0.025384615384615387	0.8923076923076924	0.8923076923076924	0.9484615384615384	0.02076923076923077	0.02076923076923077	0.9423076923076924	0.038461538461538464	0.038461538461538464
sr0	0.4561538461538461	0.025384615384615387	0.025384615384615387	1	0.3546153846153846	0.3546153846153846	-0.14846153846153848	-0.6984615384615384	-0.6984615384615384	0.037692307692307685	-0.9592307692307692	-0.9592307692307692
sr2	0.28384615384615386	0.8923076923076924	0.8923076923076924	0.3546153846153846	1	1.0	0.8261538461538462	-0.09923076923076923	-0.09923076923076923	0.9207692307692308	-0.2646153846153846	-0.2646153846153846
srX	0.28384615384615386	0.8923076923076924	0.8923076923076924	0.3546153846153846	1.0	1	0.8261538461538462	-0.09923076923076923	-0.09923076923076923	0.9207692307692308	-0.2646153846153846	-0.2646153846153846
dd0	-0.013846153846153848	0.9484615384615384	0.9484615384615384	-0.14846153846153848	0.8261538461538462	0.8261538461538462	1	0.2661538461538461	0.2661538461538461	0.9523076923076922	0.19384615384615386	0.19384615384615386
dd2	-0.6884615384615385	0.02076923076923077	0.02076923076923077	-0.6984615384615384	-0.09923076923076923	-0.09923076923076923	0.2661538461538461	1	1.0	0.10384615384615384	0.7523076923076923	0.7523076923076923
ddX	-0.6884615384615385	0.02076923076923077	0.02076923076923077	-0.6984615384615384	-0.09923076923076923	-0.09923076923076923	0.2661538461538461	1.0	1	0.10384615384615384	0.7523076923076923	0.7523076923076923
dr0	0.07692307692307691	0.9423076923076924	0.9423076923076924	0.037692307692307685	0.9207692307692308	0.9207692307692308	0.9523076923076922	0.10384615384615384	0.10384615384615384	1	0.015384615384615384	0.015384615384615384
dr2	-0.3961538461538461	0.038461538461538464	0.038461538461538464	-0.9592307692307692	-0.2646153846153846	-0.2646153846153846	0.19384615384615386	0.7523076923076923	0.7523076923076923	0.015384615384615384	1	1.0
drX	-0.3961538461538461	0.038461538461538464	0.038461538461538464	-0.9592307692307692	-0.2646153846153846	-0.2646153846153846	0.19384615384615386	0.7523076923076923	0.7523076923076923	0.015384615384615384	1.0	1
