	sd0	sd2	sdX	sr0	sr2	srX	dd0	dd2	ddX	dr0	dr2	drX
sd0	1	0.8110723237222169	0.8110723237222169	0.9002902493627672	0.8274995680325353	0.8274995680325353	0.7844172377900096	0.7290794156666265	0.7290794156666265	0.7954576640883242	0.7453195871814484	0.7453195871814484
sd2	0.8110723237222169	1	1.0	0.8001514372372399	0.8310108409790317	0.8310108409790317	0.8297483133617909	0.7748003168889807	0.7748003168889807	0.8464156224692305	0.7771778092406809	0.7771778092406809
sdX	0.8110723237222169	1.0	1	0.8001514372372399	0.8310108409790317	0.8310108409790317	0.8297483133617909	0.7748003168889807	0.7748003168889807	0.8464156224692305	0.7771778092406809	0.7771778092406809
sr0	0.9002902493627672	0.8001514372372399	0.8001514372372399	1	0.8335670266091005	0.8335670266091005	0.7652614817821706	0.77123688344652	0.77123688344652	0.7668093235998301	0.7611529148858182	0.7611529148858182
sr2	0.8274995680325353	0.8310108409790317	0.8310108409790317	0.8335670266091005	1	1.0	0.8148293376971574	0.7357561478499123	0.7357561478499123	0.8565213690272111	0.7687408068207686	0.7687408068207686
srX	0.8274995680325353	0.8310108409790317	0.8310108409790317	0.8335670266091005	1.0	1	0.8148293376971574	0.7357561478499123	0.7357561478499123	0.8565213690272111	0.7687408068207686	0.7687408068207686
dd0	0.7844172377900096	0.8297483133617909	0.8297483133617909	0.7652614817821706	0.8148293376971574	0.8148293376971574	1	0.783854673644619	0.783854673644619	0.851828411129106	0.7475380679456239	0.7475380679456239
dd2	0.7290794156666265	0.7748003168889807	0.7748003168889807	0.77123688344652	0.7357561478499123	0.7357561478499123	0.783854673644619	1	1.0	0.7731320452447759	0.9015989881433091	0.9015989881433091
ddX	0.7290794156666265	0.7748003168889807	0.7748003168889807	0.77123688344652	0.7357561478499123	0.7357561478499123	0.783854673644619	1.0	1	0.7731320452447759	0.9015989881433091	0.9015989881433091
dr0	0.7954576640883242	0.8464156224692305	0.8464156224692305	0.7668093235998301	0.8565213690272111	0.8565213690272111	0.851828411129106	0.7731320452447759	0.7731320452447759	1	0.760965513616495	0.760965513616495
dr2	0.7453195871814484	0.7771778092406809	0.7771778092406809	0.7611529148858182	0.7687408068207686	0.7687408068207686	0.7475380679456239	0.9015989881433091	0.9015989881433091	0.760965513616495	1	1.0
drX	0.7453195871814484	0.7771778092406809	0.7771778092406809	0.7611529148858182	0.7687408068207686	0.7687408068207686	0.7475380679456239	0.9015989881433091	0.9015989881433091	0.760965513616495	1.0	1
