	docprops1	docprops2	relfreqs1	relfreqs2	meanrelfreqs	sd0	sd2	sdX	sr0	sr2	srX	dd0	dd2	ddX	dr0	dr2	drX
monsieur	0.6906666666666667	0.010582010582010581	3.1373333333333338	0.01904761904761905	1.39882005899705	0.6800846560846561	0.6800846560846558	0.680084656084656	0.680084656084656	0.680084656084656	0.6800846560846557	-0.5895026406091362	-0.5895026455026454	-0.5895026455026454	-0.5895026397787296	0.1469247962719396	0.14692479627193974
chose	0.5466666666666666	0.10899470899470899	1.0066666666666668	0.12698412698412698	0.5162241887905605	0.43767195767195766	0.3681289738480004	0.3681289738480005	0.09057409305032199	0.2598214736857358	0.2598214736857359	-0.5895026451266026	-0.55883942027629	-0.55883942027629	-0.5895026452271531	0.171202314365837	0.1712023143658371
affaire|affairé	0.43866666666666665	0.026455026455026454	0.7440000000000001	0.02962962962962963	0.3457227138643068	0.4122116402116402	0.48719404694634627	0.4871940469463464	0.047041022467180726	0.3305461768860894	0.3305461768860894	-0.5895026442594296	-0.5551429993321977	-0.5551429993321977	-0.5895026446300359	0.1788003886651097	0.1788003886651098
homme	0.6373333333333333	0.2306878306878307	1.388	0.3470899470899471	0.8076696165191741	0.4066455026455026	0.24609607498555963	0.24609607498555963	0.13303151613345726	0.16646536940280687	0.16646536940280687	-0.5895026452955063	-0.5593927057096032	-0.5593927057096032	-0.5895026453636756	0.1498501215082036	0.14985012150820373
gens|gent	0.3626666666666667	0.050793650793650794	0.5733333333333334	0.07301587301587302	0.29439528023598827	0.3118730158730159	0.36499021538931226	0.36499021538931226	-0.009327365175616692	0.20471473055918016	0.20471473055918016	-0.5895026449673194	-0.5358260286626688	-0.5358260286626688	-0.5895026452297708	0.1859501711188938	0.18595017111889392
femme	0.43333333333333335	0.19365079365079366	0.9826666666666668	0.30158730158730157	0.6029498525073747	0.2396825396825397	0.16970468039886938	0.16970468039886938	0.03827421667697703	0.11495290938064465	0.11495290938064462	-0.5895026453348721	-0.51697988813188	-0.51697988813188	-0.5895026453894141	0.1702630606924909	0.170263060692491
monde	0.4013333333333333	0.1671957671957672	0.628	0.22328042328042327	0.40235988200589967	0.23413756613756612	0.18182178861912263	0.18182178861912257	-0.03450197531824235	0.07094572890955192	0.07094572890955195	-0.5895026453226755	-0.5151618371651319	-0.5151618371651319	-0.5895026454049032	0.18874509409606127	0.18874509409606138
plaisir	0.39066666666666666	0.16507936507936508	0.5613333333333334	0.21375661375661376	0.36755162241887906	0.2255873015873016	0.1767737657035673	0.17677376570356723	-0.04954989371210759	0.05477330816546283	0.05477330816546283	-0.5895026453252127	-0.5128301147108508	-0.5128301147108508	-0.5895026454113866	0.19254031796012602	0.1925403179601261
mariage	0.224	0.012698412698412698	0.34400000000000003	0.013756613756613757	0.15988200589970503	0.2113015873015873	0.3407568330156757	0.3407568330156757	-0.05411442895824671	0.20542534437804277	0.20542534437804277	-0.5895026441800754	-0.5163979529741247	-0.5163979529741247	-0.5895026446336447	0.19338351364855275	0.19338351364855286
air	0.284	0.08571428571428572	0.43866666666666665	0.09947089947089949	0.24955752212389384	0.19828571428571426	0.21800205112381155	0.21800205112381155	-0.05175692174320784	0.11536152718064244	0.11536152718064244	-0.5895026452542261	-0.5070719074550847	-0.5070719074550847	-0.5895026453493915	0.19389737209672728	0.1938973720967274
argent	0.2	0.0021164021164021165	0.33066666666666666	0.0021164021164021165	0.14749262536873156	0.19788359788359788	0.34881681016631866	0.34881681016631866	-0.05456029320695384	0.2243649998117413	0.22436499981174135	-0.5895026384174487	-0.5143596405917669	-0.5143596405917669	-0.5895026400730746	0.19316722078244403	0.19316722078244414
valet	0.18666666666666668	0.0031746031746031746	0.25466666666666665	0.0031746031746031746	0.1144542772861357	0.1834920634920635	0.3280451121654438	0.3280451121654438	-0.07485268982623655	0.17436990184749862	0.17436990184749862	-0.5895026410940785	-0.510359717536728	-0.510359717536728	-0.589502642714882	0.1975423229548783	0.19754232295487842
tort	0.24	0.0582010582010582	0.3213333333333333	0.06984126984126986	0.1811209439528024	0.1817989417989418	0.23239530959609	0.23239530959609	-0.07485268982623657	0.09460977992239467	0.09460977992239464	-0.5895026451934732	-0.5041156927837342	-0.5041156927837342	-0.589502645342757	0.19910611055903454	0.19910611055903465
esprit	0.476	0.30052910052910053	0.8653333333333335	0.42962962962962964	0.6224188790560473	0.17547089947089944	0.08276419273411229	0.08276419273411229	-0.026342659566902044	0.019234122503996365	0.019234122503996337	-0.5895026453838935	-0.5009314068357177	-0.5009314068357177	-0.5895026454326512	0.1774198393585828	0.1774198393585829
diable	0.16933333333333334	0.0	0.21866666666666665	0.0	0.0967551622418879	0.16933333333333334	0.31645556456760865	0.3164555645676087	-0.0834968829480458	0.1558404123367505	0.1558404123367505	0.680084656084656	-0.506857754048957	-0.506857754048957	0.1703963233445812	0.19956477228360692	0.19956477228360703
deux	0.6026666666666667	0.43492063492063493	1.154666666666667	0.7608465608465609	0.9351032448377581	0.16774603174603175	0.049037028409172276	0.04903702840917229	-0.03737222641929436	-0.035436417719756474	-0.03543641771975649	-0.5895026453987522	-0.5078730287482176	-0.5078730287482176	-0.5895026454499063	0.09862895880045784	0.09862895880045797
humeur	0.20533333333333334	0.039153439153439155	0.26133333333333336	0.03915343915343916	0.13746312684365783	0.16617989417989418	0.24012272052370787	0.24012272052370787	-0.08257171463197852	0.10577529371937006	0.10577529371937003	-0.5895026451094489	-0.5011760058415798	-0.5011760058415798	-0.5895026452706934	0.2005433354643073	0.20054333546430742
façon	0.18533333333333332	0.021164021164021163	0.2093333333333333	0.02328042328042328	0.1056047197640118	0.16416931216931216	0.2664491177152863	0.2664491177152863	-0.09208534303876667	0.0973967333821979	0.09739673338219784	-0.5895026448460838	-0.5024890258898176	-0.5024890258898176	-0.5895026451901665	0.20277031511834137	0.20277031511834148
raison	0.5106666666666667	0.3470899470899471	0.7906666666666667	0.491005291005291	0.623598820058997	0.1635767195767196	0.0635723777395264	0.06357237773952644	-0.06216785195051902	-0.02726069053605637	-0.02726069053605637	-0.5895026453923352	-0.4991885048453454	-0.49918850484534544	-0.5895026454466851	0.18568450234338102	0.18568450234338113
