Measure 1	Measure 2	RBO	Kendall's Tau	p-value	Spearman Rho	p-value
sd0-ranks	sd2-ranks	0.8110723237222169	0.16666666666666663	0.24290826090432394	0.21384615384615382	0.30469106597880624
sd0-ranks	sdX-ranks	0.8110723237222169	0.16666666666666663	0.24290826090432394	0.21384615384615382	0.30469106597880624
sd0-ranks	sr0-ranks	0.9002902493627672	0.34666666666666657	0.015144011070114455	0.45615384615384613	0.021914141428861025
sd0-ranks	sr2-ranks	0.8274995680325353	0.21999999999999997	0.12321267577886391	0.28384615384615386	0.16911653617944641
sd0-ranks	srX-ranks	0.8274995680325353	0.21999999999999997	0.12321267577886391	0.28384615384615386	0.16911653617944641
sd0-ranks	dd0-ranks	0.7844172377900096	0.006666666666666665	0.9627444106905073	-0.013846153846153848	0.9476251645766063
sd0-ranks	dd2-ranks	0.7290794156666265	-0.5266666666666665	0.00022417913702160757	-0.6884615384615385	0.00014203286857710537
sd0-ranks	ddX-ranks	0.7290794156666265	-0.5266666666666665	0.00022417913702160757	-0.6884615384615385	0.00014203286857710537
sd0-ranks	dr0-ranks	0.7954576640883242	0.07999999999999997	0.5751253201089747	0.07692307692307691	0.7147630179938111
sd0-ranks	dr2-ranks	0.7453195871814484	-0.29999999999999993	0.035557905699920955	-0.39615384615384613	0.04994695145286887
sd0-ranks	drX-ranks	0.7453195871814484	-0.29999999999999993	0.035557905699920955	-0.39615384615384613	0.04994695145286887
sd2-ranks	sdX-ranks	1.0	0.9999999999999998	2.44370149805819e-12	1.0	0.0
sd2-ranks	sr0-ranks	0.80015143723724	0.033333333333333326	0.8153345943552277	0.025384615384615387	0.9041313354468479
sd2-ranks	sr2-ranks	0.8310108409790317	0.7199999999999999	4.5429725564459613e-07	0.8923076923076924	2.075031514074323e-09
sd2-ranks	srX-ranks	0.8310108409790317	0.7199999999999999	4.5429725564459613e-07	0.8923076923076924	2.075031514074323e-09
sd2-ranks	dd0-ranks	0.829748313361791	0.8399999999999999	3.969675445187793e-09	0.9484615384615385	5.73304381502726e-13
sd2-ranks	dd2-ranks	0.7748003168889807	0.02666666666666666	0.85178628234001	0.020769230769230772	0.921503568780896
sd2-ranks	ddX-ranks	0.7748003168889807	0.02666666666666666	0.85178628234001	0.020769230769230772	0.921503568780896
sd2-ranks	dr0-ranks	0.8464156224692305	0.8066666666666665	1.5868175014478622e-08	0.9423076923076923	2.034745227545092e-12
sd2-ranks	dr2-ranks	0.7771778092406809	0.0	1.0	0.03846153846153846	0.8551673034402157
sd2-ranks	drX-ranks	0.7771778092406809	0.0	1.0	0.03846153846153846	0.8551673034402157
sdX-ranks	sr0-ranks	0.80015143723724	0.033333333333333326	0.8153345943552277	0.025384615384615387	0.9041313354468479
sdX-ranks	sr2-ranks	0.8310108409790317	0.7199999999999999	4.5429725564459613e-07	0.8923076923076924	2.075031514074323e-09
sdX-ranks	srX-ranks	0.8310108409790317	0.7199999999999999	4.5429725564459613e-07	0.8923076923076924	2.075031514074323e-09
sdX-ranks	dd0-ranks	0.829748313361791	0.8399999999999999	3.969675445187793e-09	0.9484615384615385	5.73304381502726e-13
