	idno	author-name	author-gender	title	year	supergenre	genre	genre-subtitle	availability	subgenre	narrative-perspective	decade	words	continent
ne0163	ne0163	BlascoIbanez	male	Arroz	1894	narrative	novel	n.av.	free	realist	heterodiegetic	1890	91009	Europe
ne0164	ne0164	BlascoIbanez	male	Barraca	1898	narrative	novel	n.av.	free	realist	heterodiegetic	1890	52803	Europe
ne0170	ne0170	Clarin	male	Cuesta	1891	narrative	novel	n.av.	free	erotic	autodiegetic	1890	18446	Europe
ne0325	ne0325	Clarin	male	Regenta	1885	narrative	novel	n.av.	free	realist	heterodiegetic	1880	141497	Europe
nh0081	nh0081	Bunge	male	Sangre	1903	narrative	novel	n.av.	free	historical	heterodiegetic	1900	79415	America
nh0111	nh0111	Bunge	male	Grande	1907	narrative	short novel	n.av.	free	historical	heterodiegetic	1900	8374	America
nh0082	nh0082	Bunge	male	Perez	1907	narrative	short novel	n.av.	free	sentimental	heterodiegetic	1900	12927	America
nh0011	nh0011	Cambaceres	male	Rumbo	1885	narrative	novel	n.av.	free	naturalistic	heterodiegetic	1880	33586	America
nh0012	nh0012	Cambaceres	male	Sangre	1887	narrative	novel	n.av.	free	naturalistic	heterodiegetic	1880	40831	America
nh0034	nh0034	Cambaceres	male	Musica	1884	narrative	novel	silbidos de un vago	free	naturalistic	homodiegetic	1880	40786	America
nh0129	nh0129	Cuellar	male	Fuerenos	1883	narrative	short novel	n.av.	free	costumbrista	heterodiegetic	1880	25050	America
nh0131	nh0131	Cuellar	male	BaileCochino	1886	narrative	novel	n.av.	free	costumbrista	heterodiegetic	1880	35039	America
nh0130	nh0130	Cuellar	male	NocheBuena	1890	narrative	short novel	Negativas tomadas del 24 al 25 de diciembre de 1882	free	costumbrista	heterodiegetic	1890	11668	America
nh0021	nh0021	Frias	male	Miserias	1916	narrative	novel	Novela	free	autobiographical	heterodiegetic	1910	23922	America
nh0022	nh0022	Frias	male	Tomochic	1895	narrative	novel	Novela histórica mexicana	free	historical	heterodiegetic	1890	62119	America
nh0123	nh0123	Frias	male	Realidades	1896	narrative	short novel	n.av.	free	social	heterodiegetic	1890	13943	America
nh0053	nh0053	Gutierrez	male	JuanMoreira	1880	narrative	novel	n.av.	free	gaucho	heterodiegetic	1880	82010	America
nh0054	nh0054	Gutierrez	male	Chacho	1884	narrative	novel	n.av.	free	gaucho	heterodiegetic	1880	144240	America
nh0055	nh0055	Gutierrez	male	Montoneros	1886	narrative	novel	Continuación de El Chacho	free	gaucho	heterodiegetic	1880	82370	America
nh0186	nh0186	Holmberg	male	BolsaHuesos	1896	narrative	novel	n.av.	free	crime	autodiegetic	1890	19414	America
nh0187	nh0187	Holmberg	male	Nelly	1896	narrative	novel	n.av.	free	fantastic	heterodiegetic	1890	19958	America
nh0185	nh0185	Holmberg	male	ViajeMaravillosoNicNac	1875	narrative	novel	n.av.	free	science fiction	autodiegetic	1870	34633	America
nh0003	nh0003	Payro	male	Laucha	1906	narrative	short novel	n.av.	free	costumbrista	autodiegetic	1900	12769	America
nh0002	nh0002	Payro	male	Moreira	1910	narrative	novel	divertidas aventuras	free	costumbrista	autodiegetic	1910	98942	America
nh0004	nh0004	Payro	male	Inca	1905	narrative	novel	n.av.	free	historical	heterodiegetic	1900	22000	America
nh0029	nh0029	Sicardi	male	Extrano	1894	narrative	novel	Tomo I	free	naturalistic	heterodiegetic	1890	99876	America
nh0031	nh0031	Sicardi	male	Paloche	1899	narrative	novel	"Libro extraño	 Tomo III"	free	naturalistic	heterodiegetic	1890	57725	America
nh0033	nh0033	Sicardi	male	Justicia	1902	narrative	novel	"Libro extraño	 Tomo V"	free	naturalistic	heterodiegetic	1900	66664	America
