	sd0	sd2	sdX	sr0	sr2	srX	dd0	dd2	ddX	dr0	dr2	drX
sd0	1	0.4230769230769231	0.4230769230769231	0.8276923076923076	0.5900000000000001	0.5900000000000001	0.1323076923076923	-0.8715384615384615	-0.8715384615384615	0.2946153846153846	-0.5569230769230769	-0.5569230769230769
sd2	0.4230769230769231	1	1.0	0.17923076923076922	0.936923076923077	0.936923076923077	0.9384615384615383	-0.21307692307692308	-0.21307692307692308	0.9515384615384614	0.21153846153846154	0.21153846153846154
sdX	0.4230769230769231	1.0	1	0.17923076923076922	0.936923076923077	0.936923076923077	0.9384615384615383	-0.21307692307692308	-0.21307692307692308	0.9515384615384614	0.21153846153846154	0.21153846153846154
sr0	0.8276923076923076	0.17923076923076922	0.17923076923076922	1	0.4292307692307693	0.4292307692307693	-0.12923076923076926	-0.933076923076923	-0.933076923076923	0.07461538461538461	-0.8753846153846153	-0.8753846153846153
sr2	0.5900000000000001	0.936923076923077	0.936923076923077	0.4292307692307693	1	1.0	0.8061538461538461	-0.4130769230769231	-0.4130769230769231	0.9084615384615384	-0.030769230769230767	-0.030769230769230767
srX	0.5900000000000001	0.936923076923077	0.936923076923077	0.4292307692307693	1.0	1	0.8061538461538461	-0.4130769230769231	-0.4130769230769231	0.9084615384615384	-0.030769230769230767	-0.030769230769230767
dd0	0.1323076923076923	0.9384615384615383	0.9384615384615383	-0.12923076923076926	0.8061538461538461	0.8061538461538461	1	0.08615384615384615	0.08615384615384615	0.9446153846153846	0.4853846153846154	0.4853846153846154
dd2	-0.8715384615384615	-0.21307692307692308	-0.21307692307692308	-0.933076923076923	-0.4130769230769231	-0.4130769230769231	0.08615384615384615	1	1.0	-0.09846153846153846	0.8153846153846154	0.8153846153846154
ddX	-0.8715384615384615	-0.21307692307692308	-0.21307692307692308	-0.933076923076923	-0.4130769230769231	-0.4130769230769231	0.08615384615384615	1.0	1	-0.09846153846153846	0.8153846153846154	0.8153846153846154
dr0	0.2946153846153846	0.9515384615384614	0.9515384615384614	0.07461538461538461	0.9084615384615384	0.9084615384615384	0.9446153846153846	-0.09846153846153846	-0.09846153846153846	1	0.3038461538461538	0.3038461538461538
dr2	-0.5569230769230769	0.21153846153846154	0.21153846153846154	-0.8753846153846153	-0.030769230769230767	-0.030769230769230767	0.4853846153846154	0.8153846153846154	0.8153846153846154	0.3038461538461538	1	1.0
drX	-0.5569230769230769	0.21153846153846154	0.21153846153846154	-0.8753846153846153	-0.030769230769230767	-0.030769230769230767	0.4853846153846154	0.8153846153846154	0.8153846153846154	0.3038461538461538	1.0	1
