	sd0	sd2	sr0	sr2	dd0	dd2	dr0	dr2
sd0	1	0.918185786183	0.955779170608	0.940252907258	0.905765464796	0.881733845295	0.921875258823	0.885423317935
sd2	0.918185786183	1	0.915654807952	0.913034486565	0.918185786183	0.906781952156	0.962783885489	0.878044372655
sr0	0.955779170608	0.915654807952	1	0.940453640591	0.902558083247	0.893142347258	0.899545013925	0.888436387258
sr2	0.940252907258	0.913034486565	0.940453640591	1	0.904546181285	0.890967365489	0.932157349914	0.905278271371
dd0	0.905765464796	0.918185786183	0.902558083247	0.904546181285	1	0.898686394812	0.947687539307	0.905562668645
dd2	0.881733845295	0.906781952156	0.893142347258	0.890967365489	0.898686394812	1	0.895673325489	0.937401522172
dr0	0.921875258823	0.962783885489	0.899545013925	0.932157349914	0.947687539307	0.895673325489	1	0.889452874618
dr2	0.885423317935	0.878044372655	0.888436387258	0.905278271371	0.905562668645	0.937401522172	0.889452874618	1
