	sd0	sd2	sdX	sr0	sr2	srX	dd0	dd2	ddX	dr0	dr2	drX
sd0	1	0.8369921446451632	0.8369921446451632	0.9266213445422568	0.8693243432286809	0.8693243432286809	0.7937776129504308	0.7223682532018659	0.7223682532018659	0.8117759887548703	0.7428116035250321	0.7428116035250321
sd2	0.8369921446451632	1	1.0	0.8289073974199763	0.8682337217659576	0.8682337217659576	0.8076646669354379	0.7351329303245959	0.7351329303245959	0.8197876222971741	0.7465052296220841	0.7465052296220841
sdX	0.8369921446451632	1.0	1	0.8289073974199763	0.8682337217659576	0.8682337217659576	0.8076646669354379	0.7351329303245959	0.7351329303245959	0.8197876222971741	0.7465052296220841	0.7465052296220841
sr0	0.9266213445422568	0.8289073974199763	0.8289073974199763	1	0.8337538303053466	0.8337538303053466	0.7771258439211453	0.7378679142225133	0.7378679142225133	0.8167091192981504	0.7573037061016907	0.7573037061016907
sr2	0.8693243432286809	0.8682337217659576	0.8682337217659576	0.8337538303053466	1	1.0	0.8202486279228587	0.7374723384978121	0.7374723384978121	0.8163616485125988	0.7501831245902629	0.7501831245902629
srX	0.8693243432286809	0.8682337217659576	0.8682337217659576	0.8337538303053466	1.0	1	0.8202486279228587	0.7374723384978121	0.7374723384978121	0.8163616485125988	0.7501831245902629	0.7501831245902629
dd0	0.7937776129504308	0.8076646669354379	0.8076646669354379	0.7771258439211453	0.8202486279228587	0.8202486279228587	1	0.7686825460391177	0.7686825460391177	0.8388841418055825	0.7735459316402526	0.7735459316402526
dd2	0.7223682532018659	0.7351329303245959	0.7351329303245959	0.7378679142225133	0.7374723384978121	0.7374723384978121	0.7686825460391177	1	1.0	0.7508663440094264	0.8609943458568408	0.8609943458568408
ddX	0.7223682532018659	0.7351329303245959	0.7351329303245959	0.7378679142225133	0.7374723384978121	0.7374723384978121	0.7686825460391177	1.0	1	0.7508663440094264	0.8609943458568408	0.8609943458568408
dr0	0.8117759887548703	0.8197876222971741	0.8197876222971741	0.8167091192981504	0.8163616485125988	0.8163616485125988	0.8388841418055825	0.7508663440094264	0.7508663440094264	1	0.7646558151280475	0.7646558151280475
dr2	0.7428116035250321	0.7465052296220841	0.7465052296220841	0.7573037061016907	0.7501831245902629	0.7501831245902629	0.7735459316402526	0.8609943458568408	0.8609943458568408	0.7646558151280475	1	1.0
drX	0.7428116035250321	0.7465052296220841	0.7465052296220841	0.7573037061016907	0.7501831245902629	0.7501831245902629	0.7735459316402526	0.8609943458568408	0.8609943458568408	0.7646558151280475	1.0	1
