	sd0	sd2	sdX	sr0	sr2	srX	dd0	dd2	ddX	dr0	dr2	drX
sd0	0	0.035100611039495716	0.035100611039495716	3.3128567271940003e-07	0.0019070495528528914	0.0019070495528528914	0.5283992800855006	1.4187284779497003e-08	1.4187284779497003e-08	0.15282630212252207	0.0038313877602207673	0.0038313877602207673
sd2	0.035100611039495716	0	0.0	0.3913084960893425	5.5280036127825306e-12	5.5280036127825306e-12	4.193338858401592e-12	0.3064753923200176	0.3064753923200176	2.867726390782665e-13	0.31006337883220825	0.31006337883220825
sdX	0.035100611039495716	0.0	0	0.3913084960893425	5.5280036127825306e-12	5.5280036127825306e-12	4.193338858401592e-12	0.3064753923200176	0.3064753923200176	2.867726390782665e-13	0.31006337883220825	0.31006337883220825
sr0	3.3128567271940003e-07	0.3913084960893425	0.3913084960893425	0	0.03226015868478607	0.03226015868478607	0.538116551492184	1.0712241050434818e-11	1.0712241050434818e-11	0.722985560826711	1.0200312520177632e-08	1.0200312520177632e-08
sr2	0.0019070495528528914	5.5280036127825306e-12	5.5280036127825306e-12	0.03226015868478607	0	0.0	1.1466737691746186e-06	0.04013747815937923	0.04013747815937923	3.473301991160326e-10	0.8839182553315145	0.8839182553315145
srX	0.0019070495528528914	5.5280036127825306e-12	5.5280036127825306e-12	0.03226015868478607	0.0	0	1.1466737691746186e-06	0.04013747815937923	0.04013747815937923	3.473301991160326e-10	0.8839182553315145	0.8839182553315145
dd0	0.5283992800855006	4.193338858401592e-12	4.193338858401592e-12	0.538116551492184	1.1466737691746186e-06	1.1466737691746186e-06	0	0.6821887087728209	0.6821887087728209	1.2870361107787748e-12	0.013911171596886906	0.013911171596886906
dd2	1.4187284779497003e-08	0.3064753923200176	0.3064753923200176	1.0712241050434818e-11	0.04013747815937923	0.04013747815937923	0.6821887087728209	0	0.0	0.6396101242558592	6.867986307609399e-07	6.867986307609399e-07
ddX	1.4187284779497003e-08	0.3064753923200176	0.3064753923200176	1.0712241050434818e-11	0.04013747815937923	0.04013747815937923	0.6821887087728209	0.0	0	0.6396101242558592	6.867986307609399e-07	6.867986307609399e-07
dr0	0.15282630212252207	2.867726390782665e-13	2.867726390782665e-13	0.722985560826711	3.473301991160326e-10	3.473301991160326e-10	1.2870361107787748e-12	0.6396101242558592	0.6396101242558592	0	0.13977669221855882	0.13977669221855882
dr2	0.0038313877602207673	0.31006337883220825	0.31006337883220825	1.0200312520177632e-08	0.8839182553315145	0.8839182553315145	0.013911171596886906	6.867986307609399e-07	6.867986307609399e-07	0.13977669221855882	0	0.0
drX	0.0038313877602207673	0.31006337883220825	0.31006337883220825	1.0200312520177632e-08	0.8839182553315145	0.8839182553315145	0.013911171596886906	6.867986307609399e-07	6.867986307609399e-07	0.13977669221855882	0.0	0
