Dorante	Ga	DORER
paraît	Vvc	PARAÎTRE
écrivant	Ga	ÉCRIRE
dans	S	DANS
une	Dn	UN
prison	Nc	PRISON
et	Cc	ET
le	Da	LE
geôlier	Nc	GEÔLIER
ouvrant	Ga	OUVRER|OUVRIR
la	Da	LE
porte	Nc	PORTE|PORTÉ
à	S	À
Cliton	Nc	Cliton
et	Cc	ET
le	Pp	IL
lui	Pp	IL
montrant	Ga	MONTRER
.	Fs	.
Ah	I	AH
!	Fs	!
Monsieur	Nc	MONSIEUR
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
donc	Rg	DONC
vous	Pp	VOUS
?	Fs	?
Cliton	Nc	Cliton
,	Fw	,
je	Pp	JE
te	Pp	TU
revois	Vvc	REVOIR|RÊVER
!	Fs	!
Je	Pp	JE
vous	Pp	VOUS
trouve	Vvc	TROUVER
,	Fw	,
monsieur	Nc	MONSIEUR
,	Fw	,
dans	S	DANS
la	Da	LE
maison	Nc	MAISON
du	S+Da	DE+LE
roi	Nc	ROI
!	Fs	!
Quel	Dt	QUEL
charme	Nc	CHARME
,	Fw	,
quel	Dt	QUEL
désordre	Nc	DÉSORDRE
,	Fw	,
ou	Cc	OU
quelle	Dt	QUEL
raillerie	Nc	RAILLERIE
,	Fw	,
Des	Vvc	Des
prisons	Nc	PRISON
de	S	DE
Lyon	Nc	Lyon
fait	Ge	FAIRE
votre	Ds	VOTRE
hôtellerie	Nc	HÔTELLERIE
?	Fs	?
Tu	Pp	TU
le	Pp	IL
sauras	Vvc	SAURER|SAVOIR
tantôt	Rg	TANTÔT
.	Fs	.
Mais	Cc	MAIS
qui	Pr	QUI
t'	Pp	TU
amène	Vvc	AMENER
ici	Rg	ICI
?	Fs	?
Les	Da	LE
soins	Nc	SOIN
de	S	DE
vous	Pp	VOUS
chercher	Vvn	CHERCHER
.	Fs	.
Tu	Pp	TU
prends	Vvc	PRENDRE
trop	Rg	TROP
de	S	DE
souci	Nc	SOUCI
;	Fw	;
Et	Vvc	Et
bien	Rg	BIEN
qu'	Cs	QUE
après	S	APRÈS
deux	Nc	DEUX
ans	Nc	AN
ton	Ds	TON
devoir	Nc	DEVOIR
s'	Pp	SE
en	Pp	EN
avise	Vvc	AVISER
,	Fw	,
Ta	Vvc	Ta
rencontre	Nc	RENCONTRE
me	Pp	JE
plaît	Vvc	PLAIRE
,	Fw	,
j'	Pp	JE
en	Pp	EN
aime	Vvc	AIMER
la	Da	LE
surprise	Nc	SURPRISE
:	Fw	:
Ce	Dd	CE
devoir	Nc	DEVOIR
,	Fw	,
quoique	Cs	QUOIQUE
tard	Rg	TARD
,	Fw	,
enfin	Rg	ENFIN
s'	Pp	SE
est	Vuc	ÊTRE
éveillé	Ge	ÉVEILLER
.	Fs	.
Et	Cc	ET
qui	Pr	QUI
savait	Vvc	SAVOIR
,	Fw	,
monsieur	Nc	MONSIEUR
,	Fw	,
où	Pr	OÙ
vous	Pp	VOUS
étiez	Vuc	ÊTRE
allé	Ge	ALLER
?	Fs	?
Vous	Pp	VOUS
ne	Rp	NE
nous	Pp	NOUS
témoigniez	Vvc	TÉMOIGNER
qu'	Cs	QUE
ardeur	Nc	ARDEUR
et	Cc	ET
qu'	Cs	QUE
allégresse	Nc	ALLÉGRESSE
,	Fw	,
Qu'	Vvc	Qu'
impatients	Ag	IMPATIENT
désirs	Nc	DÉSIR
de	S	DE
posséder	Vvn	POSSÉDER
Lucrèce	Nc	Lucrèce
