N'	Rp	NE
en	Pp	EN
doute	Vvc	DOUTER
plus	Rg	PLUS
,	Fw	,
mon	Ds	MON
coeur	Nc	CUR
,	Fw	,
un	Dn	UN
amant	Nc	AMANT
hypocrite	Ag	HYPOCRITE
,	Fw	,
Feignant	Ga	FEINDRE
de	S	DE
m'	Pp	JE
adorer	Vvn	ADORER
,	Fw	,
brûle	Vvc	BRÛLER
pour	S	POUR
Hippolyte	Nc	Hippolyte
:	Fw	:
Dorise	Vvc	Dorise
m'	Pp	JE
en	Pp	EN
a	Vuc	AVOIR
dit	Ge	DIRE
le	Da	LE
secret	Ag	SECRET
rendez-vous	Nc	RENDEZ-VOUS
Où	Vvc	Où
leur	Ds	LEUR
naissante	Ag	NAISSANT
ardeur	Nc	ARDEUR
se	Pp	IL
cache	Vvc	CACHER
aux	S+Da	À+LES
yeux	Nc	OEIL|YEUX
de	S	DE
tous	Pi	TOUT
;	Fw	;
Et	Vvc	Et
pour	S	POUR
les	Pp	ILS
y	Pp	Y
surprendre	Vvn	SURPRENDRE
elle	Pp	IL
m'	Pp	JE
y	Pp	Y
doit	Vvc	DEVOIR
conduire	Vvn	CONDUIRE
,	Fw	,
Sitôt	Vvc	Sitôt
que	Cs	QUE
le	Da	LE
soleil	Nc	SOLEIL
commencera	Vvc	COMMENCER
de	S	DE
luire	Vvn	LUIRE
.	Fs	.
Mais	Cc	MAIS
qu'	Cs	QUE
elle	Pp	IL
est	Vuc	ÊTRE
paresseuse	Ag	PARESSEUX
à	S	À
me	Pp	JE
venir	Vvn	VENIR
trouver	Vvn	TROUVER
!	Fs	!
La	Da	LE
dormeuse	Nc	DORMEUSE
m'	Pp	JE
oublie	Vvc	OUBLIER
,	Fw	,
et	Cc	ET
ne	Rp	NE
se	Pp	IL
peut	Vvc	POUVOIR
lever	Vvn	LEVER
.	Fs	.
Toutefois	Rg	TOUTEFOIS
sans	S	SANS
raison	Nc	RAISON
j'	Pp	JE
accuse	Vvc	ACCUSER
sa	Ds	SON
paresse	Nc	PARESSE
:	Fw	:
La	Da	LE
nuit	Nc	NUIT
,	Fw	,
qui	Pr	QUI
dure	Vvc	DURER
encore	Rg	ENCORE
,	Fw	,
fait	Vvc	FAIRE
que	Cs	QUE
rien	Pi	RIEN
ne	Rp	NE
la	Pp	IL
presse	Vvc	PRESSER
;	Fw	;
Ma	Vvc	Ma
jalouse	Ag	JALOUX
fureur	Nc	FUREUR
,	Fw	,
mon	Ds	MON
dépit	Nc	DÉPIT
,	Fw	,
mon	Ds	MON
amour	Nc	AMOUR
