Atalante	V	ATALENTER
avec	S	AVEC
sa	Ds	SON
sœur	Nc	sœur
Izidore	Vvc	Izidore
se	Pp	IL
plaint	Vvc	PLAINDRE
de	S	DE
sa	Ds	SON
misère	Nc	MISÈRE
,	Fw	,
que	Cs	QUE
la	Da	LE
perte	Nc	PERTE
d'	S	DE
un	Dn	UN
procès	Nc	PROCÈS
leur	Pp	LEUR
fait	Vvc	FAIRE
naître	Vvn	NAÎTRE
en	S	EN
même	Ag	MÊME
temps	Nc	TEMPS
qu'	Pr	QUE
elles	Pp	ILS
se	Pp	IL
proposaient	Vvc	PROPOSER
beaucoup	Rg	BEAUCOUP
de	S	DE
choses	Nc	CHOSE
pour	S	POUR
leur	Ds	LEUR
avancement	Nc	AVANCEMENT
,	Fw	,
et	Cc	ET
dans	S	DANS
ce	Dd	CE
ressentiment	Nc	RESSENTIMENT
elle	Pp	IL
ne	Rp	NE
peut	Vvc	POUVOIR
s'	Pp	SE
empêcher	Vvn	EMPÊCHER
de	S	DE
parler	Vvn	PARLER
avec	S	AVEC
un	Dn	UN
peu	Rg	PEU
de	S	DE
liberté	Nc	LIBERTÉ
des	S+Da	DE+LE|DE+LES
avocats	Nc	AVOCAT
qu'	Pr	QUE
elle	Pp	IL
ne	Rp	NE
pouvait	Vvc	POUVOIR
aimer	Vvn	AIMER
pour	S	POUR
beaucoup	Rg	BEAUCOUP
de	S	DE
considérations	Nc	CONSIDÉRATION
légitimes	Ag	LÉGITIME
.	Fs	.
Izidore	Vvc	Izidore
néanmoins	Rg	NÉANMOINS
pour	S	POUR
la	Pp	IL
consoler	Vvn	CONSOLER
dans	S	DANS
sa	Ds	SON
nécessité	Nc	NÉCESSITÉ
,	Fw	,
lui	Pp	IL
donne	Vvc	DONNER
avis	Nc	AVIS
de	S	DE
l'	Da	LE
amour	Nc	AMOUR
de	S	DE
Polydas	Vvc	Polydas
Avocat	Nc	AVOCAT
,	Fw	,
qui	Pr	QUI
par	S	PAR
la	Da	LE
seule	Ag	SEUL
réputation	Nc	RÉPUTATION
d'	S	DE
Atalante	Ga	Atalante
l'	Pp	IL
avait	Vuc	AVOIR
tellement	Rg	TELLEMENT
aimée	Ge	AIMER
qu'	Cs	QUE
il	Pp	IL
ne	Rp	NE
pût	Vvc	POUVOIR
s'	Pp	SE
empêcher	Vvn	EMPÊCHER
d'	S	DE
en	Pp	EN
donner	Vvn	DONNER
avis	Nc	AVIS
à	S	À
sa	Ds	SON
