LICINE	Vvc	LICINE
.	Fs	.
Seigneur	Nc	SEIGNEUR
,	Fw	,
je	Pp	JE
le	Pp	IL
confesse	Vvc	CONFESSER
,	Fw	,
on	Pp	ON
ne	Rp	NE
peut	Vvc	POUVOIR
plus	Rg	PLUS
rien	Pi	RIEN
faire	Vvn	FAIRE
,	Fw	,
Dont	Vvc	Dont
la	Da	LE
gloire	Nc	GLOIRE
ne	Rp	NE
cède	Vvc	CÉDER
à	S	À
celle	Pd	CELUI
de	S	DE
Sévère	Nc	Sévère
;	Fw	;
L'	Vvc	L'
honneur	Nc	HONNEUR
d'	S	DE
avoir	Vun	AVOIR
rangé	Ge	RANGER
la	Da	LE
Gaule	Nc	GAULE
sous	S	SOUS
nos	Ds	NOTRE
lois	Nc	LOI
Ajoute	Vvc	AJOUTER
un	Dn	UN
nouveau	Ag	NOUVEAU
lustre	Nc	LUSTRE
à	S	À
ses	Ds	SON
autres	Ag	AUTRE
exploits	Nc	EXPLOIT
,	Fw	,
Et	Vvc	Et
de	S	DE
plus	Rg	PLUS
beaux	Ag	BEAU
lauriers	Nc	LAURIER
après	S	APRÈS
cette	Dd	CE
conquête	Nc	CONQUÊTE
Auront	Vvc	Auront
peut-être	Rg	PEUT-ÊTRE
peine	Nc	PEINE
à	S	À
couronner	Vvn	COURONNER
sa	Ds	SON
tête	Nc	TÊTE
.	Fs	.
Pour	S	POUR
s'	Pp	SE
acquitter	Vvn	ACQUITTER
vers	S	VERS
lui	Pp	IL
,	Fw	,
je	Pp	JE
vois	Vvc	ALLER|VOIR
sans	S	SANS
murmurer	Vvn	MURMURER
Que	Vvc	Que
du	S+Da	DE+LE
nom	Nc	NOM
de	S	DE
César	Nc	César
on	Pp	ON
songe	Vvc	SONGER
à	S	À
l'	Pp	IL
honorer	Vvn	HONORER
;	Fw	;
Mais	Vvc	Mais
ce	Dd	CE
rang	Nc	RANG
lui	Pp	IL
doit	Vvc	DEVOIR
être	Vun	ÊTRE
assez	Rg	ASSEZ
de	S	DE
récompense	Nc	RÉCOMPENSE
,	Fw	,
Sans	Vvc	Sans
en	S	EN
prendre	Vvn	PRENDRE
aucun	Di	AUCUN
droit	Nc	DROIT
sur	S	SUR
le	Da	LE
coeur	Nc	CUR
de	S	DE
Constance	Nc	CONSTANCE
,	Fw	,
Et	Vvc	Et
je	Pp	JE
ne	Rp	NE
puis	Vvc	POUVOIR
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
