Quoi	Pt	QUE|QUOI
malgré	S	MALGRÉ
nos	Ds	NOTRE
chagrins	Ag	CHAGRIN
et	Cc	ET
notre	Ds	NOTRE
longue	Ag	LONG
haine	Nc	HAINE
,	Fw	,
Léon	Nc	Léon
,	Fw	,
dis	Vvc	DIRE
-tu	Vvn	-tu
,	Fw	,
demande	Vvc	DEMANDER
à	S	À
parler	Vvn	PARLER
à	S	À
Marcène	Nc	Marcène
?	Fs	?
À	Vvc	À
moi	Pp	JE
?	Fs	?
Me	Pp	JE
dis	Vvc	DIRE
-tu	Nc	-tu
vrai	Ag	VRAI
?	Fs	?
Puis	Vvc	POUVOIR
-je	Vvc	-je
le	Pp	IL
croire	Vvn	CROIRE
ainsi	Rg	AINSI
?	Fs	?
Oui	Rg	OUI
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
et	Cc	ET
bientôt	Rg	BIENTÔT
il	Pp	IL
se	Pp	IL
doit	Vvc	DEVOIR
rendre	Vvn	RENDRE
ici	Rg	ICI
.	Fs	.
Est-il	Vvc	Est-il
quelque	Di	QUELQUE
intérêt	Nc	INTÉRÊT
assez	Rg	ASSEZ
fort	Rg	FORT
sur	S	SUR
son	Ds	SON
âme	Nc	ÂME
,	Fw	,
Pour	Nc	POUR
contraindre	Vvn	CONTRAINDRE
un	Dn	UN
moment	Nc	MOMENT
le	Da	LE
courroux	Nc	COURROUX
qui	Pr	QUI
l'	Pp	IL
enflamme	Vvc	ENFLAMMER
,	Fw	,
Après	Vvc	Après
que	Rg	QUE
si	Rg	SI
longtemps	Rg	LONGTEMPS
soigneux	Ag	SOIGNEUX
de	S	DE
m'	Pp	JE
offenser	Vvn	OFFENSER
Et	Vvc	Et
dans	S	DANS
tous	Di	TOUT
mes	Ds	MON
desseins	Nc	DESSEIN
prompt	Ag	PROMPT
à	S	À
me	Pp	JE
traverser	Vvn	TRAVERSER
,	Fw	,
Il	Vvc	Il
a	Vuc	AVOIR
tenté	Ge	TENTER
cent	Nc	CENT
fois	Nc	FOI|FOIS
d'	S	DE
usurper	Vvn	USURPER
ma	Ds	MON
puissance	Nc	PUISSANCE
,	Fw	,
Et	Vvc	Et
l'	Da	LE
emploi	Nc	EMPLOI
glorieux	Ag	GLORIEUX
que	Pr	QUE
j'	Pp	JE
exerce	Vvc	EXERCER
à	S	À
Byzance	Nc	Byzance
;	Fw	;
Pour	Nc	POUR
moi	Pp	JE
je	Pp	JE
l'	Pp	IL
avouerai	Vvc	AVOUER
,	Fw	,
dans	S	DANS
ma	Ds	MON
haine	Nc	HAINE
affermie	Ge	AFFERMIR
,	Fw	,
Je	Vvc	Je
ne	Rp	NE
regarde	Vvc	REGARDER
en	S	EN
lui	Pp	IL
qu'	Cs	QUE
un	Dn	UN
mortel	Ag	MORTEL
ennemi	Nc	ENNEMI
,	Fw	,
Et	Vvc	Et
ma	Ds	MON
faveur	Nc	FAVEUR
sans	S	SANS
cesse	Nc	CESSE
à	S	À
la	Da	LE
sienne	Ps	SIEN
contraire	Ag	CONTRAIRE
,	Fw	,
Me	Vvc	Me
venge	Vvc	VENGER
assez	Rg	ASSEZ
des	Dn	UN
maux	Nc	MAL
qu'	Pr	QUE
il	Pp	IL
a	Vuc	AVOIR
voulu	Ge	VOULOIR
me	Pp	JE
faire	Vvn	FAIRE
,	Fw	,
Je	Vvc	Je
l'	Pp	IL
attendrai	Vvc	ATTENDRE
pourtant	Rg	POURTANT
,	Fw	,
et	Cc	ET
pour	S	POUR
être	Vun	ÊTRE
éclairci	Ge	ÉCLAIRCIR
Des	Vvc	Des
sentiments	Nc	SENTIMENT
secrets	Ag	SECRET
d'	S	DE
un	Dn	UN
homme	Nc	HOMME
...	Fs	...
Le	Vvc	Le
voici	S	VOICI
.	Fs	.
Que	Cs	QUE
l'	Pp	IL
on	Pp	ON
nous	Pp	NOUS
laisse	Vvc	LAISSER
seuls	Ag	SEUL
.	Fs	.
Seigneur	Nc	SEIGNEUR
,	Fw	,
puis	Vvc	POUVOIR
-je	Vvc	-je
prétendre	Vvn	PRÉTENDRE
.	Fs	.
Crispe	Vvc	CRISPER
se	Pp	IL
retire	Vvc	RETIRER
et	Cc	ET
l'	Pp	IL
on	Pp	ON
continue	Vvc	CONTINUER
.	Fs	.
Qu'	Cs	QUE
avec	S	AVEC
tranquillité	Nc	TRANQUILLITÉ
vous	Pp	VOUS
daignerez	Vvc	DAIGNER
m'	Pp	JE
entendre	Vvn	ENTENDRE
;	Fw	;
Et	Vvc	Et
que	Cs	QUE
vos	Ds	VOTRE
soupçons	Nc	SOUPÇON
interrompant	Ga	INTERROMPRE
le	Da	LE
cours	Nc	COUR|COURS|COURT
,	Fw	,
Vous	Nc	Vous
pourrez	Vvc	POUVOIR
sans	S	SANS
contraindre	Vvn	CONTRAINDRE
écouter	Vvn	ÉCOUTER
mes	Ds	MON
discours	Nc	DISCOURS
?	Fs	?
Je	Pp	JE
ne	Rp	NE
puis	Vvc	POUVOIR
vous	Pp	VOUS
celer	Vvn	CELER
ma	Ds	MON
surprise	Nc	SURPRISE
secrète	Ag	SECRET
;	Fw	;
Mais	Vvc	Mais
dans	S	DANS
quelque	Di	QUELQUE
embarras	Nc	EMBARRA|EMBARRAS
où	Pr	OÙ
ce	Dd	CE
discours	Nc	DISCOURS
me	Pp	JE
jette	Vvc	JETER
,	Fw	,
Parlez	Vvc	PARLER
,	Fw	,
ne	Rp	NE
craignez	Vvc	CRAINDRE
rien	Pi	RIEN
,	Fw	,
en	S	EN
vous	Pp	VOUS
ouvrant	Ga	OUVRER|OUVRIR
à	S	À
moi	Pp	JE
;	Fw	;
Je	Vvc	Je
le	Da	LE
jure	Nc	JURÉ
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
fiez	Vvc	FIER
-vous	Nc	-vous
à	S	À
ma	Ds	MON
foi	Nc	FOI
.	Fs	.
Il	Pp	IL
suffit	Vvc	SUFFIRE
,	Fw	,
ce	Dd	CE
serment	Nc	SERMENT
a	Vuc	AVOIR
dissipé	Ge	DISSIPER
ma	Ds	MON
crainte	Nc	CRAINTE
,	Fw	,
Et	Vvc	Et
je	Pp	JE
vais	Vvc	ALLER
m'	Pp	JE
expliquer	Vvn	EXPLIQUER
sans	S	SANS
détour	Nc	DÉTOUR
et	Cc	ET
sans	S	SANS
feinte	Nc	FEINTE
.	Fs	.
Depuis	S	DEPUIS
plus	Rg	PLUS
de	S	DE
vingt	Nc	VINGT
ans	Nc	AN
,	Fw	,
vous	Pp	VOUS
le	Pp	IL
savez	Vvc	SAVOIR
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
Nous	Vvc	Nous
conduisons	Vvc	CONDUIRE
tous	Di	TOUT
deux	Nc	DEUX
l'	Da	LE
esprit	Nc	ESPRIT
de	S	DE
l'	Da	LE
Empereur	Nc	EMPEREUR
,	Fw	,
Il	Vvc	Il
partage	Nc	PARTAGE
entre	S	ENTRE
nous	Pp	NOUS
son	Ds	SON
coeur	Nc	CUR
et	Cc	ET
sa	Ds	SON
puissance	Nc	PUISSANCE
,	Fw	,
Et	Vvc	Et
nous	Pp	NOUS
dictons	Vvc	DICTER
toujours	Rg	TOUJOURS
les	Da	LE
ordres	Nc	ORDRE
qu'	Pr	QUE
il	Pp	IL
dispense	Vvc	DISPENSER
.	Fs	.
Du	S+Da	DE+LE
rang	Nc	RANG
que	Pr	QUE
vous	Pp	VOUS
tenez	Vvc	TENIR
confus	Ag	CONFUS
,	Fw	,
désespéré	Nc	DÉSESPÉRÉ
,	Fw	,
Pour	Nc	POUR
vous	Pp	VOUS
en	Pp	EN
dépouiller	Vvn	DÉPOUILLER
j'	Pp	JE
ai	Vuc	AVOIR
cent	Nc	CENT
fois	Nc	FOI|FOIS
conspiré	Ge	CONSPIRER
,	Fw	,
Et	Vvc	Et
vous	Pp	VOUS
que	Cs	QUE
contre	S	CONTRE
moi	Pp	JE
poussait	Vvc	POUSSER
la	Da	LE
même	Ag	MÊME
envie	Nc	ENVIE
