Votre	Ds	VOTRE
amitié	Nc	AMITIÉ
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
me	Pp	JE
rendra	Vvc	RENDRE
téméraire	Ag	TÉMÉRAIRE
,	Fw	,
J'	Vvc	J'
en	Pp	EN
abuse	Vvc	ABUSER
,	Fw	,
et	Cc	ET
je	Pp	JE
sais	Vvc	SAVOIR
que	Cs	QUE
je	Pp	JE
vais	Vvc	ALLER
vous	Pp	VOUS
déplaire	Vvn	DÉPLAIRE
;	Fw	;
Que	Vvc	Que
vous	Pp	VOUS
condamnerez	Vvc	CONDAMNER
ma	Ds	MON
curiosité	Nc	CURIOSITÉ
:	Fw	:
Mais	Cc	MAIS
je	Pp	JE
croirais	Vvc	CROIRE
vous	Pp	VOUS
faire	Vvn	FAIRE
une	Dn	UN
infidélité	Nc	INFIDÉLITÉ
Si	Vvc	Si
je	Pp	JE
vous	Pp	VOUS
cachais	Vvc	CACHER
rien	Pi	RIEN
de	S	DE
ce	Pd	CE
que	Pr	QUE
j'	Pp	JE
entends	Vvc	ENTENDRE
dire	Vvn	DIRE
De	Vvc	De
votre	Ds	VOTRE
amour	Nc	AMOUR
nouveau	Ag	NOUVEAU
sous	S	SOUS
ce	Dd	CE
nouvel	Ag	NOUVEAU
empire	Nc	EMPIRE
.	Fs	.
On	Pp	ON
s'	Pp	SE
étonne	Vvc	ÉTONNER
de	S	DE
voir	Vvn	VOIR
qu'	Cs	QUE
un	Dn	UN
homme	Nc	HOMME
tel	Ag	TEL
qu'	Pr	QUE
Othon	Nc	Othon
,	Fw	,
Othon	Nc	Othon
,	Fw	,
dont	Pr	DONT
les	Da	LE
hauts	Ag	HAUT
faits	Nc	FAIT
soutiennent	Vvc	SOUTENIR
le	Da	LE
grand	Ag	GRAND
nom	Nc	NOM
,	Fw	,
Daigne	Vvc	DAIGNER
d'	S	DE
un	Dn	UN
Vinius	Nc	Vinius
se	Pp	IL
réduire	Vvn	RÉDUIRE
à	S	À
la	Da	LE
fille	Nc	FILLE
,	Fw	,
S'	Vvc	S'
attache	Nc	ATTACHE|ATTACHÉ
à	S	À
ce	Dd	CE
consul	Nc	CONSUL
,	Fw	,
qui	Pr	QUI
ravage	Vvc	RAVAGER
,	Fw	,
qui	Pr	QUI
pille	Vvc	PILLER
,	Fw	,
Qui	Vvc	Qui
peut	Vvc	POUVOIR
tout	Pi	TOUT
,	Fw	,
je	Pp	JE
l'	Pp	IL
avoue	Vvc	AVOUER
,	Fw	,
auprès	Rg	AUPRÈS
de	S	DE
l'	Da	LE
empereur	Nc	EMPEREUR
,	Fw	,
Mais	Vvc	Mais
dont	Pr	DONT
tout	Di	TOUT
le	Da	LE
pouvoir	Nc	POUVOIR
ne	Rp	NE
sert	Vvc	SERVIR
qu'	Rg	QUE
à	S	À
faire	Vvn	FAIRE
horreur	Nc	HORREUR
,	Fw	,
Et	Vvc	Et
détruit	Vvc	DÉTRUIRE
,	Fw	,
d'autant	Ag	d'autant
plus	Rg	PLUS
que	Cs	QUE
plus	Rg	PLUS
on	Pp	ON
le	Pp	IL
voit	Vvc	VOIR
croître	Vvn	CROÎTRE
,	Fw	,
Ce	Vvc	Ce
que	Cs	QUE
l'	Pp	IL
on	Pp	ON
doit	Vvc	DEVOIR
d'	S	DE
amour	Nc	AMOUR
aux	S+Da	À+LES
vertus	Nc	VERTU
de	S	DE
son	Ds	SON
maître	Nc	MAÎTRE
.	Fs	.
Ceux	Pd	CELUI
qu'	Pr	QUE
on	Pp	ON
voit	Vvc	VOIR
s'	Pp	SE
étonner	Vvn	ÉTONNER
de	S	DE
ce	Dd	CE
nouvel	Ag	NOUVEAU
amour	Nc	AMOUR
N'	Ag	N'
ont	Vuc	AVOIR
jamais	Rg	JAMAIS
bien	Rg	BIEN
conçu	Ge	CONCEVOIR
ce	Pd	CE
que	Pr	QUE
c'	Pd	CE
est	Vuc	ÊTRE
que	Cs	QUE
la	Da	LE
cour	Nc	COUR
.	Fs	.
Un	Dn	UN
homme	Nc	HOMME
tel	Ag	TEL
que	Pr	QUE
moi	Pp	JE
jamais	Rg	JAMAIS
ne	Rp	NE
s'	Pp	SE
en	Pp	EN
détache	Vvc	DÉTACHER
,	Fw	,
Il	Vvc	Il
n'	Rp	NE
est	Vuc	ÊTRE
point	Rg	POINT
de	S	DE
retraite	Nc	RETRAITE|RETRAITÉ
ou	Cc	OU
d'	S	DE
ombre	Nc	OMBRE
qui	Pr	QUI
le	Pp	IL
cache	Vvc	CACHER
,	Fw	,
Et	Vvc	Et
si	Rg	SI
du	S+Da	DE+LE
souverain	Nc	SOUVERAIN
la	Da	LE
faveur	Nc	FAVEUR
n'	Rp	NE
est	Vuc	ÊTRE
pour	S	POUR
lui	Pp	IL
,	Fw	,
Il	Vvc	Il
faut	Vvc	FAILLIR|FALLOIR
,	Fw	,
ou	Cc	OU
qu'	Cs	QUE
il	Pp	IL
périsse	Vvc	PÉRIR
,	Fw	,
ou	Cc	OU
qu'	Cs	QUE
il	Pp	IL
prenne	Vvc	PRENDRE
un	Dn	UN
appui	Nc	APPUI
.	Fs	.
Quand	Cs	QUAND
le	Da	LE
monarque	Nc	MONARQUE
agit	Vvc	AGIR
par	S	PAR
sa	Ds	SON
propre	Ag	PROPRE
conduite	Nc	CONDUITE
,	Fw	,
Mes	Vvc	Mes
pareils	Ag	PAREIL
sans	S	SANS
péril	Nc	PÉRIL
se	Pp	IL
rangent	Vvc	RANGER
à	S	À
sa	Ds	SON
suite	Nc	SUITE
,	Fw	,
Le	Vvc	Le
mérite	Nc	MÉRITE
et	Cc	ET
le	Da	LE
sang	Nc	SANG
nous	Pp	NOUS
y	Pp	Y
font	Vvc	FAIRE
discerner	Vvn	DISCERNER
;	Fw	;
Mais	Vvc	Mais
quand	Cs	QUAND
le	Da	LE
potentat	Nc	POTENTAT
se	Pp	IL
laisse	Vvc	LAISSER
gouverner	Vvn	GOUVERNER
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
de	S	DE
son	Ds	SON
pouvoir	Nc	POUVOIR
les	Da	LE
grands	Ag	GRAND
dépositaires	Nc	DÉPOSITAIRE
N'	Ag	N'
ont	Vuc	AVOIR
pour	S	POUR
raison	Nc	RAISON
d'	S	DE
état	Nc	ÉTAT
que	Cs	QUE
leurs	Ds	LEUR
propres	Ag	PROPRE
affaires	Nc	AFFAIRE|AFFAIRÉ
,	Fw	,
Ces	Vvc	Ces
lâches	Ag	LÂCHE
ennemis	Nc	ENNEMI
de	S	DE
tous	Di	TOUT
les	Da	LE
gens	Nc	GENS|GENT
de	S	DE
coeur	Nc	CUR
Cherchent	Vvc	CHERCHER
à	S	À
nous	Pp	NOUS
pousser	Vvn	POUSSER
avec	S	AVEC
toute	Di	TOUT
rigueur	Nc	RIGUEUR
,	Fw	,
À	Nc	À
moins	Rg	MOINS
que	Cs	QUE
notre	Ds	NOTRE
adroite	Ag	ADROIT
et	Cc	ET
prompte	Ag	PROMPT
servitude	Nc	SERVITUDE
Nous	Ag	Nous
dérobe	Vvc	DÉROBER
aux	S+Da	À+LES
fureurs	Nc	FUREUR
de	S	DE
leur	Ds	LEUR
inquiétude	Nc	INQUIÉTUDE
.	Fs	.
Sitôt	Vvc	Sitôt
que	Cs	QUE
de	S	DE
Galba	Nc	Galba
le	Da	LE
sénat	Nc	SÉNAT
eut	Vuc	AVOIR
fait	Ge	FAIRE
choix	Nc	CHOIX
.	Fs	.
Dans	S	DANS
mon	Ds	MON
gouvernement	Nc	GOUVERNEMENT
j'	Pp	JE
en	Pp	EN
établis	Vvc	ÉTABLIR
les	Da	LE
lois	Nc	LOI
,	Fw	,
Et	Vvc	Et
je	Pp	JE
fus	Vuc	ÊTRE
le	Da	LE
premier	Nc	PREMIER
qu'	Pr	QUE
on	Pp	ON
vit	Vvc	VIVRE|VOIR
au	S+Da	À+LE
nouveau	Ag	NOUVEAU
prince	Nc	PRINCE
Donner	Vvc	Donner
toute	Rg	TOUTE
une	Dn	UN
armée	Nc	ARMÉE
et	Cc	ET
toute	Di	TOUT
une	Dn	UN
province	Nc	PROVINCE
:	Fw	:
Ainsi	Rg	AINSI
je	Pp	JE
me	Pp	JE
comptais	Vvc	COMPTER
de	S	DE
ses	Ds	SON
premiers	Ag	PREMIER
suivants	Nc	SUIVANT
.	Fs	.
Mais	Cc	MAIS
déjà	Rg	DÉJÀ
Vinius	Nc	Vinius
avait	Vuc	AVOIR
pris	Ge	PRENDRE
les	Da	LE
devants	Nc	DEVANT
;	Fw	;
Martian	Vvc	Martian
l'	Da	LE
affranchi	Nc	AFFRANCHI
,	Fw	,
dont	Pr	DONT
tu	Pp	TU
vois	Vvc	ALLER|VOIR
les	Da	LE
pillages	Nc	PILLAGE
Avait	Vvc	Avait
avec	S	AVEC
Lacus	Nc	Lacus
fermé	Ge	FERMER
tous	Di	TOUT
les	Da	LE
passages	Nc	PASSAGE
;	Fw	;
On	Vvc	On
n'	Rp	NE
approchait	Vvc	APPROCHER
de	S	DE
lui	Pp	IL
que	Cs	QUE
sous	S	SOUS
leur	Ds	LEUR
bon	Ag	BON
plaisir	Nc	PLAISIR
;	Fw	;
J'	Vvc	J'
eus	Vuc	AVOIR
donc	Rg	DONC
pour	S	POUR
m'	Pp	JE
y	Pp	Y
produire	Vvn	PRODUIRE
un	Dn	UN
des	S+Da	DE+LE|DE+LES
trois	Nc	TROIS
à	S	À
choisir	Vvn	CHOISIR
.	Fs	.
Je	Pp	JE
les	Pp	ILS
voyais	Vvc	VOIR
tous	Di	TOUT
trois	Nc	TROIS
se	Pp	IL
hâter	Vvn	HÂTER
sous	S	SOUS
un	Dn	UN
maître	Nc	MAÎTRE
Qui	Vvc	Qui
,	Fw	,
chargé	Ge	CHARGER
d'	S	DE
un	Dn	UN
long	Ag	LONG
âge	Nc	ÂGE
,	Fw	,
a	Vuc	AVOIR
peu	Rg	PEU
de	S	DE
temps	Nc	TEMPS
à	S	À
l'	Pp	IL
être	Vun	ÊTRE
,	Fw	,
Et	Vvc	Et
tous	Di	TOUT
trois	Nc	TROIS
à	S	À
l'	Da	LE
envi	Nc	ENNUI|ENVI
s'	Pp	SE
empresser	Vvn	EMPRESSER
ardemment	Rg	ARDEMMENT
À	Nc	À
qui	Pr	QUI
dévorerait	Vvc	DÉVORER
ce	Dd	CE
règne	Nc	RÈGNE
d'	S	DE
un	Dn	UN
moment	Nc	MOMENT
.	Fs	.
J'	Pp	JE
eus	Vuc	AVOIR
horreur	Nc	HORREUR
des	S+Da	DE+LE|DE+LES
appuis	Nc	APPUI
qui	Pr	QUI
restaient	Vvc	RESTER
seuls	Ag	SEUL
à	S	À
prendre	Vvn	PRENDRE
,	Fw	,
J'	Vvc	J'
espérai	Vvc	ESPÉRER
quelque	Di	QUELQUE
temps	Nc	TEMPS
de	S	DE
m'	Pp	JE
en	S	EN
pouvoir	Vvn	POUVOIR
défendre	Vvn	DÉFENDRE
:	Fw	:
Mais	Cc	MAIS
quand	Cs	QUAND
Nymphidius	Nc	Nymphidius
dans	S	DANS
Rome	Nc	Rome
assassiné	Ge	ASSASSINER
Fit	Vvc	FAIRE
place	Nc	PLACE|PLACÉ
au	S+Da	À+LE
favori	Nc	FAVORI
qui	Pr	QUI
l'	Pp	IL
avait	Vuc	AVOIR
condamné	Ge	CONDAMNER
,	Fw	,
Que	Vvc	Que
Lacus	Vvc	Lacus
,	Fw	,
par	S	PAR
sa	Ds	SON
mort	Nc	MORT
,	Fw	,
fut	Vuc	ÊTRE
préfet	Nc	PRÉFET
du	S+Da	DE+LE
prétoire	Nc	PRÉTOIRE
,	Fw	,
Que	Vvc	Que
pour	S	POUR
couronnement	Nc	COURONNEMENT
d'	S	DE
une	Dn	UN
action	Nc	ACTION
si	Rg	SI
noire	Ag	NOIR
Les	Vvc	Les
mêmes	Ag	MÊME
assassins	Nc	ASSASSIN
furent	Vuc	ÊTRE
encor	Nc	encor
percer	Vvn	PERCER
Varron	Nc	VARRON
,	Fw	,
Turpilian	Vvc	Turpilian
,	Fw	,
Capiton	Nc	CAPITON
,	Fw	,
et	Cc	ET
Macer	Nc	Macer
,	Fw	,
Je	Vvc	Je
vis	Vvc	VIVRE|VOIR
qu'	Cs	QUE
il	Pp	IL
était	Vuc	ÊTRE
temps	Nc	TEMPS
de	S	DE
prendre	Vvn	PRENDRE
mes	Ds	MON
mesures	Nc	MESURE
,	Fw	,
Qu'	Vvc	Qu'
on	Pp	ON
perdait	Vvc	PERDRE
de	S	DE
Néron	Nc	Néron
toutes	Di	TOUT
les	Da	LE
créatures	Nc	CRÉATURE
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
demeuré	Nc	DEMEURÉ
seul	Ag	SEUL
de	S	DE
toute	Di	TOUT
cette	Dd	CE
cour	Nc	COUR
,	Fw	,
À	Nc	À
moins	Rg	MOINS
d'	S	DE
un	Dn	UN
protecteur	Nc	PROTECTEUR
j'	Pp	JE
aurais	Vuc	AVOIR
bientôt	Rg	BIENTÔT
mon	Ds	MON
tour	Nc	TOUR
.	Fs	.
Je	Pp	JE
choisis	Vvc	CHOISIR
Vinius	Nc	Vinius
dans	S	DANS
cette	Dd	CE
défiance	Nc	DÉFIANCE
,	Fw	,
Pour	Nc	POUR
plus	Rg	PLUS
de	S	DE
sûreté	Nc	SÛRETÉ
j'	Pp	JE
en	Pp	EN
cherchai	Vvc	CHERCHER
l'	Da	LE
alliance	Nc	ALLIANCE
