Cessez	Vvc	CESSER
de	S	DE
déplorer	Vvn	DÉPLORER
le	Da	LE
pouvoir	Nc	POUVOIR
de	S	DE
vos	Ds	VOTRE
charmes	Nc	CHARME
,	Fw	,
Quand	Nc	Quand
ils	Pp	ILS
peuvent	Vvc	POUVOIR
tarir	Vvn	TARIR
la	Da	LE
source	Nc	SOURCE
de	S	DE
vos	Ds	VOTRE
larmes	Nc	LARME
;	Fw	;
Le	Vvc	Le
fils	Nc	FIL|FILS
de	S	DE
Tamerlan	Nc	Tamerlan
,	Fw	,
esclave	Nc	ESCLAVE
de	S	DE
vos	Ds	VOTRE
yeux	Nc	OEIL|YEUX
,	Fw	,
Vous	Nc	Vous
offre	Vvc	OFFRIR
,	Fw	,
avec	S	AVEC
sa	Ds	SON
main	Nc	MAIN
,	Fw	,
un	Dn	UN
sceptre	Nc	SCEPTRE
glorieux	Ag	GLORIEUX
;	Fw	;
Madame	Nc	MADAME
,	Fw	,
se	Pp	IL
peut-il	Rg	peut-il
,	Fw	,
que	Cs	QUE
cruelle	Ag	CRUEL
à	S	À
vous	Pp	VOUS
-même	Vvc	-même
,	Fw	,
Vous	Nc	Vous
dédaigniez	Vvc	DÉDAIGNER
toujours	Rg	TOUJOURS
l'	Da	LE
éclat	Nc	ÉCLAT
du	S+Da	DE+LE
diadème	Nc	DIADÈME
?	Fs	?
Conçois	Vvc	Conçois
,	Fw	,
par	S	PAR
mes	Ds	MON
dédains	Nc	DÉDAIN
,	Fw	,
l'	Da	LE
excès	Nc	EXCÈS
de	S	DE
mon	Ds	MON
malheur	Nc	MALHEUR
,	Fw	,
Puisqu'à	Vvc	Puisqu'à
mes	Ds	MON
yeux	Nc	OEIL|YEUX
ce	Dd	CE
trône	Nc	TRÔNE
est	Vuc	ÊTRE
un	Dn	UN
objet	Nc	OBJET
d'	S	DE
horreur	Nc	HORREUR
.	Fs	.
Zaïre	Nc	Zaïre
,	Fw	,
ignores	Vvc	IGNORER
-tu	Vvc	-tu
combien	Rg	COMBIEN
