Cessez	Vvc	CESSER
,	Fw	,
mes	Ds	MON
chers	Ag	CHER
enfants	Nc	ENFANT
,	Fw	,
de	S	DE
consoler	Vvn	CONSOLER
un	Dn	UN
Père	Nc	Père
,	Fw	,
Que	Vvc	Que
le	Da	LE
Ciel	Nc	CIEL
met	Vvc	METTRE
en	S	EN
butte	Nc	BUTTE
aux	S+Da	À+LES
coups	Nc	COUP
de	S	DE
sa	Ds	SON
colère	Nc	COLÈRE
,	Fw	,
Quand	Nc	Quand
son	Ds	SON
bras	Nc	BRAS
irrité	Ge	IRRITER
frappe	Vvc	FRAPPER
si	Rg	SI
rudement	Rg	RUDEMENT
Une	Vvc	Une
soudaine	Ag	SOUDAIN
mort	Nc	MORT
est	Vuc	ÊTRE
un	Dn	UN
soulagement	Nc	SOULAGEMENT
.	Fs	.
Fuyez	Vvc	FUIR
donc	Rg	DONC
de	S	DE
mes	Ds	MON
yeux	Nc	OEIL|YEUX
,	Fw	,
fuyez	Vvc	FUIR
d'	S	DE
un	Dn	UN
misérable	Ag	MISÉRABLE
,	Fw	,
De	Vvc	De
peur	Nc	PEUR
qu'	Cs	QUE
en	S	EN
l'	Pp	IL
appuyant	Ga	APPUYER
son	Ds	SON
sort	Nc	SORT
ne	Rp	NE
vous	Pp	VOUS
accable	Vvc	ACCABLER
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
d'	S	DE
un	Dn	UN
Dieu	Nc	DIEU
vengeur	Nc	VENGEUR
l'	Da	LE
équitable	Ag	ÉQUITABLE
courroux	Nc	COURROUX
,	Fw	,
En	Vvc	En
tombant	Ag	TOMBANT
dessus	S	DESSUS
lui	Pp	IL
,	Fw	,
ne	Rp	NE
tombe	Vvc	TOMBER
dessus	S	DESSUS
vous	Pp	VOUS
.	Fs	.
Quoi	Pt	QUE|QUOI
,	Fw	,
vous	Pp	VOUS
dépouillez	Vvc	DÉPOUILLER
-vous	Nc	-vous
de	S	DE
ce	Dd	CE
courage	Nc	COURAGE
extrême	Ag	EXTRÊME
Qui	Vvc	Qui
dessus	S	DESSUS
votre	Ds	VOTRE
front	Nc	FRONT
assure	Vvc	ASSURER
un	Dn	UN
Diadème	Nc	Diadème
?	Fs	?
Refusez	Vvc	REFUSER
-vous	Nc	-vous
de	S	DE
vaincre	Vvn	VAINCRE
et	Cc	ET
de	S	DE
vivre	Vvn	VIVRE
pour	S	POUR
nous	Pp	NOUS
?	Fs	?
Et	Cc	ET
vous	Pp	VOUS
-même	Vvc	-même
aujourd'hui	Rg	AUJOURD'HUI
vous	Pp	VOUS
abandonnez	Vvc	ABANDONNER
-vous	Nc	-vous
?	Fs	?
Ha	Rg	HA
!	Fs	!
Ne	Rp	NE
me	Pp	JE
forcez	Vvc	FORCER
point	Rg	POINT
d'	S	DE
avouer	Vvn	AVOUER
ma	Ds	MON
faiblesse	Nc	FAIBLESSE
,	Fw	,
Oui	Vvc	Oui
,	Fw	,
je	Pp	JE
perds	Vvc	PERDRE
tout	Di	TOUT
espoir	Nc	ESPOIR
,	Fw	,
mon	Ds	MON
courage	Nc	COURAGE
me	Pp	JE
laisse	Vvc	LAISSER
;	Fw	;
Quand	Nc	Quand
le	Da	LE
Ciel	Nc	CIEL
abandonne	Vvc	ABANDONNER
un	Dn	UN
esprit	Nc	ESPRIT
combattu	Ge	COMBATTRE
,	Fw	,
Il	Vvc	Il
est	Vuc	ÊTRE
abandonné	Ge	ABANDONNER
de	S	DE
sa	Ds	SON
propre	Ag	PROPRE
vertu	Nc	VERTU
.	Fs	.
Quel	Dt	QUEL
succès	Nc	SUCCÈS
,	Fw	,
quel	Dt	QUEL
prodige	Nc	PRODIGE
effroyable	Ag	EFFROYABLE
et	Cc	ET
funeste	Ag	FUNESTE
Marque	Nc	MARQUE
dans	S	DANS
vos	Ds	VOTRE
États	Nc	États
la	Da	LE
colère	Nc	COLÈRE
céleste	Ag	CÉLESTE
?	Fs	?
A-t	Ag	A-t
-on	Nc	-on
vu	Ge	VOIR
contre	S	CONTRE
vous	Pp	VOUS
un	Dn	UN
peuple	Nc	PEUPLE
révolté	Ge	RÉVOLTER
,	Fw	,
Porter	Vvn	PORTER
la	Da	LE
guerre	Nc	GUERRE
au	S+Da	À+LE
trône	Nc	TRÔNE
où	Pr	OÙ
vous	Pp	VOUS
êtes	Vuc	ÊTRE
monté	Ge	MONTER
?	Fs	?
Le	Pp	IL
voit	Vvc	VOIR
-on	Nc	-on
murmurer	Vvn	MURMURER
contre	S	CONTRE
l'	Da	LE
obéissance	Nc	OBÉISSANCE
,	Fw	,
Dont	Vvc	Dont
il	Pp	IL
doit	Vvc	DEVOIR
honorer	Vvn	HONORER
la	Da	LE
suprême	Ag	SUPRÊME
puissance	Nc	PUISSANCE
,	Fw	,
Et	Vvc	Et
qui	Pr	QUI
se	Pp	IL
conservant	Ga	CONSERVER
sans	S	SANS
la	Da	LE
crainte	Nc	CRAINTE
des	S+Da	DE+LE|DE+LES
Lois	Vvc	Lois
,	Fw	,
Est	Vvc	Est
le	Da	LE
plus	Rg	PLUS
fort	Ag	FORT
appui	Nc	APPUI
de	S	DE
la	Da	LE
grandeur	Nc	GRANDEUR
des	S+Da	DE+LE|DE+LES
Rois	Vvc	Rois
?	Fs	?
Hé	Vvc	Hé
bien	Rg	BIEN
,	Fw	,
les	Da	LE
Philistins	Nc	PHILISTIN
vous	Pp	VOUS
déclarent	Vvc	DÉCLARER
la	Da	LE
guerre	Nc	GUERRE
,	Fw	,
Ont	Vvc	Ont
-ils	Vvn	-ils
du	S+Da	DE+LE
Dieu	Nc	DIEU
vivant	Ga	VIVRE
emprunté	Ge	EMPRUNTER
le	Da	LE
tonnerre	Nc	TONNERRE
?	Fs	?
Ont	Vuc	AVOIR
-ils	Ge	-ils
tant	Rg	TANT
de	S	DE
bonheur	Nc	BONHEUR
,	Fw	,
ont	Vuc	AVOIR
-ils	Ge	-ils
tant	Rg	TANT
de	S	DE
vertu	Nc	VERTU
,	Fw	,
Qu'	Vvc	Qu'
on	Pp	ON
ne	Rp	NE
puisse	Vvc	POUVOIR
les	Pp	ILS
voir	Vvn	VOIR
sans	S	SANS
en	Pp	EN
être	Vun	ÊTRE
abattu	Ge	ABATTRE
?	Fs	?
Combien	Rg	COMBIEN
,	Fw	,
combien	Rg	COMBIEN
de	S	DE
fois	Nc	FOI|FOIS
ce	Dd	CE
barbare	Ag	BARBARE
adversaire	Nc	ADVERSAIRE
A-t-il	Ga	A-t-il
fait	Ge	FAIRE
en	Pp	EN
Judée	Vvc	Judée
un	Dn	UN
effort	Nc	EFFORT
téméraire	Ag	TÉMÉRAIRE
?	Fs	?
En	S	EN
quel	Dt	QUEL
temps	Nc	TEMPS
,	Fw	,
en	S	EN
quel	Dt	QUEL
lieu	Nc	LIEU
tombant	Ga	TOMBER
dessous	S	DESSOUS
nos	Ds	NOTRE
coups	Nc	COUP
,	Fw	,
N'	Ga	N'
a-t-il	V	AVOIR
