/	Vvc	/
speaker	Nc	SPEAKER
>	Vvc	>
Seigneur	Nc	SEIGNEUR
,	Fw	,
en	S	EN
attendant	Ga	ATTENDRE
que	Cs	QUE
Scipion	Nc	Scipion
vous	Pp	VOUS
voit	Vvc	VOIR
,	Fw	,
Je	Vvc	Je
me	Pp	JE
tiens	Vvc	TENIR
honoré	Ge	HONORER
de	S	DE
l'	Da	LE
ordre	Nc	ORDRE
qu'	Pr	QUE
il	Pp	IL
m'	Pp	JE
envoie	Vvc	ENVOYER
,	Fw	,
De	Vvc	De
vous	Pp	VOUS
entretenir	Vvn	ENTRETENIR
pendant	S	PENDANT
quelques	Di	QUELQUE
moments	Nc	MOMENT
,	Fw	,
Nous	Vvc	Nous
saurons	Vvc	SAURER|SAVOIR
d'	S	DE
Annibal	Nc	Annibal
les	Da	LE
secrets	Ag	SECRET
sentiments	Nc	SENTIMENT
,	Fw	,
C'	Vvc	C'
est	Vuc	ÊTRE
vous	Pp	VOUS
qui	Pr	QUI
dans	S	DANS
ce	Dd	CE
Camp	Nc	CAMP
annoncez	Vvc	ANNONCER
sa	Ds	SON
venue	Nc	VENU|VENUE
.	Fs	.
Oui	Rg	OUI
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
Annibal	Nc	Annibal
souhaite	Vvc	SOUHAITER
une	Dn	UN
entrevue	Nc	ENTREVUE
,	Fw	,
Je	Vvc	Je
viens	Vvc	VENIR
la	Pp	IL
demander	Vvn	DEMANDER
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
son	Ds	SON
intention	Nc	INTENTION
Que	Vvc	Que
de	S	DE
voir	Vvn	VOIR
aujourd'hui	Rg	AUJOURD'HUI
le	Da	LE
fameux	Ag	FAMEUX
Scipion	Nc	Scipion
;	Fw	;
Aux	Vvc	Aux
plaines	Nc	PLAINE
de	S	DE
Zama	Nc	Zama
nous	Pp	NOUS
sommes	Vuc	ÊTRE
l'	Da	LE
un	Pi	UN
et	Cc	ET
l'	Da	LE
autre	Pi	AUTRE
,	Fw	,
Notre	Nc	Notre
Armée	Ag	Armée
est	Vuc	ÊTRE
campée	Ge	CAMPER
assez	Rg	ASSEZ
près	Rg	PRÈS
de	S	DE
la	Da	LE
vôtre	As#Ps	VÔTRE
;	Fw	;
Mais	Vvc	Mais
Annibal	Ag	Annibal
prétend	Vvc	PRÉTENDRE
avec	S	AVEC
lui	Pp	IL
conférer	Vvn	CONFÉRER
,	Fw	,
Et	Vvc	Et
je	Pp	JE
viens	Vvc	VENIR
en	S	EN
ce	Dd	CE
