Illustres	Ag	ILLUSTRE
chevaliers	Nc	CHEVALIER
,	Fw	,
vengeurs	Nc	VENGEUR
de	S	DE
la	Da	LE
Sicile	Nc	Sicile
,	Fw	,
Qui	Vvc	Qui
daignez	Vvc	DAIGNER
,	Fw	,
par	S	PAR
égard	Nc	ÉGARD
au	S+Da	À+LE
déclin	Nc	DÉCLIN
de	S	DE
mes	Ds	MON
ans	Nc	AN
,	Fw	,
Vous	Vvc	Vous
assembler	Vvn	ASSEMBLER
chez	S	CHEZ
moi	Pp	JE
pour	S	POUR
chasser	Vvn	CHASSER
nos	Ds	NOTRE
tyrans	Nc	TYRAN
,	Fw	,
Et	Vvc	Et
former	Vvn	FORMER
un	Dn	UN
état	Nc	ÉTAT
triomphant	Ag	TRIOMPHANT
et	Cc	ET
tranquille	Ag	TRANQUILLE
;	Fw	;
Syracuse	Vvc	Syracuse
en	S	EN
ses	Ds	SON
murs	Nc	MUR|MURS
a	Vuc	AVOIR
gémi	Ge	GÉMIR
trop	Rg	TROP
longtemps	Rg	LONGTEMPS
Des	Ag	Des
desseins	Nc	DESSEIN
avortés	Ge	AVORTER
d'	S	DE
un	Dn	UN
courage	Nc	COURAGE
inutile	Ag	INUTILE
.	Fs	.
Il	Pp	IL
est	Vuc	ÊTRE
temps	Nc	TEMPS
de	S	DE
marcher	Vvn	MARCHER
à	S	À
ces	Dd	CE
fiers	Ag	FIER
musulmans	Nc	MUSULMAN
,	Fw	,
Il	Vvc	Il
est	Vuc	ÊTRE
temps	Nc	TEMPS
de	S	DE
sauver	Vvn	SAUVER
d'	S	DE
un	Dn	UN
naufrage	Nc	NAUFRAGE
funeste	Ag	FUNESTE
Le	Vvc	Le
plus	Rg	PLUS
grand	Ag	GRAND
de	S	DE
nos	Ds	NOTRE
biens	Nc	BIEN
,	Fw	,
le	Da	LE
plus	Rg	PLUS
cher	Ag	CHER
qui	Pr	QUI
nous	Pp	NOUS
reste	Vvc	RESTER
,	Fw	,
Le	Vvc	Le
droit	Rg	DROIT
le	Da	LE
plus	Rg	PLUS
sacré	Ge	SACRER
des	S+Da	DE+LE|DE+LES
mortels	Nc	MORTEL
généreux	Ag	GÉNÉREUX
,	Fw	,
La	Vvc	La
liberté	Nc	LIBERTÉ
:	Fw	:
c'	Pd	CE
est	Vuc	ÊTRE
là	Rg	LÀ
que	Pr	QUE
tendent	Vvc	TENDRE
tous	Di	TOUT
nos	Ds	NOTRE
voeux	Nc	VU
.	Fs	.
Deux	Nc	DEUX
puissants	Ag	PUISSANT
ennemis	Nc	ENNEMI
de	S	DE
notre	Ds	NOTRE
république	Nc	RÉPUBLIQUE
,	Fw	,
Des	Vvc	Des
droits	Nc	DROIT|DROITS
des	S+Da	DE+LE|DE+LES
nations	Nc	NATION
,	Fw	,
du	S+Da	DE+LE
bonheur	Nc	BONHEUR
des	S+Da	DE+LE|DE+LES
humains	Nc	HUMAINS
,	Fw	,
Les	Vvc	Les
césars	Nc	CÉSAR
de	S	DE
Byzance	Nc	Byzance
,	Fw	,
et	Cc	ET
les	Da	LE
fiers	Ag	FIER
