	docprops1	docprops2	origzeta	log2zeta	log10zeta	divzeta	relfreqs1	relfreqs2	ratiorelfreqs	subrelfreqs	logrelfreqs
n't	0.87	0.10294117647058823	0.7670588235294118	0.7136694451114491	0.5756011555631191	-0.6832352939450125	1.930000000000001	0.1360294117647059	-0.6832352940425488	0.19069862525941939	0.5462518726203235
holmes	0.71	0.0	0.71	0.7670588235294117	0.7670588235294118	0.7670588235294117	2.740000000000002	0.0	0.7670588235294117	0.2748618148783156	0.7670588235294116
mr.	0.65	0.014705882352941176	0.6352941176470589	0.6994160550790749	0.7104527825355649	-0.6832352932147879	1.6500000000000008	0.022058823529411766	-0.6832352937217273	0.17592787427547193	0.5776147577967725
case	0.69	0.14705882352941177	0.5429411764705881	0.5345150394390766	0.43117730012555283	-0.683235294021805	0.9900000000000007	0.08455882352941181	-0.683235294055677	0.11165090387322771	0.37709888672334946
watson	0.52	0.0	0.52	0.6223478679990023	0.701349526859895	0.37895194698143986	0.9650000000000005	0.0	-0.1724565264027541	0.11694953465134879	0.4353301835909919
anything	0.65	0.1323529411764706	0.5176470588235295	0.5250252172046552	0.4474021809068968	-0.6832352940173294	0.5750000000000004	0.07352941176470591	-0.6832352940762555	0.07571179585471255	0.2486202807493062
just	0.79	0.3088235294117647	0.4811764705882353	0.4138323280815583	0.17706954444809175	-0.6832352940653936	0.8050000000000006	0.23161764705882365	-0.6832352940992508	0.08210940190533285	0.22790435223570177
sherlock	0.48	0.0	0.48	0.5884567132582745	0.6859604781650779	0.29724523612923504	0.5700000000000003	0.0	-0.38153177328906707	0.08180849200929138	0.30401402680634926
get	0.91	0.4485294117647059	0.46147058823529413	0.35420493626102784	0.0076809886368542635	-0.6832352940762043	1.685000000000001	0.48529411764705904	-0.683235294099269	0.13783006482883337	0.3189032693251663
street	0.56	0.11764705882352941	0.4423529411764706	0.4759213333298678	0.4461225929541342	-0.683235294020416	0.5750000000000002	0.0772058823529412	-0.6832352940782265	0.07538471988075446	0.2459497116056661
suppose	0.46	0.029411764705882353	0.43058823529411766	0.5225660982473193	0.6049881672780493	-0.6832352937981738	0.35000000000000014	0.014705882352941176	-0.6832352939916726	0.06092796183180679	0.19569787219331294
fact	0.51	0.08088235294117647	0.42911764705882355	0.4869771608350858	0.5059567179246534	-0.6832352939888475	0.4750000000000002	0.040441176470588244	-0.6832352940554779	0.06975901312867527	0.23264858190167093
quite	0.56	0.1323529411764706	0.4276470588235295	0.4559870986445241	0.4160538548776375	-0.6832352940312195	0.45000000000000023	0.08088235294117652	-0.6832352940881985	0.06393706079222124	0.19163255436707527
london	0.46	0.04411764705882353	0.4158823529411765	0.4993546220051329	0.5699760481517366	-0.6832352939046649	0.4400000000000002	0.022058823529411766	-0.6832352940120685	0.06828062972638471	0.2318327300341998
crime	0.45	0.03676470588235294	0.4132352941176471	0.5020099382537675	0.5833341530598355	-0.6832352938676245	0.35500000000000015	0.01838235294117647	-0.6832352940154278	0.0610457091824317	0.19517446242052422
want	0.61	0.19852941176470587	0.41147058823529414	0.4107158344898574	0.3065988192712919	-0.6832352940548841	0.5000000000000003	0.11397058823529417	-0.683235294094426	0.06544161027242847	0.1899166970900259
police	0.41	0.0	0.41	0.5256749673727322	0.6574530002709358	0.154258492137877	0.38000000000000017	0.0	-0.48209961356349607	0.06490520567513719	0.22230957412626412
dr.	0.4	0.0	0.4	0.5163139231101253	0.653202405474339	0.13383181442482595	0.6350000000000002	0.0	-0.34712698582676244	0.08759119522887043	0.3286617776133304
paper	0.48	0.09558823529411764	0.38441176470588234	0.44025228520639276	0.4624093762938101	-0.6832352940150737	0.4750000000000002	0.0698529411764706	-0.6832352940816544	0.06714240533701053	0.2105007434803158
idea	0.42	0.04411764705882353	0.37588235294117645	0.46329956855035676	0.5536044320898323	-0.683235293923185	0.3250000000000001	0.022058823529411766	-0.6832352940396629	0.05804969326097558	0.17729268177271143
night	0.88	0.5073529411764706	0.37264705882352944	0.28501289406718444	-0.07747900074274523	-0.6832352940822172	1.2250000000000008	0.4264705882352944	-0.6832352941024432	0.10213953455052639	0.24583398610334917
exactly	0.4	0.029411764705882353	0.37058823529411766	0.4678912648099266	0.5801618171407987	-0.6832352938398443	0.2600000000000001	0.014705882352941176	-0.683235294024066	0.0529211419893127	0.14892260183033498
certainly	0.46	0.09558823529411764	0.3644117647058824	0.4227843284956362	0.45447765374032195	-0.6832352940193476	0.35000000000000026	0.05147058823529414	-0.6832352940816544	0.05765720209222588	0.16686280872556203
