	docprops1	docprops2	origzeta	log2zeta	log10zeta	divzeta	relfreqs1	relfreqs2	ratiorelfreqs	subrelfreqs	logrelfreqs
sort	0.49206349206349204	0.1643835616438356	0.32767993041965643	0.3276799304196563	0.22221872651458413	-0.2955715008906783	0.3174603174603177	0.10273972602739732	-0.29557150098027757	-0.011362969535154727	0.22418600437406336
merchant	0.31746031746031744	0.0821917808219178	0.23526853663839964	0.2831531905184431	0.27740819626773094	-0.2955715008441469	0.44973544973545	0.05936073059360733	-0.2955715008776622	0.033723066736923366	0.31492897339070647
business	0.48148148148148145	0.2511415525114155	0.23033992897006594	0.23109371438254186	0.12800141269963394	-0.29557150094830204	0.47354497354497394	0.16666666666666677	-0.2955715009859655	0.012291618919537811	0.25404846761071187
paper	0.42857142857142855	0.2100456621004566	0.21852576647097194	0.2317081501536625	0.15760862355647062	-0.2955715009417055	0.41005291005291034	0.17351598173515992	-0.29557150099690027	-0.005763259645369084	0.22268115843737618
moment	0.7142857142857143	0.4977168949771689	0.21656881930854538	0.17969001535012008	-0.036405424404144515	-0.2955715009741123	0.6111111111111115	0.3812785388127857	-0.2955715010142928	-0.007484100724456051	0.19471213673562424
anything	0.5132275132275133	0.2968036529680365	0.21642386025947674	0.21142217130347632	0.09102774502279928	-0.29557150095836754	0.44708994708994737	0.2283105022831052	-0.2955715010061625	-0.010321163044031835	0.20720227652317255
nothing	0.8042328042328042	0.6118721461187214	0.19236065811408276	0.15300512906310265	-0.10134458290671054	-0.2955715009805773	0.8306878306878314	0.5799086757990871	-0.29557150101818913	-0.0021076350827681223	0.1854539241785071
fellow	0.5132275132275133	0.3242009132420091	0.18902659998550414	0.18695615072922148	0.0657415813111617	-0.29557150096619167	0.4074074074074077	0.2557077625570778	-0.295571501014511	-0.027538875678572057	0.1750001342476643
result	0.2962962962962963	0.1095890410958904	0.18670725520040587	0.23088911546440213	0.23710608057542104	-0.2955715009061888	0.19841269841269854	0.07305936073059362	-0.29557150098883594	-0.03430131602720024	0.18101168305869708
idea	0.37037037037037035	0.1963470319634703	0.17402333840690004	0.19896185961405463	0.1576055745862245	-0.2955715009499547	0.28042328042328063	0.1369863013698631	-0.29557150100413054	-0.029659696035500845	0.1831391420176985
effect	0.3333333333333333	0.1598173515981735	0.1735159817351598	0.2064885048377183	0.18811915249934713	-0.29557150093927775	0.2063492063492065	0.12328767123287673	-0.29557150101267055	-0.045156567590954134	0.15164102211201835
appearance	0.3333333333333333	0.1598173515981735	0.1735159817351598	0.2064885048377183	0.18811915249934713	-0.29557150093927775	0.19312169312169328	0.09360730593607311	-0.2955715010037643	-0.04093353056443806	0.1637117082065715
case	0.4973544973544973	0.3242009132420091	0.1731535841124882	0.1755287946037261	0.06218629039513615	-0.2955715009688132	0.45767195767195795	0.36301369863013716	-0.29557150102211616	-0.042179977616317255	0.14314847078802947
fact	0.42857142857142855	0.2557077625570776	0.17286366601435094	0.18660212059687611	0.11099056222143461	-0.295571500961214	0.35714285714285743	0.20547945205479462	-0.2955715010111981	-0.02754817752224279	0.1797620749808735
firm	0.25925925925925924	0.0958904109589041	0.16336884830035514	0.21286869551183613	0.24338219730983385	-0.2955715009061888	0.306878306878307	0.05479452054794522	-0.2955715009228537	-0.0017727687106215279	0.2524010765067176
look	0.3439153439153439	0.182648401826484	0.1612669420888599	0.1910020924636676	0.16551649893238066	-0.29557150095013507	0.22751322751322764	0.10958904109589049	-0.29557150100346796	-0.036208193979702014	0.1725405873303526
interest	0.38095238095238093	0.2237442922374429	0.15720808871493802	0.17977954003088353	0.13146215942049583	-0.29557150095978957	0.2539682539682542	0.14383561643835627	-0.29557150101056706	-0.03820809036891116	0.16489076118174972
job	0.17989417989417988	0.0228310502283105	0.15706312966586938	0.22762694065187836	0.3163570383597781	-0.2955715006290685	0.13756613756613764	0.01598173515981735	-0.29557150085407136	-0.03526870776895724	0.18657155182645338
knowledge	0.2751322751322751	0.1187214611872146	0.1564108139450605	0.20063206502008982	0.21991814603015086	-0.2955715009268694	0.18783068783068796	0.08675799086757996	-0.29557150100143376	-0.040533551286596234	0.16530411794704242
place	0.6931216931216931	0.5388127853881278	0.15430890773356531	0.13775268798463358	-0.07055599179378835	-0.29557150098207613	0.6322751322751328	0.41780821917808253	-0.2955715010163395	-0.011428082440849911	0.18592903123789928
manner	0.42328042328042326	0.273972602739726	0.14930782054069724	0.16518295284741608	0.09184090395496769	-0.29557150096823065	0.2989417989417992	0.17808219178082205	-0.29557150101255725	-0.03545474464237204	0.16735965280842996
account	0.31746031746031744	0.1689497716894977	0.14851054577081974	0.18262226754358327	0.17350730365181932	-0.2955715009503447	0.24338624338624354	0.09589041095890416	-0.2955715009928982	-0.028617889544377946	0.19043772753193122
