	docprops1	docprops2	origzeta	log2zeta	log10zeta	divzeta	meanrelfreqs	relfreqs1	relfreqs2	ratiorelfreqs	subrelfreqs	logrelfreqs
king	0.35585585585585583	0.016129032258064516	0.3397268235977913	0.3397268235977914	0.3397268235977914	-0.3966870089574363	0.513480392156863	0.9369369369369375	0.008064516129032258	-0.39668700783967453	0.33972682359779127	0.3397268235977914
forest	0.31981981981981983	0.021505376344086023	0.2983144434757338	0.29819455429307257	0.3205509241905675	-0.39668700916369676	0.1397058823529413	0.24774774774774794	0.010752688172043012	-0.3966870092430689	0.06331403208584543	0.03813173168613082
knight	0.28378378378378377	0.005376344086021506	0.27840743969776227	0.2876635424678158	0.335262078425685	-0.39668700807632357	0.28553921568627466	0.5225225225225228	0.002688172043010753	-0.3966870066614124	0.17631151159398417	0.18876324593043758
wood	0.42342342342342343	0.15053763440860216	0.2728857890148213	0.2187744404955531	0.16816574638699336	-0.3966870095095621	0.3394607843137257	0.5382882882882887	0.10215053763440864	-0.3966870095108356	0.1428737781253544	0.11308210687672554
sword	0.30180180180180183	0.043010752688172046	0.25879104911362977	0.24946340511926202	0.28180861365687493	-0.39668700938898127	0.17524509803921579	0.30180180180180194	0.024193548387096777	-0.3966870094022745	0.0795394600450156	0.05820215534365314
archer	0.25675675675675674	0.0	0.25675675675675674	0.26868229013112777	0.33537045081107386	0.3397268235977914	0.2659313725490198	0.4887387387387391	0.0	0.3397268235977914	0.1638884647844585	0.17583075518576224
war	0.32432432432432434	0.06989247311827956	0.2544318512060448	0.23342321303822366	0.24892305596719413	-0.39668700945714425	0.1678921568627452	0.26351351351351365	0.05376344086021507	-0.3966870095163836	0.05242935322235914	0.0106566953091147
lord	0.24324324324324326	0.010752688172043012	0.23249055507120026	0.23810823986810742	0.313406713798975	-0.39668700894141606	0.16299019607843143	0.2950450450450452	0.005376344086021506	-0.39668700876334784	0.08435774455525218	0.07107010235229089
shoulder	0.5495495495495496	0.3279569892473118	0.22159256030223778	0.130751224670834	0.0014961950141256786	-0.39668700954217473	0.3321078431372551	0.4414414414414417	0.20161290322580658	-0.39668700955724406	0.06444603868764798	-0.0017843761552651383
tongue	0.3108108108108108	0.0913978494623656	0.2194129613484452	0.1917428024561005	0.2143612544475361	-0.39668700949270047	0.12990196078431382	0.19819819819819834	0.04838709677419356	-0.3966870095285169	0.02848305972268938	-0.025834254317029723
arm	0.6216216216216216	0.4032258064516129	0.21839581517000872	0.11472584709070033	-0.05363101615626242	-0.39668700954601954	0.4926470588235297	0.6599099099099104	0.2930107526881723	-0.39668700955630054	0.11521218090694793	0.03771065280019481
land	0.35135135135135137	0.13978494623655913	0.21156640511479224	0.16851580157069918	0.16175340732144625	-0.39668700951814434	0.22671568627450994	0.3423423423423426	0.08870967741935488	-0.3966870095320874	0.06996094264514773	0.02763085808972593
comrade	0.32882882882882886	0.11827956989247312	0.21054925893635573	0.17425787005069418	0.1832391211170292	-0.39668700951049835	0.19485294117647073	0.292792792792793	0.07795698924731186	-0.396687009533644	0.054461159943543266	0.008306706628429278
tree	0.3918918918918919	0.1827956989247312	0.2090961929671607	0.15408803124252446	0.11975348770532748	-0.39668700952874597	0.32107843137254927	0.46846846846846874	0.14516129032258068	-0.3966870095416087	0.09779669472536992	0.049598360987767764
horse	0.36936936936936937	0.16129032258064516	0.20807904678872421	0.15908767351024536	0.1397445693386458	-0.39668700952455244	0.41421568627451005	0.6171171171171174	0.1720430107526882	-0.3966870095361879	0.1464439527925778	0.09630175241890088
squire	0.22072072072072071	0.016129032258064516	0.20459168846265618	0.20601929011850223	0.2971738037348859	-0.39668700919773975	0.1887254901960785	0.3400900900900903	0.008064516129032258	-0.39668700895481546	0.10127979196168549	0.09388177274008241
river	0.27927927927927926	0.07526881720430108	0.2040104620749782	0.18239556274488292	0.22728466090020924	-0.3966870094838153	0.2401960784313727	0.3671171171171173	0.08870967741935486	-0.39668700952787933	0.07985874395834452	0.04090763781708362
honor	0.1981981981981982	0.010752688172043012	0.1874455100261552	0.18946447945879719	0.29792561973463483	-0.3966870090615678	0.09436274509803926	0.168918918918919	0.005376344086021506	-0.39668700911682653	0.03396893786988643	-0.008045855172855637
front	0.5945945945945946	0.40860215053763443	0.1859924440569602	0.09113065464857426	-0.06455245901570086	-0.3966870095484985	0.42647058823529443	0.5045045045045049	0.33333333333333354	-0.3966870095674303	0.03701664795166262	-0.050890362258878885
steel	0.21621621621621623	0.03763440860215054	0.1785818076140657	0.16937981803663613	0.2620425823796657	-0.39668700942545587	0.09191176470588241	0.15090090090090097	0.021505376344086023	-0.3966870094845074	0.020326807027650315	-0.03494135770699203
soldier	0.32882882882882886	0.15591397849462366	0.1729148503342052	0.12828393084867531	0.1346346240617555	-0.3966870095297452	0.2549019607843139	0.33108108108108125	0.163978494623656	-0.39668700955981306	0.035391202574715314	-0.0336406914251053
air	0.581081081081081	0.40860215053763443	0.1724789305434466	0.0814653533664639	-0.067628484328084	-0.396687009549447	0.37377450980392185	0.434684684684685	0.30107526881720453	-0.39668700956848113	0.02201030402520287	-0.06580413258108557
court	0.22072072072072071	0.04838709677419355	0.17233362394652718	0.1588505002885889	0.24730608854270655	-0.3966870094594035	0.16299019607843143	0.2725225225225227	0.03225806451612904	-0.396687009462941	0.06462019354946377	0.03417104018490802
gold	0.25225225225225223	0.08064516129032258	0.17160709096192966	0.14769454184258698	0.21089250899990666	-0.3966870095005221	0.12500000000000008	0.19369369369369382	0.04301075268817206	-0.3966870095223801	0.028831369446320934	-0.02428625731040275
hilt	0.17567567567567569	0.005376344086021506	0.17029933158965418	0.17218584020393723	0.29851078378813445	-0.3966870086530519	0.08088235294117653	0.1463963963963965	0.002688172043010753	-0.39668700876966	0.02604489165726845	-0.0212901341150752
bowman	0.16666666666666666	0.0	0.16666666666666666	0.17006353780342182	0.3039845923074028	0.0813360049453895	0.13112745098039222	0.2409909909909911	0.0	-0.0335705111903446	0.06491045165249006	0.04371961958204024
edge	0.3108108108108108	0.14516129032258066	0.16564952048823015	0.12404388358346216	0.1427887079113049	-0.3966870095288245	0.16911764705882362	0.23873873873873888	0.08602150537634415	-0.3966870095484176	0.02964409213479456	-0.03038408267732065
monsieur	0.16666666666666666	0.005376344086021506	0.16129032258064516	0.16174210289129043	0.2951870177314009	-0.39668700870111256	0.1311274509803922	0.2387387387387388	0.002688172043010753	-0.39668700825206626	0.06293669655191118	0.039869490944306446
company	0.3108108108108108	0.15053763440860216	0.16027317640220864	0.11758702704435661	0.13596240000537943	-0.39668700953101776	0.23039215686274522	0.30630630630630645	0.13978494623655918	-0.39668700955721814	0.03515899609229427	-0.030501441642085292
path	0.30180180180180183	0.14516129032258066	0.15664051147922117	0.1153505333929207	0.14002201037596665	-0.39668700953060454	0.18750000000000014	0.23648648648648668	0.12903225806451615	-0.3966870095626199	0.011561012316256086	-0.06422213246145107
camp	0.1981981981981982	0.043010752688172046	0.15518744551002617	0.1418140760278548	0.24754873375441114	-0.3966870094580685	0.14215686274509812	0.23648648648648665	0.029569892473118288	-0.3966870094697313	0.051297346620556586	0.014610527222269715
man-at-arms	0.15315315315315314	0.0	0.15315315315315314	0.15413028309556484	0.2989137628154416	0.042577382147529264	0.06740196078431375	0.12387387387387391	0.0	-0.21003834218109982	0.018120845444650424	-0.03507770774834622
