	docprops1	docprops2	origzeta	logzeta	divzeta	relfreqs1	relfreqs2	ratiorelfreqs	subrelfreqs	logrelfreqs
case	0.69	0.14705882352941177	0.5429411764705881	0.15284008500693158	-0.536764705752456	0.9900000000000007	0.08455882352941181	-0.536764705536024	0.5429411764705881	0.26068542522756677
anything	0.64	0.1323529411764706	0.5076470588235295	0.15543889090920907	-0.5367647057484817	0.5550000000000004	0.07352941176470591	-0.5367647056590756	0.35176121953510553	0.22472538199989942
fact	0.51	0.08088235294117647	0.42911764705882355	0.1784366616283827	-0.5367647057077879	0.4750000000000002	0.040441176470588244	-0.5367647055349108	0.330607419235966	0.26000146913896804
crime	0.45	0.03676470588235294	0.4132352941176471	0.23561098835206803	-0.5367647055434914	0.35500000000000015	0.01838235294117647	-0.536764705311085	0.28644305873682224	0.29837191449969663
police	0.39	0.0	0.39	0.5429411764705881	0.5429411764705881	0.3600000000000002	0.0	0.5281506849319119	0.2969868024595908	0.5418168221400379
paper	0.48	0.09558823529411764	0.38441176470588234	0.158555713737588	-0.5367647057433328	0.4750000000000002	0.0698529411764706	-0.5367647056812023	0.3173448485155024	0.21616212406878152
idea	0.42	0.04411764705882353	0.37588235294117645	0.21387499958146602	-0.536764705618794	0.3250000000000001	0.022058823529411766	-0.5367647054465264	0.2712574152618914	0.2769792076902955
night	0.88	0.5073529411764706	0.37264705882352944	0.06556872372390338	-0.5367647058343339	1.2000000000000008	0.4227941176470591	-0.5367647057983944	0.4851163681293669	0.14560892789093594
detective	0.36	0.0	0.36	0.5359085732092373	0.4598868778301838	0.3650000000000002	0.0	0.5429411764705881	0.2992414394820696	0.542941176470588
room	0.73	0.375	0.355	0.0756946184917619	-0.5367647058284599	1.0450000000000006	0.4448529411764709	-0.5367647058128645	0.40527569239217603	0.13016653383618235
murder	0.37	0.04411764705882353	0.32588235294117646	0.2027370578331486	-0.53676470565017	0.3200000000000001	0.022058823529411766	-0.5367647054532314	0.26900277823941265	0.2757158244095051
mystery	0.33	0.007352941176470588	0.32264705882352945	0.3412734312458342	-0.5367647046398606	0.2200000000000001	0.003676470588235294	-0.5367647041122269	0.23219914449012619	0.3756197190685511
fellow	0.58	0.25735294117647056	0.3226470588235294	0.08852125944565163	-0.5367647058199594	0.4850000000000003	0.15073529411764713	-0.5367647057871743	0.2853820530791852	0.15561455447709582
question	0.54	0.22794117647058823	0.31205882352941183	0.09288461924562598	-0.5367647058167668	0.4050000000000003	0.13602941176470595	-0.5367647057942816	0.25593914607975604	0.14924595893503168
nothing	0.8	0.5	0.30000000000000004	0.05846589046707644	-0.5367647058380572	0.9350000000000005	0.3823529411764709	-0.536764705810016	0.3838566406786273	0.13342955890746624
anyone	0.32	0.029411764705882353	0.29058823529411765	0.22473292596996072	-0.5367647055811426	0.2200000000000001	0.014705882352941176	-0.5367647054398215	0.22722568046995234	0.276593275848209
business	0.47	0.18382352941176472	0.28617647058823525	0.09953602038509535	-0.5367647058115685	0.4050000000000002	0.099264705882353	-0.5367647057616625	0.2725173594803355	0.17477982278676185
deal	0.32	0.03676470588235294	0.2832352941176471	0.2056563170433365	-0.5367647056413847	0.1950000000000001	0.02573529411764706	-0.5367647056582135	0.21097903133738444	0.22329949205050362
doubt	0.47	0.19117647058823528	0.2788235294117647	0.09609919893568575	-0.536764705814291	0.43000000000000027	0.10661764705882357	-0.5367647057630498	0.28047490191261365	0.17387938605241882
death	0.54	0.2647058823529412	0.27529411764705886	0.07976505379687064	-0.536764705825876	0.5800000000000003	0.19852941176470598	-0.5367647057959326	0.30666847908552924	0.1478262729890875
cab	0.27	0.0	0.27	0.5106464748957028	0.2107239819089709	0.33	0.0	0.43940773569985436	0.28345898032471784	0.5347251570762046
everything	0.33	0.0661764705882353	0.26382352941176473	0.1576205838304522	-0.5367647057442982	0.21000000000000013	0.05147058823529413	-0.5367647057616625	0.20613819302441522	0.17421303719461634
difficulty	0.29	0.029411764705882353	0.2605882352941176	0.21608921562283306	-0.5367647056093812	0.20000000000000012	0.014705882352941176	-0.5367647054800515	0.21820713238003708	0.26883966896139655
theory	0.26	0.0	0.26	0.5073342358223616	0.18303921569550274	0.21500000000000008	0.0	0.09922643031030298	0.2316023288077053	0.4998355692795817
something	0.7	0.4411764705882353	0.2588235294117647	0.05772095619505166	-0.5367647058384264	0.6450000000000004	0.334558823529412	-0.5367647058253234	0.2746393707956096	0.11400363570295717
course	0.53	0.27205882352941174	0.2579411764705883	0.07571668299630899	-0.53676470582842	0.42000000000000026	0.2022058823529413	-0.5367647058209105	0.23286227302614937	0.12000419225974807
sort	0.35	0.09558823529411764	0.25441176470588234	0.1307985916886071	-0.5367647057809841	0.21000000000000013	0.05147058823529414	-0.5367647057616625	0.20613819302441522	0.17421303719461634
problem	0.26	0.007352941176470588	0.25264705882352945	0.3203421950822943	-0.5367647049034195	0.16000000000000006	0.003676470588235294	-0.5367647045949886	0.20514350022038044	0.3497281235543704
result	0.28	0.029411764705882353	0.25058823529411767	0.21300865064307603	-0.536764705618794	0.1850000000000001	0.014705882352941176	-0.5367647055102241	0.21144322131260065	0.26250011542523766
knowledge	0.28	0.029411764705882353	0.25058823529411767	0.21300865064307603	-0.536764705618794	0.19500000000000012	0.014705882352941176	-0.5367647054901091	0.21595249535755828	0.2667806363856208
study	0.25	0.0	0.25	0.5038925801141427	0.15535444948203458	0.1950000000000001	0.0	0.0400644641555985	0.22258378071779006	0.49189347531250144
story	0.31	0.0661764705882353	0.24382352941176472	0.15213001082648925	-0.5367647057526652	0.26	0.033088235294117654	-0.5367647056499121	0.236973669949493	0.22685008241711344
street	0.36	0.11764705882352941	0.24235294117647058	0.11515248984135154	-0.5367647057976376	0.2850000000000001	0.0735294117647059	-0.5367647057676971	0.23001082032124964	0.17038703686050016
someone	0.24	0.0	0.24	0.5003109819106347	0.12766968326856643	0.21500000000000008	0.0	0.09922643031030298	0.2316023288077053	0.4998355692795817
affair	0.32	0.08088235294117647	0.23911764705882355	0.13747870385138217	-0.5367647057728219	0.25000000000000017	0.0698529411764706	-0.5367647057764842	0.21588618250395597	0.1638518584373501
card	0.26	0.022058823529411766	0.23794117647058824	0.23088728345690815	-0.5367647055560418	0.19000000000000003	0.01838235294117647	-0.5367647055766038	0.2120400369950215	0.24747636048009836
chance	0.48	0.2426470588235294	0.23735294117647057	0.07704443540437632	-0.5367647058275874	0.3600000000000002	0.13602941176470595	-0.5367647058040672	0.23564741287744673	0.13964362162170757
matter	0.73	0.49264705882352944	0.23735294117647054	0.05171232071218566	-0.5367647058413298	0.7400000000000005	0.4485294117647062	-0.5367647058335492	0.26608501268091067	0.10131746457855378
appearance	0.33	0.09558823529411764	0.23441176470588238	0.1256302369522046	-0.5367647057867766	0.18000000000000013	0.05882352941176472	-0.5367647057918351	0.18929472820942647	0.15095761252740741
window	0.58	0.34558823529411764	0.23441176470588232	0.06263794413281557	-0.5367647058358896	0.6500000000000002	0.3860294117647061	-0.5367647058325442	0.25368450905727713	0.10296938347596754
event	0.27	0.03676470588235294	0.23323529411764707	0.19073983806341258	-0.536764705679036	0.1850000000000001	0.01838235294117647	-0.53676470558465	0.2097853999725427	0.24530808291865527
evidence	0.23	0.0	0.23	0.49657757656355883	0.09998491705509849	0.19000000000000003	0.0	0.025273972616922102	0.2203291436953112	0.48978123191356143
letter	0.34	0.11029411764705882	0.2297058823529412	0.11576750937572354	-0.53676470579701	0.4250000000000002	0.10661764705882355	-0.536764705764437	0.27822026489013485	0.17292559143780875
point	0.53	0.3014705882352941	0.22852941176470593	0.06670482772725733	-0.5367647058336817	0.44000000000000034	0.20955882352941185	-0.5367647058202433	0.23856517843594877	0.12089242388867652
gentleman	0.46	0.23529411764705882	0.2247058823529412	0.07600263768582624	-0.5367647058282292	0.4100000000000002	0.19485294117647065	-0.53676470582011	0.23166864166130763	0.12105176007529653
information	0.22	0.0	0.22	0.49267892350491316	0.07230015084163022	0.13000000000000006	0.0	-0.15221192584719168	0.19327349942556551	0.45895930598866674
companion	0.6	0.38235294117647056	0.21764705882352942	0.056737815936005326	-0.5367647058389091	0.5000000000000003	0.30147058823529427	-0.5367647058332918	0.22417528920424573	0.10171166986620661
evening	0.46	0.2426470588235294	0.2173529411764706	0.07330310112621266	-0.5367647058298693	0.4100000000000002	0.14338235294117657	-0.5367647057977665	0.25487814042211887	0.14597398762916586
pocket	0.3	0.08823529411764706	0.2117647058823529	0.12423588403868474	-0.5367647057882248	0.22500000000000012	0.04779411764705884	-0.5367647057430948	0.2145599254319096	0.18576442187973227
detail	0.24	0.029411764705882353	0.21058823529411763	0.19948095400496876	-0.5367647056564452	0.15000000000000005	0.014705882352941176	-0.5367647055806269	0.19566076215524897	0.24546018814766904
importance	0.26	0.051470588235294115	0.2085294117647059	0.1584550469021063	-0.5367647057425053	0.1600000000000001	0.029411764705882353	-0.5367647057214324	0.1935387508399748	0.19668884282253632
inquiry	0.23	0.022058823529411766	0.20794117647058824	0.22013062419810545	-0.536764705593693	0.14500000000000005	0.011029411764705883	-0.5367647054934616	0.1950639464728281	0.26450604870612293
reason	0.42	0.21323529411764705	0.20676470588235293	0.07664019703001311	-0.5367647058278234	0.35000000000000014	0.12500000000000008	-0.5367647057995262	0.23611160285266292	0.1442064667435351
place	0.72	0.5147058823529411	0.20529411764705885	0.04664771779536141	-0.5367647058436259	0.7450000000000004	0.3529411764705884	-0.5367647058199124	0.31144300454489615	0.12140861182949013
moment	0.65	0.4485294117647059	0.20147058823529412	0.04974918165388296	-0.5367647058422327	0.5650000000000004	0.2904411764705884	-0.5367647058248085	0.2584590345166441	0.11471915324136911
expression	0.37	0.16911764705882354	0.20088235294117646	0.08581565429638081	-0.5367647058217835	0.25500000000000017	0.0955882352941177	-0.5367647058034399	0.20653607014602915	0.14013717375291904
criminal	0.2	0.0	0.2	0.4843224089560113	0.01693061841469412	0.13000000000000003	0.0	-0.1522119258471918	0.19327349942556551	0.45895930598866674
murderer	0.22	0.022058823529411766	0.19794117647058823	0.21623197113945977	-0.5367647056062436	0.15500000000000008	0.011029411764705883	-0.5367647054666415	0.19957322051778575	0.26992122518503947
station	0.22	0.022058823529411766	0.19794117647058823	0.21623197113945977	-0.5367647056062436	0.1400000000000001	0.011029411764705883	-0.5367647055068716	0.19280930945034933	0.2616577022901567
object	0.27	0.07352941176470588	0.19647058823529412	0.13085107061425877	-0.5367647057806945	0.16000000000000006	0.04411764705882353	-0.5367647057750725	0.186907465479743	0.16444728378726053
glass	0.29	0.09558823529411764	0.19441176470588234	0.11428400849480216	-0.5367647057983616	0.2250000000000001	0.0698529411764706	-0.536764705787071	0.20461299739156188	0.15527594251749308
couple	0.22	0.029411764705882353	0.19058823529411764	0.19184889559924717	-0.5367647056752709	0.13000000000000003	0.014705882352941176	-0.536764705620857	0.1866422140653337	0.2338464670617861
revolver	0.19	0.0	0.19	0.47982678145270263	-0.010754147798774039	0.10500000000000005	0.0	-0.2261643835405725	0.18200031431317149	0.44165034271281767
explanation	0.19	0.0	0.19	0.47982678145270263	-0.010754147798774039	0.13500000000000006	0.0	-0.1374214343085155	0.19552813644804434	0.46202105984403485
clue	0.19	0.0	0.19	0.47982678145270263	-0.010754147798774039	0.11000000000000004	0.0	-0.21137389200189638	0.18425495133565029	0.44541779621535443
kind	0.29	0.10294117647058823	0.18705882352941175	0.10782062514460104	-0.536764705804361	0.17000000000000004	0.06250000000000001	-0.5367647058018926	0.18312763282441086	0.14143708581072956
moor	0.26	0.07352941176470588	0.1864705882352941	0.1275388315409175	-0.5367647057844596	0.7250000000000003	0.05147058823529413	-0.5367647054656837	0.43836580633973266	0.27521759076751284
boy	0.28	0.09558823529411764	0.18441176470588239	0.1112034435150451	-0.5367647058012579	0.23000000000000007	0.05514705882352943	-0.5367647057589805	0.2134989197742725	0.17607980409830112
impression	0.22	0.03676470588235294	0.18323529411764705	0.17277228667262295	-0.5367647057166873	0.15000000000000008	0.01838235294117647	-0.5367647056409721	0.19400294081519104	0.22826815564108666
lamp	0.27	0.08823529411764706	0.18176470588235294	0.11498664371574618	-0.5367647057976376	0.21500000000000005	0.044117647058823546	-0.5367647057381949	0.21170847272700988	0.18846833380593328
house	0.68	0.5	0.18000000000000005	0.044168162208236314	-0.5367647058447016	1.1050000000000006	0.44117647058823556	-0.5367647058082624	0.43398915800197974	0.1354024776842908
baronet	0.18	0.0	0.18	0.4750893400079775	-0.0384389140122422	0.23000000000000004	0.0	0.1435979049263313	0.23836623987514172	0.5053234869495662
interest	0.34	0.16176470588235295	0.17823529411764708	0.08227995577998316	-0.5367647058241646	0.22500000000000012	0.10294117647058829	-0.5367647058176973	0.18969260533104035	0.12395192940788728
suspicion	0.21	0.03676470588235294	0.17323529411764704	0.16869307733818345	-0.5367647057242175	0.12500000000000003	0.01838235294117647	-0.5367647056812023	0.18272975570279695	0.2134735167999527
society	0.18	0.007352941176470588	0.1726470588235294	0.28809729926791017	-0.5367647052046298	0.15500000000000005	0.003676470588235294	-0.5367647046352186	0.20288886319790161	0.3471493837915937
surprise	0.28	0.11029411764705882	0.1697058823529412	0.09871864197344876	-0.5367647058120705	0.18000000000000013	0.06250000000000003	-0.5367647057971597	0.1876369068693685	0.14608261260676592
light	0.61	0.4411764705882353	0.1688235294117647	0.045615715539570376	-0.5367647058440741	0.5900000000000003	0.40073529411764736	-0.536764705838801	0.21999757942729964	0.09201743815611303
boot	0.24	0.07352941176470588	0.1664705882352941	0.12051557762919068	-0.5367647057919899	0.23000000000000004	0.040441176470588244	-0.5367647057141178	0.22013020513450426	0.2009039644529097
conversation	0.21	0.04411764705882353	0.16588235294117645	0.15302107686396077	-0.5367647057505734	0.12500000000000006	0.022058823529411766	-0.5367647057147273	0.18107193436273902	0.19927659180194185
report	0.18	0.014705882352941176	0.1652941176470588	0.23247209862621207	-0.5367647055434914	0.12500000000000003	0.007352941176470588	-0.5367647053794762	0.1877032197229708	0.2822774906550328
address	0.18	0.014705882352941176	0.1652941176470588	0.23247209862621207	-0.5367647055434914	0.16	0.007352941176470588	-0.5367647052386707	0.20348567888032246	0.302313621682526
no.	0.23	0.0661764705882353	0.1638235294117647	0.1259326884081095	-0.536764705786133	0.16000000000000003	0.03676470588235295	-0.5367647057536165	0.19022310815985888	0.17898857730095735
lodge	0.17	0.007352941176470588	0.16264705882352942	0.28309054398290623	-0.5367647052422811	0.4150000000000001	0.003676470588235294	-0.5367647025432516	0.32012998836679973	0.42732165191684535
look	0.3	0.13970588235294118	0.1602941176470588	0.08411776681916755	-0.5367647058229035	0.1700000000000001	0.08455882352941181	-0.5367647058228823	0.1731807047840632	0.11706535917472044
secret	0.24	0.08088235294117647	0.15911764705882353	0.11222673188639022	-0.5367647058002046	0.1700000000000001	0.044117647058823546	-0.5367647057683675	0.19141673952470062	0.1693728261735356
acquaintance	0.18	0.022058823529411766	0.15794117647058822	0.19864238764252412	-0.5367647056564452	0.10500000000000007	0.011029411764705883	-0.536764705600742	0.17702685029299764	0.23833578839972477
remark	0.17	0.014705882352941176	0.15529411764705883	0.22746534334120813	-0.536764705562317	0.11500000000000003	0.011029411764705883	-0.5367647055739219	0.18153612433795524	0.24570467334867924
table	0.36	0.20588235294117646	0.15411764705882353	0.06617182478376019	-0.5367647058339441	0.30000000000000016	0.15073529411764713	-0.5367647058234796	0.20196048324746918	0.11645340385854631
visitor	0.19	0.03676470588235294	0.15323529411764705	0.1599201446204124	-0.536764705739278	0.14500000000000002	0.01838235294117647	-0.5367647056490181	0.19174830379271218	0.22551573158575275
candle	0.19	0.03676470588235294	0.15323529411764705	0.1599201446204124	-0.536764705739278	0.19000000000000003	0.01838235294117647	-0.5367647055766038	0.2120400369950215	0.24747636048009836
tragedy	0.16	0.007352941176470588	0.1526470588235294	0.27778199955796934	-0.5367647052799324	0.10500000000000002	0.007352941176470588	-0.5367647054599365	0.17868467163305557	0.2681494451344347
circumstance	0.16	0.007352941176470588	0.1526470588235294	0.27778199955796934	-0.5367647052799324	0.09000000000000005	0.003676470588235294	-0.5367647051582105	0.1735785819056771	0.3030922027454278
neighbour	0.18	0.029411764705882353	0.15058823529411763	0.17425931210231152	-0.5367647057129221	0.11000000000000006	0.014705882352941176	-0.5367647056610871	0.17762366597541848	0.2203049572884737
confidence	0.18	0.029411764705882353	0.15058823529411763	0.17425931210231152	-0.5367647057129221	0.12000000000000004	0.014705882352941176	-0.5367647056409721	0.1821329400203761	0.22735581494724635
butler	0.15	0.0	0.15	0.45912497833852933	-0.12149321265264651	0.14	0.0	-0.12263094276983955	0.19778277347052312	0.46497225660324953
nerve	0.23	0.08088235294117647	0.14911764705882352	0.10849332653931432	-0.5367647058036276	0.15500000000000008	0.040441176470588244	-0.5367647057689771	0.18631064979732215	0.16881625700147573
home	0.39	0.2426470588235294	0.1473529411764706	0.05879466310367954	-0.536764705837856	0.25500000000000017	0.15441176470588244	-0.536764705833502	0.18001092870510194	0.10126024399158728
character	0.22	0.07352941176470588	0.14647058823529413	0.11288351922346912	-0.5367647057995201	0.1350000000000001	0.03676470588235295	-0.5367647057737316	0.17894992304746488	0.1651951178840833
trouble	0.3	0.15441176470588236	0.14558823529411763	0.07536054459241846	-0.5367647058285654	0.19000000000000009	0.10661764705882357	-0.5367647058296375	0.17225232483363073	0.10735713405420406
job	0.16	0.014705882352941176	0.14529411764705882	0.22215679891627124	-0.5367647055811426	0.15500000000000005	0.011029411764705883	-0.5367647054666415	0.19957322051778573	0.26992122518503947
mark	0.32	0.17647058823529413	0.14352941176470588	0.06933519573465842	-0.5367647058321512	0.27000000000000013	0.1470588235294118	-0.5367647058280423	0.19009048245265428	0.10987636962393021
