	docprops1	docprops2	origzeta	log2zeta	log10zeta	divzeta	meanrelfreqs	relfreqs1	relfreqs2	ratiorelfreqs	subrelfreqs	logrelfreqs
anything	0.55	0.05	0.5	0.5	0.47676967229261136	-0.44999999967846155	0.4166666666666667	0.6500000000000001	0.05	-0.44999999975300004	0.30999999999999994	0.3785324391957699
fact	0.475	0.05	0.425	0.44536002412602704	0.45395299781307497	-0.4499999997223077	0.4666666666666667	0.75	0.05	-0.449999999715	0.34799999999999986	0.41186466321853354
case	0.5	0.1	0.4	0.39987321583718693	0.3727553939996181	-0.44999999985384614	0.55	1.2000000000000002	0.1	-0.449999999772	0.49999999999999994	0.49999999999999983
something	0.45	0.1	0.35	0.3620545536017826	0.3569629985661533	-0.44999999986846156	0.6000000000000001	0.6500000000000001	0.1	-0.4499999998765	0.291	0.343749196856713
doubt	0.375	0.05	0.325	0.36557390284728564	0.4206357437681475	-0.44999999978076927	0.35	0.575	0.05	-0.4499999997815	0.28149999999999986	0.3515724427593616
idea	0.325	0.0	0.325	0.3924630804279822	0.4999999999999999	0.49999999999999994	0.3666666666666667	0.375	0.0	0.26250000000475	0.22449999999999992	0.307382763904826
night	0.65	0.35	0.30000000000000004	0.246112697489121	0.05954852741572347	-0.4499999999457143	0.7416666666666667	1.05	0.6500000000000001	-0.44999999996930773	0.23399999999999987	0.20299759123769281
paper	0.3	0.0	0.3	0.36977506673269583	0.49052589217340414	0.42692307692532533	0.30000000000000004	0.35	0.0	0.21500000000570002	0.21499999999999989	0.295794847993613
detective	0.275	0.0	0.275	0.34636667949008815	0.48075096926645744	0.3538461538506508	0.14166666666666666	0.42500000000000004	0.0	0.35750000000285015	0.24349999999999994	0.3295970957121881
house	0.55	0.3	0.25000000000000006	0.22373767028536679	0.09354474976805235	-0.44999999994641027	0.6416666666666668	1.025	0.4	-0.4499999999513125	0.3194999999999999	0.29448631946932347
problem	0.25	0.0	0.25	0.32219066878716823	0.4706555005624702	0.2807692307759762	0.125	0.27499999999999997	0.0	0.07250000000855	0.1864999999999999	0.2588681414990896
importance	0.25	0.0	0.25	0.32219066878716823	0.4706555005624702	0.2807692307759762	0.1	0.25	0.0	0.02500000000949998	0.1769999999999999	0.24576024236030503
mystery	0.25	0.0	0.25	0.32219066878716823	0.4706555005624702	0.2807692307759762	0.13333333333333333	0.25	0.0	0.02500000000949998	0.1769999999999999	0.24576024236030503
business	0.3	0.05	0.25	0.2995026550918817	0.3930455750614672	-0.4499999998246154	0.3499999999999999	0.42500000000000004	0.05	-0.44999999983850003	0.22449999999999992	0.29149636456402994
result	0.25	0.0	0.25	0.32219066878716823	0.4706555005624702	0.2807692307759762	0.26666666666666666	0.30000000000000004	0.0	0.12000000000760008	0.19599999999999992	0.2715598457983708
murder	0.275	0.05	0.22500000000000003	0.27609426784927393	0.3832706521545204	-0.4499999998392308	0.13333333333333333	0.32500000000000007	0.05	-0.4499999998765	0.18649999999999994	0.24576024236030503
police	0.225	0.0	0.225	0.2971949778808364	0.4602177480986638	0.20769230770130181	0.1	0.25	0.0	0.02500000000949998	0.1769999999999999	0.24576024236030503
companion	0.375	0.15	0.225	0.2424045475084268	0.24977796990556123	-0.4499999999269231	0.4166666666666667	0.625	0.15000000000000002	-0.44999999992083334	0.2624999999999999	0.30296553545514093
truth	0.25	0.05	0.2	0.2519182571463541	0.37317518345053324	-0.44999999985384614	0.20833333333333334	0.32500000000000007	0.05	-0.4499999998765	0.18649999999999994	0.24576024236030503
creature	0.25	0.05	0.2	0.2519182571463541	0.37317518345053324	-0.44999999985384614	0.25	0.475	0.05	-0.4499999998195	0.2434999999999999	0.3125409658886865
difficulty	0.2	0.0	0.2	0.27132206823089433	0.4494136848120549	0.1346153846266272	0.13333333333333333	0.275	0.0	0.07250000000855011	0.18649999999999992	0.25886814149908965
moor	0.2	0.0	0.2	0.27132206823089433	0.4494136848120549	0.1346153846266272	0.17499999999999996	0.5	0.0	0.49999999999999994	0.2719999999999999	0.36076262008253124
event	0.2	0.0	0.2	0.27132206823089433	0.4494136848120549	0.1346153846266272	0.14166666666666666	0.30000000000000004	0.0	0.12000000000760008	0.19599999999999992	0.2715598457983708
candle	0.25	0.05	0.2	0.2519182571463541	0.37317518345053324	-0.44999999985384614	0.14166666666666666	0.35	0.05	-0.449999999867	0.1959999999999999	0.25769411684545485
experience	0.2	0.0	0.2	0.27132206823089433	0.4494136848120549	0.1346153846266272	0.24166666666666667	0.25	0.0	0.02500000000949998	0.1769999999999999	0.24576024236030503
card	0.2	0.0	0.2	0.27132206823089433	0.4494136848120549	0.1346153846266272	0.1	0.2	0.0	-0.06999999998859996	0.15799999999999992	0.21817998962066548
mark	0.25	0.05	0.2	0.2519182571463541	0.37317518345053324	-0.44999999985384614	0.15000000000000002	0.30000000000000004	0.05	-0.44999999988600003	0.17699999999999994	0.23345911465021257
object	0.25	0.05	0.2	0.2519182571463541	0.37317518345053324	-0.44999999985384614	0.15000000000000002	0.25	0.05	-0.449999999905	0.15799999999999992	0.20765951121214685
chance	0.25	0.05	0.2	0.2519182571463541	0.37317518345053324	-0.44999999985384614	0.3416666666666667	0.32500000000000007	0.1	-0.44999999993825	0.16749999999999993	0.21097700002124814
matter	0.45	0.25	0.2	0.1975303073445772	0.12873864532024865	-0.4499999999473846	0.5333333333333333	0.65	0.35	-0.4499999999647143	0.19599999999999992	0.20451181693924442
fellow	0.4	0.2	0.2	0.20853502308623667	0.18265598612693917	-0.4499999999415385	0.3583333333333333	0.5	0.2	-0.4499999999525	0.1959999999999999	0.2262561250507952
dog	0.25	0.05	0.2	0.2519182571463541	0.37317518345053324	-0.44999999985384614	0.18333333333333338	0.42500000000000004	0.05	-0.44999999983850003	0.22449999999999992	0.29149636456402994
course	0.35	0.15	0.19999999999999998	0.22103197085614745	0.24085316500834153	-0.4499999999317949	0.5083333333333334	0.525	0.15000000000000002	-0.4499999999335	0.22449999999999992	0.2657521633999401
question	0.3	0.1	0.19999999999999998	0.23534896957998155	0.3040530179315886	-0.4499999999123077	0.3333333333333333	0.375	0.15000000000000002	-0.4499999999525	0.1674999999999999	0.20250130922828632
death	0.325	0.15	0.17500000000000002	0.19902131344830926	0.23166190902547673	-0.4499999999366667	0.3166666666666667	0.45000000000000007	0.15000000000000002	-0.449999999943	0.19599999999999992	0.2353764090077174
