	idno	fievre_idno	author-name	year	subgenre	comedie	tragedie	tragicomedie	form	tc_inspiration	tc_structure	count
tc0113	tc0113	BOYER_PORUS	BOYER	1648	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0114	tc0114	BOYER_TIRIDATE	BOYER	1649	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0116	tc0116	BROSSE_AVEUGLECLAIRVOYANT	BROSSE	1650	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0117	tc0117	BRUEYSPALAPRAT_AVOCATPATELIN	BRUEYSPALAPRAT	1706	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0118	tc0118	CAILHAVA_EGOISME	CAILHAVA	1777	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0119	tc0119	CAILLEAU_TRAGEDIESVOLTAIRE	CAILLEAU	1760	tragedie	other	tragedie	other	vers	histoire orientale	Cinq actes	1
tc0122	tc0122	CAMPISTRON_ADRIEN	CAMPISTRON	1683	tragedie	other	tragedie	other	vers	histoire chrétienne	Cinq actes	1
tc0123	tc0123	CAMPISTRON_ALCIBIADE	CAMPISTRON	1685	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0124	tc0124	CAMPISTRON_ANDRONIC	CAMPISTRON	1685	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0125	tc0125	CAMPISTRON_ARMINIUSC	CAMPISTRON	1685	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0126	tc0126	CAMPISTRON_PHOCION	CAMPISTRON	1688	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0127	tc0127	CAMPISTRON_VIRGINIE	CAMPISTRON	1683	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0157	tc0157	CHABANON_EUDOXIE	CHABANON	1769	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0158	tc0158	CHABANON_FAUXNOBLE	CHABANON	1788	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0161	tc0161	CHAMFORT_MUSTAPHAZEANGIR	CHAMFORT	1777	tragedie	other	tragedie	other	vers	moeurs ottomanes	Cinq actes	1
tc0167	tc0167	CHEVALIER_AMOURSDECALOTIN	CHEVALIER	1664	comedie	comedie	other	other	vers	moeurs françaises	Trois actes	1
tc0168	tc0168	CHEVREAU_AVOCATDUPE	CHEVREAU	1637	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0169	tc0169	COLARDEAU_ASTARBE	COLARDEAU	1758	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0173	tc0173	CORNEILLEP_AGESILAS	CORNEILLEP	1666	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0175	tc0175	CORNEILLEP_ATTILA	CORNEILLEP	1667	tragedie	other	tragedie	other	vers	histoire médiévale	Cinq actes	1
tc0176	tc0176	CORNEILLEP_CID	CORNEILLEP	1682	tragedie	other	tragedie	other	vers	histoire espagnole	Cinq actes	1
tc0179	tc0179	CORNEILLEP_CINNA43	CORNEILLEP	1643	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0180	tc0180	CORNEILLEP_CLITANDRE	CORNEILLEP	1631	tragedie	other	tragedie	other	vers	histoire écossaise	Cinq actes	1
tc0182	tc0182	CORNEILLEP_GALERIEDUPALAIS	CORNEILLEP	1633	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0183	tc0183	CORNEILLEP_HERACLIUS	CORNEILLEP	1647	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0184	tc0184	CORNEILLEP_HORACE	CORNEILLEP	1641	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
