	sd0	sd2	sdX	sr0	sr2	srX	dd0	dd2	ddX	dr0	dr2	drX
sd0	0	0.134988072068	0.134988072068	0.0014917914925	0.00279493115546	0.00279493115546	0.743690917702	7.32038506879e-06	7.32038506879e-06	0.412906432376	0.00438147092553	0.00438147092553
sd2	0.134988072068	0	2.44370475244e-12	0.454846907367	4.70400151818e-06	4.70400151818e-06	5.25964671936e-09	0.925570004922	0.925570004922	1.02266886671e-09	0.326637794655	0.326637794655
sdX	0.134988072068	2.44370475244e-12	0	0.454846907367	4.70400151818e-06	4.70400151818e-06	5.25964671936e-09	0.925570004922	0.925570004922	1.02266886671e-09	0.326637794655	0.326637794655
sr0	0.0014917914925	0.454846907367	0.454846907367	0	0.161124960433	0.161124960433	0.0839402572308	2.99746365999e-06	2.99746365999e-06	0.251668759139	8.43221035392e-11	8.43221035392e-11
sr2	0.00279493115546	4.70400151818e-06	4.70400151818e-06	0.161124960433	0	2.44370475244e-12	0.000154635360886	0.112255181516	0.112255181516	7.8861321092e-06	0.175548818423	0.175548818423
srX	0.00279493115546	4.70400151818e-06	4.70400151818e-06	0.161124960433	2.44370475244e-12	0	0.000154635360886	0.112255181516	0.112255181516	7.8861321092e-06	0.175548818423	0.175548818423
dd0	0.743690917702	5.25964671936e-09	5.25964671936e-09	0.0839402572308	0.000154635360886	0.000154635360886	0	0.282675469397	0.282675469397	2.30106399554e-10	0.0759015948764	0.0759015948764
dd2	7.32038506879e-06	0.925570004922	0.925570004922	2.99746365999e-06	0.112255181516	0.112255181516	0.282675469397	0	2.44370475244e-12	0.623232811536	2.38521798014e-06	2.38521798014e-06
ddX	7.32038506879e-06	0.925570004922	0.925570004922	2.99746365999e-06	0.112255181516	0.112255181516	0.282675469397	2.44370475244e-12	0	0.623232811536	2.38521798014e-06	2.38521798014e-06
dr0	0.412906432376	1.02266886671e-09	1.02266886671e-09	0.251668759139	7.8861321092e-06	7.8861321092e-06	2.30106399554e-10	0.623232811536	0.623232811536	0	0.232832756145	0.232832756145
dr2	0.00438147092553	0.326637794655	0.326637794655	8.43221035392e-11	0.175548818423	0.175548818423	0.0759015948764	2.38521798014e-06	2.38521798014e-06	0.232832756145	0	2.44370475244e-12
drX	0.00438147092553	0.326637794655	0.326637794655	8.43221035392e-11	0.175548818423	0.175548818423	0.0759015948764	2.38521798014e-06	2.38521798014e-06	0.232832756145	2.44370475244e-12	0
