	sd0	sd2	sdX	sr0	sr2	srX	dd0	dd2	ddX	dr0	dr2	drX
sd0	1	0.213333333333	0.213333333333	0.453333333333	0.426666666667	0.426666666667	0.0466666666667	-0.64	-0.64	0.116861598576	-0.406666666667	-0.406666666667
sd2	0.213333333333	1	1.0	-0.106666666667	0.653333333333	0.653333333333	0.833333333333	-0.0133333333333	-0.0133333333333	0.871453635099	0.14	0.14
sdX	0.213333333333	1.0	1	-0.106666666667	0.653333333333	0.653333333333	0.833333333333	-0.0133333333333	-0.0133333333333	0.871453635099	0.14	0.14
sr0	0.453333333333	-0.106666666667	-0.106666666667	1	0.2	0.2	-0.246666666667	-0.666666666667	-0.666666666667	-0.163606238007	-0.926666666667	-0.926666666667
sr2	0.426666666667	0.653333333333	0.653333333333	0.2	1	1.0	0.54	-0.226666666667	-0.226666666667	0.637730437946	-0.193333333333	-0.193333333333
srX	0.426666666667	0.653333333333	0.653333333333	0.2	1.0	1	0.54	-0.226666666667	-0.226666666667	0.637730437946	-0.193333333333	-0.193333333333
dd0	0.0466666666667	0.833333333333	0.833333333333	-0.246666666667	0.54	0.54	1	0.153333333333	0.153333333333	0.904842663264	0.253333333333	0.253333333333
dd2	-0.64	-0.0133333333333	-0.0133333333333	-0.666666666667	-0.226666666667	-0.226666666667	0.153333333333	1	1.0	0.0701169591459	0.673333333333	0.673333333333
ddX	-0.64	-0.0133333333333	-0.0133333333333	-0.666666666667	-0.226666666667	-0.226666666667	0.153333333333	1.0	1	0.0701169591459	0.673333333333	0.673333333333
dr0	0.116861598576	0.871453635099	0.871453635099	-0.163606238007	0.637730437946	0.637730437946	0.904842663264	0.0701169591459	0.0701169591459	1	0.17028404364	0.17028404364
dr2	-0.406666666667	0.14	0.14	-0.926666666667	-0.193333333333	-0.193333333333	0.253333333333	0.673333333333	0.673333333333	0.17028404364	1	1.0
drX	-0.406666666667	0.14	0.14	-0.926666666667	-0.193333333333	-0.193333333333	0.253333333333	0.673333333333	0.673333333333	0.17028404364	1.0	1
