	sd0	sd2	sdX	sr0	sr2	srX	dd0	dd2	ddX	dr0	dr2	drX
sd0	0	0.08631994521775342	0.08631994521775342	0.0007379916732732269	0.0018428212334481067	0.0018428212334481067	0.6213151863171391	2.3563996665439814e-06	2.3563996665439814e-06	0.35796416792915986	0.003028330847108435	0.003028330847108435
sd2	0.08631994521775342	0	0.0	0.34928733392328004	1.7546593840860256e-07	1.7546593840860256e-07	1.7503491349414963e-12	0.9970883402731314	0.9970883402731314	1.016123107947122e-15	0.2638040049777121	0.2638040049777121
sdX	0.08631994521775342	0.0	0	0.34928733392328004	1.7546593840860256e-07	1.7546593840860256e-07	1.7503491349414963e-12	0.9970883402731314	0.9970883402731314	1.016123107947122e-15	0.2638040049777121	0.2638040049777121
sr0	0.0007379916732732269	0.34928733392328004	0.34928733392328004	0	0.2355760310346776	0.2355760310346776	0.058189160370681524	5.500877242191293e-07	5.500877242191293e-07	0.16484988469199635	6.270747821504081e-19	6.270747821504081e-19
sr2	0.0018428212334481067	1.7546593840860256e-07	1.7546593840860256e-07	0.2355760310346776	0	0.0	7.397926422789478e-05	0.13977669221855882	0.13977669221855882	1.2873020339257907e-06	0.3396925245488783	0.3396925245488783
srX	0.0018428212334481067	1.7546593840860256e-07	1.7546593840860256e-07	0.2355760310346776	0.0	0	7.397926422789478e-05	0.13977669221855882	0.13977669221855882	1.2873020339257907e-06	0.3396925245488783	0.3396925245488783
dd0	0.6213151863171391	1.7503491349414963e-12	1.7503491349414963e-12	0.058189160370681524	7.397926422789478e-05	7.397926422789478e-05	0	0.3118670341866451	0.3118670341866451	3.233811856427709e-17	0.043077118260726716	0.043077118260726716
dd2	2.3563996665439814e-06	0.9970883402731314	0.9970883402731314	5.500877242191293e-07	0.13977669221855882	0.13977669221855882	0.3118670341866451	0	0.0	0.5789875834047526	4.1854381389918974e-07	4.1854381389918974e-07
ddX	2.3563996665439814e-06	0.9970883402731314	0.9970883402731314	5.500877242191293e-07	0.13977669221855882	0.13977669221855882	0.3118670341866451	0.0	0	0.5789875834047526	4.1854381389918974e-07	4.1854381389918974e-07
dr0	0.35796416792915986	1.016123107947122e-15	1.016123107947122e-15	0.16484988469199635	1.2873020339257907e-06	1.2873020339257907e-06	3.233811856427709e-17	0.5789875834047526	0.5789875834047526	0	0.12213317200557455	0.12213317200557455
dr2	0.003028330847108435	0.2638040049777121	0.2638040049777121	6.270747821504081e-19	0.3396925245488783	0.3396925245488783	0.043077118260726716	4.1854381389918974e-07	4.1854381389918974e-07	0.12213317200557455	0	0.0
drX	0.003028330847108435	0.2638040049777121	0.2638040049777121	6.270747821504081e-19	0.3396925245488783	0.3396925245488783	0.043077118260726716	4.1854381389918974e-07	4.1854381389918974e-07	0.12213317200557455	0.0	0
