	sd0	sd2	sdX	sr0	sr2	srX	dd0	dd2	ddX	dr0	dr2	drX
sd0	1	0.821835383597	0.821835383597	0.882215875715	0.896239920412	0.896239920412	0.794059270862	0.72136339728	0.72136339728	0.744850442151	0.73324234583	0.73324234583
sd2	0.821835383597	1	1.0	0.811964918018	0.821796519768	0.821796519768	0.854963116046	0.755513818916	0.755513818916	0.827230397444	0.739431650642	0.739431650642
sdX	0.821835383597	1.0	1	0.811964918018	0.821796519768	0.821796519768	0.854963116046	0.755513818916	0.755513818916	0.827230397444	0.739431650642	0.739431650642
sr0	0.882215875715	0.811964918018	0.811964918018	1	0.91230326184	0.91230326184	0.803702332904	0.748840550998	0.748840550998	0.749909090465	0.760960100702	0.760960100702
sr2	0.896239920412	0.821796519768	0.821796519768	0.91230326184	1	1.0	0.804825131714	0.736329740324	0.736329740324	0.742234112447	0.768432794026	0.768432794026
srX	0.896239920412	0.821796519768	0.821796519768	0.91230326184	1.0	1	0.804825131714	0.736329740324	0.736329740324	0.742234112447	0.768432794026	0.768432794026
dd0	0.794059270862	0.854963116046	0.854963116046	0.803702332904	0.804825131714	0.804825131714	1	0.769630038437	0.769630038437	0.798151544865	0.787472022998	0.787472022998
dd2	0.72136339728	0.755513818916	0.755513818916	0.748840550998	0.736329740324	0.736329740324	0.769630038437	1	1.0	0.702594567488	0.828484247714	0.828484247714
ddX	0.72136339728	0.755513818916	0.755513818916	0.748840550998	0.736329740324	0.736329740324	0.769630038437	1.0	1	0.702594567488	0.828484247714	0.828484247714
dr0	0.744850442151	0.827230397444	0.827230397444	0.749909090465	0.742234112447	0.742234112447	0.798151544865	0.702594567488	0.702594567488	1	0.683713279347	0.683713279347
dr2	0.73324234583	0.739431650642	0.739431650642	0.760960100702	0.768432794026	0.768432794026	0.787472022998	0.828484247714	0.828484247714	0.683713279347	1	1.0
drX	0.73324234583	0.739431650642	0.739431650642	0.760960100702	0.768432794026	0.768432794026	0.787472022998	0.828484247714	0.828484247714	0.683713279347	1.0	1
