Hacía	VLfin	hacer
más	ADV	más
de	PREP	de
tres	CARD	tres
meses	NC	mes
que	CQUE	que
se	SE	se
amaban	VLfin	amar
y	CC	y
hacía	VLfin	hacer
más	ADV	más
de	PREP	de
dos	CARD	dos
que	CQUE	que
sufrían	VLfin	sufrir
,	CM	,
porque	CSUBX	porque
no	NEG	no
podían	VLfin	poder
realizar	VLinf	realizar
la	ART	el
suprema	ADJ	supremo
felicidad	NC	felicidad
,	CM	,
el	ART	el
ideal	ADJ	ideal
con	PREP	con
que	CQUE	que
soñaban	VLfin	soñar
ambos	QU	ambo
todas	QU	todo
las	ART	el
noches	NC	noche
:	COLON	:
pasear	VLinf	pasear
juntos	ADJ	junto
un	ART	un
domingo	NC	domingo
en	PREP	en
la	ART	el
tarde	NC	tarde
.	FS	.
Él	PPX	él
era	VSfin	ser
aprendiz	NC	aprendiz
de	PREP	de
zapatero	NC	zapatero
,	CM	,
pero	CCAD	pero
tan	ADV	tan
aventajado	VLadj	aventajar
que	CQUE	que
ya	ADV	ya
podía	VLfin	poder
considerársele	VLfin	<unknown>
como	CSUBX	como
un	ART	un
maestro	NC	maestro
,	CM	,
según	CSUBF	según
sus	PPO	suyo
amigos	NC	amigo
—	DASH	--
sus	PPO	suyo
mejores	ADJ	bueno
aparceros	NC	<unknown>
—	DASH	--
,	CM	,
y	CC	y
como	CSUBX	como
un	ART	un
oficial	ADJ	oficial
por	PREP	por
los	ART	el
indiferentes	ADJ	indiferente
.	FS	.
Le	PPC	él|le
decían	VLfin	decir
Pedro	NP	Pedro
,	CM	,
el	ART	el
Brincón	NP	<unknown>
;	SEMICOLON	;
tenía	VLfin	tener
diecisiete	CARD	diecisiete
años	NC	año
de	PREP	de
edad	NC	edad
,	CM	,
era	VSfin	ser
alto	ADJ	alto
,	CM	,
buen	ADJ	bueno
mozo	NC	mozo
,	CM	,
usaba	VLfin	usar
el	ART	el
pelo	NC	pelo
engrasado	VLadj	engrasar
siempre	ADV	siempre
,	CM	,
con	PREP	con
un	ART	un
gran	ADJ	gran|grande
copete	NC	copete
que	CQUE	que
se	SE	se
doblaba	VLfin	doblar
cayéndole	VLadj	caer
sobre	PREP	sobre
la	ART	el
frente	NC	frente
sudorosa	ADJ	<unknown>
;	SEMICOLON	;
bebía	VLfin	beber
mucho	ADV	mucho
pulque	VLfin	<unknown>
y	CC	y
usaba	VLfin	usar
muy	ADV	muy
buena	ADJ	bueno
chaveta	NC	<unknown>
;	SEMICOLON	;
mas	CCAD	mas
aún	ADV	aún
no	NEG	no
estaba	VEfin	estar
pervertido	VLadj	pervertir
.	FS	.
Vivía	VLfin	vivir
por	PREP	por
el	ART	el
rumbo	NC	rumbo
de	PREP	de
Santa	NP	Santa
Ana	NP	Ana
,	CM	,
y	CC	y
más	ADV	más
de	PREP	de
una	ART	un
de	PREP	de
las	ART	el
mujeres	NC	mujer
del	PDEL	del
barrio	NC	barrio
,	CM	,
le	PPC	él|le
había	VHfin	haber
lanzado	VLadj	lanzar
miradas	NC	mirada
llenas	ADJ	lleno
de	PREP	de
amor	NC	amor
y	CC	y
promesas	NC	promesa
;	SEMICOLON	;
pero	CCAD	pero
él	PPX	él
no	NEG	no
quería	VLfin	querer
sino	CCAD	sino
a	PREP	a
su	PPO	suyo
chatita	NC	<unknown>
Juana	NP	Juan
,	CM	,
la	ART	el
criada	NC	criado
de	PREP	de
la	ART	el
pobre	ADJ	pobre
familia	NC	familia
de	PREP	de
un	ART	un
empleado	VLadj	emplear
que	CQUE	que
se	SE	se
alojaba	VLfin	alojar
en	PREP	en
una	ART	un
vivienda	NC	vivienda
alta	ADJ	alto
.	FS	.
El	ART	el
Brincón	NP	<unknown>
le	PPC	él|le
tiró	VLfin	tirar
un	ART	un
día	NC	día
en	PREP	en
la	ART	el
calle	NC	calle
,	CM	,
del	PDEL	del
rebozo	VLfin	rebozar
;	SEMICOLON	;
al día	ADV	al~día
siguiente	ADJ	siguiente
hizo	VLfin	hacer
lo	ART	el
mismo	ADJ	mismo
,	CM	,
y	CC	y
ella	PPX	él
respondió	VLfin	responder
riéndose	VLadj	reír
:	COLON	:
—	DASH	--
¡	FS	!
Oh	NP	oh
,	CM	,
qué	INT	qué
grosero	ADJ	grosero
!	FS	!
Él	PPX	él
le	PPC	él|le
dijo	VLfin	decir
dándole	VLadj	dar
un	ART	un
manazo	NC	<unknown>
en	PREP	en
la	ART	el
cara	NC	cara
que	CQUE	que
la	PPC	él
enrojeció	VLfin	<unknown>
.	FS	.
—	DASH	--
