Quoi	Pt	QUE|QUOI
!	Fs	!
Momus	Nc	Momus
,	Fw	,
le	Da	LE
soutien	Nc	SOUTIEN
de	S	DE
notre	Ds	NOTRE
comédie	Nc	COMÉDIE
,	Fw	,
Porte	Vvc	PORTER
,	Fw	,
au	S+Da	À+LE
lieu	Nc	LIEU
de	S	DE
marotte	Nc	MAROTTE
,	Fw	,
un	Dn	UN
bouquet	Nc	BOUQUET
à	S	À
la	Da	LE
main	Nc	MAIN
?	Fs	?
Son	Ds	SON
chef	Nc	CHEF
n'	Rp	NE
est	Vuc	ÊTRE
plus	Rg	PLUS
orné	Ge	ORNER
du	S+Da	DE+LE
bonnet	Nc	BONNET
calotin	Ag	CALOTIN
?	Fs	?
Ce	Dd	CE
changement	Nc	CHANGEMENT
vous	Pp	VOUS
notifie	Vvc	NOTIFIER
,	Fw	,
Qu'	Vvc	Qu'
à	S	À
fronder	Vvn	FRONDER
désormais	Rg	DÉSORMAIS
je	Pp	JE
ne	Rp	NE
suis	Vuc	ÊTRE
plus	Rg	PLUS
enclin	Ag	ENCLIN
.	Fs	.
Mais	Cc	MAIS
,	Fw	,
quel	Dt	QUEL
est	Vuc	ÊTRE
donc	Rg	DONC
votre	Ds	VOTRE
dessein	Nc	DESSEIN
?	Fs	?
De	S	DE
faire	Vvn	FAIRE
ici	Rg	ICI
l'	Da	LE
Apologie	Nc	APOLOGIE
...	Fs	...
.	Fs	.
De	S	DE
qui	Pr	QUI
?	Fs	?
De	S	DE
tout	Di	TOUT
le	Da	LE
genre	Nc	GENRE
humain	Ag	HUMAIN
.	Fs	.
Oh	I	OH
!	Fs	!
Ce	Pd	CE
fera	Vvc	FAIRE|FERRER
,	Fw	,
je	Pp	JE
le	Pp	IL
parie	Vvc	PARIER
,	Fw	,
La	Vvc	La
Critique	Ag	CRITIQUE
du	S+Da	DE+LE
siècle	Nc	SIÈCLE
,	Fw	,
avec	S	AVEC
art	Nc	ART
travestie	Ge	TRAVESTIR
,	Fw	,
Sous	Vvc	Sous
les	Da	LE
traits	Nc	TRAIT|TRAITS
adoucis	Vvc	ADOUCIR
d'	S	DE
un	Dn	UN
éloge	Nc	ÉLOGE
malin	Ag	MALIN
.	Fs	.
Non	Rg	NON
,	Fw	,
j'	Pp	JE
abjure	Vvc	ABJURER
la	Da	LE
raillerie	Nc	RAILLERIE
,	Fw	,
Et	Vvc	Et
je	Pp	JE
prétends	Vvc	PRÉTENDRE
louer	Vvn	LOUER|LOVER
de	S	DE
bonne	Ag	BON
foi	Nc	FOI
.	Fs	.
Allons	Vvc	ALLER
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
vous	Pp	VOUS
vous	Pp	VOUS
moquez	Vvc	MOQUER
de	S	DE
moi	Pp	JE
;	Fw	;
On	Vvc	On
sait	Vvc	SAVOIR
que	Cs	QUE
vous	Pp	VOUS
aimez	Vvc	AIMER
à	S	À
rire	Vvn	RIRE
,	Fw	,
Et	Vvc	Et
l'	Da	LE
encens	Nc	ENCENS
de	S	DE
Momus	Nc	Momus
est	Vuc	ÊTRE
un	Dn	UN
trait	Nc	TRAIT
de	S	DE
Satire	Nc	SATIRE
.	Fs	.
Depuis	S	DEPUIS
,	Fw	,
qu'	Cs	QUE
en	S	EN
bien	Rg	BIEN
,	Fw	,
tout	Di	TOUT
le	Da	LE
Monde	Nc	MONDE
est	Vuc	ÊTRE
changé	Ge	CHANGER
,	Fw	,
Sachez	Vvc	SAVOIR
que	Cs	QUE
je	Pp	JE
suis	Vuc	ÊTRE
corrigé	Ge	CORRIGER
.	Fs	.
De	S	DE
la	Da	LE
douceur	Nc	DOUCEUR
que	Pr	QUE
je	Pp	JE
respire	Vvc	RESPIRER
,	Fw	,
Ces	Vvc	Ces
fleurs	Nc	FLEUR
sont	Vuc	ÊTRE
un	Dn	UN
garant	Nc	GARANT
qu'	Pr	QUE
on	Pp	ON
ne	Rp	NE
peut	Vvc	POUVOIR
contredire	Vvn	CONTREDIRE
,	Fw	,
La	Vvc	La
Critique	Ag	CRITIQUE
n'	Rp	NE
est	Vuc	ÊTRE
plus	Rg	PLUS
de	S	DE
saison	Nc	SAISON
;	Fw	;
Et	Vvc	Et
le	Da	LE
siècle	Nc	SIÈCLE
vit	Vvc	VIVRE|VOIR
de	S	DE
façon	Nc	FAÇON
,	Fw	,
Qu'	Vvc	Qu'
il	Pp	IL
ne	Rp	NE
convient	Vvc	CONVENIR|CONVIER
plus	Rg	PLUS
d'	S	DE
en	Pp	EN
médire	Vvn	MÉDIRE
.	Fs	.
II	Nc	II
fait	Vvc	FAIRE
voir	Vvn	VOIR
tant	Rg	TANT
d'	S	DE
esprit	Nc	ESPRIT
,	Fw	,
de	S	DE
candeur	Nc	CANDEUR
,	Fw	,
de	S	DE
raison	Nc	RAISON
,	Fw	,
Qu'	Vvc	Qu'
en	S	EN
dépit	Nc	DÉPIT
qu'	Pr	QUE
on	Pp	ON
en	Pp	EN
ait	Vuc	AVOIR
,	Fw	,
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
bien	Rg	BIEN
qu'	Cs	QUE
on	Pp	ON
l'	Pp	IL
admire	Vvc	ADMIRER
.	Fs	.
Plein	Ag	PLEIN
de	S	DE
sagesse	Nc	SAGESSE
,	Fw	,
exempt	Ag	EXEMPT
d'	S	DE
abus	Nc	ABUS
,	Fw	,
Des	Vvc	Des
ridicules	Ag	RIDICULE
,	Fw	,
d'	S	DE
injustices	Nc	INJUSTICE
,	Fw	,
Il	Vvc	Il
m'	Pp	JE
oblige	Vvc	OBLIGER
à	S	À
changer	Vvn	CHANGER
d'	S	DE
humeur	Nc	HUMEUR
et	Cc	ET
d'	S	DE
attributs	Nc	ATTRIBUT
.	Fs	.
À	Vvc	À
l'	Da	LE
avenir	Nc	AVENIR
je	Pp	JE
ne	Rp	NE
dois	Vvc	DEVOIR
plus	Rg	PLUS
Faire	Vvc	Faire
la	Da	LE
satire	Nc	SATIRE
des	S+Da	DE+LE|DE+LES
Vices	Nc	VICE
,	Fw	,
Que	Vvc	Que
par	S	PAR
l'	Da	LE
éloge	Nc	ÉLOGE
des	S+Da	DE+LE|DE+LES
Vertus	Nc	VERTU
.	Fs	.
Je	Pp	JE
me	Pp	JE
rends	Vvc	RENDRE
à	S	À
ce	Dd	CE
trait	Nc	TRAIT
,	Fw	,
vous	Pp	VOUS
n'	Rp	NE
êtes	Vuc	ÊTRE
plus	Rg	PLUS
caustique	Ag	CAUSTIQUE
.	Fs	.
Les	Da	LE
bonnes	Ag	BON
moeurs	Nc	MURS
du	S+Da	DE+LE
temps	Nc	TEMPS
m'	Pp	JE
ont	Vuc	AVOIR
rendus	Ge	RENDRE
pacifique	Ag	PACIFIQUE
.	Fs	.
Je	Pp	JE
vois	Vvc	ALLER|VOIR
tout	Rg	TOUT
par	S	PAR
le	Da	LE
beau	Ag	BEAU
côté	Nc	CÔTÉ
;	Fw	;
Et	Vvc	Et
,	Fw	,
de	S	DE
tous	Di	TOUT
les	Da	LE
auteurs	Nc	AUTEUR
,	Fw	,
je	Pp	JE
veux	Vvc	VOULOIR
être	Vun	ÊTRE
imité	Ge	IMITER
.	Fs	.
Mais	Cc	MAIS
jamais	Rg	JAMAIS
au	S+Da	À+LE
panégyrique	Nc	PANÉGYRIQUE
,	Fw	,
Ces	Vvc	Ces
lieux	Nc	LIEU|LIEUX
ne	Rp	NE
furent	Vuc	ÊTRE
consacrés	Ge	CONSACRER
;	Fw	;
Et	Vvc	Et
de	S	DE
tout	Di	TOUT
temps	Nc	TEMPS
,	Fw	,
sur	S	SUR
la	Da	LE
Critique	Nc	CRITIQUE
,	Fw	,
Nos	Nc	NÔ
revenus	Nc	REVENU
sont	Vuc	ÊTRE
assurés	Ge	ASSURER
;	Fw	;
Sans	Vvc	Sans
elle	Pp	IL
,	Fw	,
serviteur	Nc	SERVITEUR
au	S+Da	À+LE
Théâtre	Nc	Théâtre
Italique	Ag	ITALIQUE
,	Fw	,
Elle	Vvc	Elle
ne	Rp	NE
fait	Vvc	FAIRE
que	Cs	QUE
l'	Pp	IL
avilir	Vvn	AVILIR
,	Fw	,
Et	Vvc	Et
ce	Pd	CE
n'	Rp	NE
est	Vuc	ÊTRE
qu'	Rg	QUE
en	S	EN
jouant	Ga	JOUER
qu'	Cs	QUE
on	Pp	ON
le	Pp	IL
peut	Vvc	POUVOIR
anoblir	Vvn	ANOBLIR
.	Fs	.
Seigneur	Nc	SEIGNEUR
,	Fw	,
tel	Di	TEL
est	Vuc	ÊTRE
notre	Ds	NOTRE
malheur	Nc	MALHEUR
extrême	Ag	EXTRÊME
.	Fs	.
Nous	Pp	NOUS
ne	Rp	NE
pouvons	Vvc	POUVOIR
,	Fw	,
au	S+Da	À+LE
temps	Nc	TEMPS
présent	Ag	PRÉSENT
Attirer	Nc	ATTIRER
à	S	À
nos	Ds	NOTRE
jeux	Nc	JEU
Paris	Vvc	Paris
,	Fw	,
qu'	Cs	QUE
en	S	EN
l'	Da	LE
amusant	Nc	AMUSANT
,	Fw	,
Ni	Vvc	Ni
s'	Pp	SE
amuser	Vvn	AMUSER
qu'	Cs	QUE
aux	S+Da	À+LES
dépens	Nc	DÉPENS
de	S	DE
lui	Pp	IL
-même	Vvc	-même
.	Fs	.
Madame	Nc	MADAME
,	Fw	,
c'	Pd	CE
était	Vuc	ÊTRE
bon	Rg	BON
jadis	Rg	JADIS
Que	Vvc	Que
le	Da	LE
Public	Nc	PUBLIC
riait	Vvc	RIRE
sans	S	SANS
entendre	Vvn	ENTENDRE
finesse	Nc	FINESSE
;	Fw	;
Mais	Vvc	Mais
aujourd'hui	Rg	AUJOURD'HUI
qu'	Cs	QUE
il	Pp	IL
est	Vuc	ÊTRE
des	Dn	UN
plus	Rg	PLUS
polis	Nc	POLI
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
le	Da	LE
moindre	Ag	MOINDRE
trait	Nc	TRAIT
alarme	Vvc	ALARMER
ses	Ds	SON
esprits	Nc	ESPRIT|ESPRITS
,	Fw	,
Et	Vvc	Et
choque	Vvc	CHOQUER
sa	Ds	SON
délicatesse	Nc	DÉLICATESSE
;	Fw	;
Que	Vvc	Que
les	Da	LE
portraits	Nc	PORTRAIT
pair	Nc	PAIR
lui	Pp	IL
ne	Rp	NE
font	Vvc	FAIRE
saisis	Nc	SAISI
,	Fw	,
Que	Vvc	Que
pour	S	POUR
les	Pp	ILS
commenter	Vvn	COMMENTER
contre	S	CONTRE
l'	Da	LE
auteur	Nc	AUTEUR
sans	S	SANS
cesse	Nc	CESSE
;	Fw	;
Et	Vvc	Et
qu'	Cs	QUE
il	Pp	IL
les	Pp	ILS
blâme	Vvc	BLÂMER
,	Fw	,
après	S	APRÈS
les	Pp	ILS
avoir	Vun	AVOIR
applaudis	Ge	APPLAUDIR
,	Fw	,
La	Vvc	La
Critique	Ag	CRITIQUE
est	Vuc	ÊTRE
funeste	Ag	FUNESTE
,	Fw	,
et	Cc	ET
je	Pp	JE
vous	Pp	VOUS
l'	Pp	IL
interdis	Vvc	INTERDIRE
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
vouloir	Nc	VOULOIR
nous	Pp	NOUS
ôter	Vvn	ÔTER
notre	Ds	NOTRE
ressource	Nc	RESSOURCE
unique	Ag	UNIQUE
:	Fw	:
De	S	DE
tout	Di	TOUT
Poète	Nc	Poète
dramatique	Ag	DRAMATIQUE
,	Fw	,
Songez	Vvc	SONGER
qu'	Cs	QUE
elle	Pp	IL
est	Vuc	ÊTRE
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
le	Da	LE
véritable	Ag	VÉRITABLE
lot	Nc	LOT
.	Fs	.
Il	Pp	IL
la	Pp	IL
professe	Vvc	PROFESSER
en	S	EN
sage	Ag	SAGE
,	Fw	,
et	Cc	ET
non	Rg	NON
pas	Rg	PAS
en	S	EN
cynique	Nc	CYNIQUE
;	Fw	;
S'	Vvc	S'
il	Pp	IL
fronde	Vvc	FRONDER
la	Da	LE
sottise	Nc	SOTTISE
,	Fw	,
il	Pp	IL
épargne	Vvc	ÉPARGNER
le	Da	LE
sot	Nc	SOT
:	Fw	:
Ménageant	Ga	Ménageant
,	Fw	,
avec	S	AVEC
