L’étrange	Vvc	L’étrange
chose	Nc	CHOSE
que	Cs	QUE
le	Da	LE
monde	Nc	MONDE
!	Fs	!
Et	Cc	ET
qu’il	Nc	qu’il
est	Vuc	ÊTRE
malaisé	Ag	MALAISÉ
de	S	DE
vivre	Vvn	VIVRE
content	Ag	CONTENT
!	Fs	!
Je	Pp	JE
suis	Vuc	ÊTRE
riche	Nc	RICHE
et	Cc	ET
veuf	Nc	VEUF
,	Fw	,
exempt	Ag	EXEMPT
d’avarice	Nc	d’avarice
,	Fw	,
sans	S	SANS
ambition	Nc	AMBITION
,	Fw	,
sans	S	SANS
amour	Nc	AMOUR
,	Fw	,
et	Cc	ET
je	Pp	JE
ne	Rp	NE
suis	Vuc	ÊTRE
pas	Rg	PAS
heureux	Ag	HEUREUX
.	Fs	.
Il	Pp	IL
est	Vuc	ÊTRE
vrai	Ag	VRAI
que	Cs	QUE
j’ai	Vvc	j’ai
une	Dn	UN
sœur	Nc	sœur
tout	Rg	TOUT
à	S	À
fait	Nc	FAIT
folle	Ag	FOU
,	Fw	,
et	Cc	ET
deux	Nc	DEUX
filles	Nc	FILLE
qui	Pr	QUI
ne	Rp	NE
seront	Vuc	ÊTRE
pas	Rg	PAS
trop	Rg	TROP
sages	Ag	SAGE
,	Fw	,
peut-être	Rg	PEUT-ÊTRE
.	Fs	.
Ah	I	AH
,	Fw	,
qu’on	Nc	qu’on
est	Vuc	ÊTRE
sot	Ag	SOT
de	S	DE
faire	Vvn	FAIRE
des	Dn	UN
enfants	Nc	ENFANT
,	Fw	,
et	Cc	ET
de	S	DE
n’être	Vvc	n’être
pas	Rg	PAS
tout	Rg	TOUT
seul	Ag	SEUL
de	S	DE
la	Da	LE
famille	Nc	FAMILLE
!	Fs	!
Qu’avez	Vvc	Qu’avez
-vous	Nc	-vous
donc	Rg	DONC
,	Fw	,
Monsieur	Nc	MONSIEUR
?	Fs	?
Vous	Pp	VOUS
êtes	Vuc	ÊTRE
toujours	Rg	TOUJOURS
chagrin	Ag	CHAGRIN
,	Fw	,
et	Cc	ET
depuis	S	DEPUIS
dix	Nc	DIX
ans	Nc	AN
que	Pr	QUE
je	Pp	JE
vous	Pp	VOUS
sers	Vvc	SERVIR
,	Fw	,
je	Pp	JE
ne	Rp	NE
vous	Pp	VOUS
ai	Vuc	AVOIR
jamais	Rg	JAMAIS
vu	Ge	VOIR
de	S	DE
bonne	Ag	BON
humeur	Nc	HUMEUR
,	Fw	,
pas	Rg	PAS
même	Ag	MÊME
à	S	À
la	Da	LE
mort	Nc	MORT
de	S	DE
Madame	Nc	MADAME
votre	Ds	VOTRE
femme	Nc	FEMME
.	Fs	.
En	S	EN
vérité	Nc	VÉRITÉ
,	Fw	,
je	Pp	JE
ne	Rp	NE
vous	Pp	VOUS
comprends	Vvc	COMPRENDRE
point	Rg	POINT
;	Fw	;
et	Cc	ET
j’avais	Vvc	j’avais
toujours	Rg	TOUJOURS
ouï	Ge	OUÏR
dire	Vvn	DIRE
,	Fw	,
moi	Pp	JE
,	Fw	,
que	Cs	QUE
les	Da	LE
plus	Rg	PLUS
grands	Ag	GRAND
fous	Nc	FOU
avaient	Vuc	AVOIR
quelquefois	Rg	QUELQUEFOIS
de	S	DE
bons	Ag	BON
intervalles	Nc	INTERVALLE
.	Fs	.
Écoutez	Nc	Écoutez
,	Fw	,
ma	Ds	MON
mie	Nc	MIE
,	Fw	,
vous	Pp	VOUS
êtes	Vuc	ÊTRE
une	Dn	UN
insolente	Nc	INSOLENT
qui	Pr	QUI
vous	Pp	VOUS
ferez	Vvc	FAIRE|FERRER
chasser	Vvn	CHASSER
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
en	Pp	EN
avertis	Vvc	AVERTIR
;	Fw	;
vous	Pp	VOUS
prenez	Vvc	PRENDRE
des	Dn	UN
libertés	Nc	LIBERTÉ
qui	Pr	QUI
ne	Rp	NE
me	Pp	JE
plaisent	Vvc	PLAIRE
point	Rg	POINT
du	S+Da	DE+LE
tout	Pi	TOUT
,	Fw	,
et	Cc	ET
...	Fw	...
Ah	Vvc	Ah
,	Fw	,
le	Da	LE
petit	Ag	PETIT
brutal	Nc	BRUTAL
,	Fw	,
comme	Cs	COMME
il	Pp	IL
prend	Vvc	PRENDRE
les	Da	LE
choses	Nc	CHOSE
!	Fs	!
Quelle	Dt	QUEL
vivacité	Nc	VIVACITÉ
!	Fs	!
En	S	EN
vérité	Nc	VÉRITÉ
,	Fw	,
la	Da	LE
jeunesse	Nc	JEUNESSE
d’aujourd’hui	Ag	d’aujourd’hui
a	Vuc	AVOIR
l’esprit	Vvc	l’esprit
tourné	Ge	TOURNER
d’une	Nc	d’une
étrange	Ag	ÉTRANGE
manière	Nc	MANIÈRE
.	Fs	.
Qu’est	Nc	Qu’est
-ce	Vvc	-ce
à	S	À
dire	Vvn	DIRE
la	Da	LE
jeunesse	Nc	JEUNESSE
!	Fs	!
Je	Pp	JE
