Quoi	Pt	QUE|QUOI
?	Fs	?
Vous	Pp	VOUS
vous	Pp	VOUS
arrêtez	Vvc	ARRÊTER
aux	S+Da	À+LES
songes	Nc	SONGE
d'	S	DE
une	Dn	UN
femme	Nc	FEMME
!	Fs	!
De	S	DE
si	Rg	SI
faibles	Ag	FAIBLE
sujets	Nc	SUJET
troublent	Vvc	TROUBLER
cette	Dd	CE
grande	Ag	GRAND
âme	Nc	ÂME
!	Fs	!
Et	Cc	ET
ce	Dd	CE
coeur	Nc	CUR
tant	Rg	TANT
de	S	DE
fois	Nc	FOI|FOIS
dans	S	DANS
la	Da	LE
guerre	Nc	GUERRE
éprouvé	Ge	ÉPROUVER
S'	Vvc	S'
alarme	Nc	ALARME
d'	S	DE
un	Dn	UN
péril	Nc	PÉRIL
qu'	Cs	QUE
une	Dn	UN
femme	Nc	FEMME
a	Vuc	AVOIR
rêvé	Ge	RÊVER
!	Fs	!
Je	Pp	JE
sais	Vvc	SAVOIR
ce	Pd	CE
qu'	Pr	QUE
est	Vuc	ÊTRE
un	Dn	UN
songe	Nc	SONGE
,	Fw	,
et	Cc	ET
le	Da	LE
peu	Rg	PEU
de	S	DE
croyance	Nc	CROYANCE
Qu'	Vvc	Qu'
un	Dn	UN
homme	Nc	HOMME
doit	Vvc	DEVOIR
donner	Vvn	DONNER
à	S	À
son	Ds	SON
extravagance	Nc	EXTRAVAGANCE
,	Fw	,
Qui	Vvc	Qui
d'	S	DE
un	Dn	UN
amas	Nc	AMAS
confus	Ag	CONFUS
des	S+Da	DE+LE|DE+LES
vapeurs	Nc	VAPEUR
de	S	DE
la	Da	LE
nuit	Nc	NUIT
Forme	Vvc	FORMER
de	S	DE
vains	Ag	VAIN
objets	Nc	OBJET
que	Cs	QUE
le	Da	LE
réveil	Nc	RÉVEIL
détruit	Vvc	DÉTRUIRE
;	Fw	;
Mais	Vvc	Mais
vous	Pp	VOUS
ne	Rp	NE
savez	Vvc	SAVOIR
pas	Rg	PAS
ce	Pd	CE
que	Pr	QUE
c'	Pd	CE
est	Vuc	ÊTRE
qu'	Cs	QUE
une	Dn	UN
femme	Nc	FEMME
:	Fw	:
Vous	Pp	VOUS
ignorez	Vvc	IGNORER
quels	Dt	QUEL
droits	Nc	DROIT|DROITS
elle	Pp	IL
a	Vuc	AVOIR
sur	S	SUR
toute	Di	TOUT
l'	Da	LE
âme	Nc	ÂME
,	Fw	,
Quand	Nc	Quand
après	S	APRÈS
un	Dn	UN
long	Ag	LONG
temps	Nc	TEMPS
qu'	Pr	QUE
elle	Pp	IL
a	Vuc	AVOIR
su	Ge	SAVOIR
nous	Pp	NOUS
charmer	Vvn	CHARMER
,	Fw	,
Les	Vvc	Les
flambeaux	Nc	FLAMBEAU
de	S	DE
l'	Da	LE
hymen	Nc	HYMEN
viennent	Vvc	VENIR
de	S	DE
s'	Pp	SE
allumer	Vvn	ALLUMER
.	Fs	.
Pauline	Nc	Pauline
,	Fw	,
sans	S	SANS
raison	Nc	RAISON
dans	S	DANS
la	Da	LE
douleur	Nc	DOULEUR
plongée	Ge	PLONGER
,	Fw	,
Craint	Vvc	CRAINDRE
et	Cc	ET
croit	Vvc	CROIRE|CROÎTRE
déjà	Rg	DÉJÀ
voir	Vvn	VOIR
ma	Ds	MON
mort	Nc	MORT
qu'	Pr	QUE
elle	Pp	IL
a	Vuc	AVOIR
songée	Ge	SONGER
;	Fw	;
Elle	Vvc	Elle
oppose	Vvc	OPPOSER
ses	Ds	SON
pleurs	Nc	PLEUR
au	S+Da	À+LE
dessein	Nc	DESSEIN
que	Pr	QUE
je	Pp	JE
fais	Vvc	FAIRE
,	Fw	,
Et	Vvc	Et
tâche	Nc	TÂCHE
à	S	À
m'	Pp	JE
empêcher	Vvn	EMPÊCHER
de	S	DE
sortir	Vvn	SORTIR
du	S+Da	DE+LE
palais	Nc	PALAIS
.	Fs	.
Je	Pp	JE
méprise	Vvc	MÉPRISER
sa	Ds	SON
crainte	Nc	CRAINTE
,	Fw	,
et	Cc	ET
je	Pp	JE
cède	Vvc	CÉDER
à	S	À
ses	Ds	SON
larmes	Nc	LARME
;	Fw	;
Elle	Vvc	Elle
me	Pp	JE
fait	Vvc	FAIRE
pitié	Nc	PITIÉ
sans	S	SANS
