Oui	Rg	OUI
,	Fw	,
vous	Pp	VOUS
dis	Vvc	DIRE
-je	Nc	-je
,	Fw	,
l'	Pp	IL
on	Pp	ON
vient	Vvc	VENIR
d'	S	DE
assurer	Vvn	ASSURER
votre	Ds	VOTRE
père	Nc	PÈRE
,	Fw	,
Qu'	Vvc	Qu'
ici	Rg	ICI
,	Fw	,
depuis	S	DEPUIS
une	Dn	UN
heure	Nc	HEURE|HURE
,	Fw	,
on	Pp	ON
a	Vuc	AVOIR
vu	Ge	VOIR
votre	Ds	VOTRE
frère	Nc	FRÈRE
.	Fs	.
Par	S	PAR
les	Da	LE
derniers	Ag	DERNIER
vaisseaux	Nc	VAISSEAU
venus	Ge	VENIR
de	S	DE
Cadix	Nc	CADI
De	Vvc	De
son	Ds	SON
prochain	Ag	PROCHAIN
retour	Nc	RETOUR
on	Pp	ON
avait	Vuc	AVOIR
eu	Ge	AVOIR
l'	Da	LE
avis	Nc	AVIS
.	Fs	.
Peut-être	Rg	Peut-être
est-il	Ag	est-il
fâcheux	Nc	FÂCHEUX
qu'	Cs	QUE
après	S	APRÈS
douze	Nc	DOUZE
ans	Nc	AN
d'	S	DE
absence	Nc	ABSENCE
Il	Ag	Il
vienne	Vvc	VENIR
avecque	Vvc	avecque
vous	Pp	VOUS
partager	Vvn	PARTAGER
la	Da	LE
finance	Nc	FINANCE
;	Fw	;
Mais	Vvc	Mais
le	Da	LE
Ciel	Nc	CIEL
qui	Pr	QUI
vous	Pp	VOUS
donne	Vvc	DONNER
un	Dn	UN
époux	Nc	ÉPOUX
à	S	À
souhait	Nc	SOUHAIT
,	Fw	,
Répare	Vvc	Répare
assez	Rg	ASSEZ
le	Da	LE
tort	Nc	TORT
que	Cs	QUE
ce	Dd	CE
frère	Nc	FRÈRE
vous	Pp	VOUS
fait	Vvc	FAIRE
.	Fs	.
Les	Da	LE
Ducats	Nc	DUCAT
...	Fs	...
À	Nc	À
propos	Nc	PROPOS
,	Fw	,
quand	Cs	QUAND
vous	Pp	VOUS
serez	Vuc	ÊTRE
sa	Ds	SON
femme	Nc	FEMME
,	Fw	,
N'	Vvc	N'
allez	Vvc	ALLER
pas	Rg	PAS
,	Fw	,
s'	Cs	SI
il	Pp	IL
vous	Pp	VOUS
plaît	Vvc	PLAIRE
,	Fw	,
faire	Vvn	FAIRE
trop	Rg	TROP
la	Da	LE
grand'Dame	Nc	grand'Dame
.	Fs	.
Je	Pp	JE
suis	Vuc	ÊTRE
de	S	DE
la	Da	LE
maison	Nc	MAISON
depuis	S	DEPUIS
plus	Rg	PLUS
de	S	DE
vingt	Nc	VINGT
ans	Nc	AN
.	Fs	.
Je	Pp	JE
vous	Pp	VOUS
ai	Vuc	AVOIR
dirigée	Ge	DIRIGER
,	Fw	,
et	Cc	ET
par	S	PAR
là	Rg	LÀ
je	Pp	JE
prétends	Vvc	PRÉTENDRE
...	Fs	...
Va	Vvc	ALLER
,	Fw	,
ta	Ds	TON
direction	Nc	DIRECTION
aura	Vuc	AVOIR
son	Ds	SON
plein	Ag	PLEIN
salaire	Nc	SALAIRE
.	Fs	.
Ne	Rp	NE
crains	Vvc	CRAINDRE
rien	Pi	RIEN
;	Fw	;
mais	Cc	MAIS
dis	Vvc	DIRE
-moi	Vvc	-moi
,	Fw	,
je	Pp	JE
reviens	Vvc	REVENIR
à	S	À
ce	Dd	CE
frère	Nc	FRÈRE
.	Fs	.
Si	Cs	SI
Don	Nc	DON
Lope	Ag	Lope
est	Vuc	ÊTRE
ici	Rg	ICI
,	Fw	,
pourquoi	Rt	POURQUOI
ne	Rp	NE
vient-il	Vvc	vient-il
pas	Rg	PAS
?	Fs	?
Peut-être	Rg	Peut-être
il	Pp	IL
craint	Vvc	CRAINDRE
encor	Nc	encor
le	Da	LE
bonhomme	Nc	BONHOMME
;	Fw	;
en	S	EN
ce	Dd	CE
cas	Nc	CAS
Il	Ag	Il
cherche	Vvc	CHERCHER
quelque	Di	QUELQUE
ami	Nc	AMI
par	S	PAR
qui	Pr	QUI
pouvoir	Vvn	POUVOIR
apprendre	Vvn	APPRENDRE
,	Fw	,
Après	Vvc	Après
son	Ds	SON
fol	Ag	FOL|FOU
hymen	Nc	HYMEN
,	Fw	,
l'	Da	LE
accueil	Nc	ACCUEIL
qu'	Pr	QUE
il	Pp	IL
doit	Vvc	DEVOIR
attendre	Vvn	ATTENDRE
.	Fs	.
Enlever	Vvn	ENLEVER
une	Dn	UN
fille	Nc	FILLE
et	Cc	ET
sans	S	SANS
nom	Nc	NOM
et	Cc	ET
sans	S	SANS
bien	Nc	BIEN
...	Fs	...
Je	Vvc	Je
n'	Rp	NE
avais	Vuc	AVOIR
que	Rg	QUE
cinq	Nc	CINQ
ans	Nc	AN
,	Fw	,
et	Cc	ET
me	Pp	JE
souviens	Vvc	SOUVENIR
fort	Rg	FORT
bien	Rg	BIEN
Que	Vvc	Que
mon	Ds	MON
père	Nc	PÈRE
apprenant	Ga	APPRENDRE
qu'	Cs	QUE
ils	Pp	ILS
avaient	Vuc	AVOIR
pris	Ge	PRENDRE
la	Da	LE
fuite	Nc	FUITE
,	Fw	,
En	Vvc	En
fit	Vvc	FAIRE
faire	Vvn	FAIRE
partout	Rg	PARTOUT
une	Dn	UN
exacte	Ag	EXACT
poursuite	Nc	POURSUITE
.	Fs	.
C'	Pd	CE
était	Vuc	ÊTRE
fait	Ge	FAIRE
de	S	DE
Don	Nc	DON
Lope	Vvc	Lope
,	Fw	,
il	Pp	IL
n'	Rp	NE
était	Vuc	ÊTRE
plus	Rg	PLUS
son	Ds	SON
fils	Nc	FIL|FILS
.	Fs	.
Aussi	Rg	AUSSI
pendant	S	PENDANT
dix	Nc	DIX
ans	Nc	AN
n'	Rp	NE
en	Pp	EN
a-t	Ag	a-t
-on	Nc	-on
rien	Pi	RIEN
appris	Ge	APPRENDRE
