Euric	Nc	Euric
,	Fw	,
dans	S	DANS
ce	Dd	CE
palais	Nc	PALAIS
ne	Rp	NE
m'	Pp	JE
accompagnez	Vvc	ACCOMPAGNER
pas	Rg	PAS
,	Fw	,
Un	Vvc	Un
ordre	Nc	ORDRE
exprès	Ag	EXPRÈS
du	S+Da	DE+LE
Duc	Nc	DUC
conduit	Vvc	CONDUIRE
ici	Rg	ICI
mes	Ds	MON
pas	Nc	PAS
.	Fs	.
Son	Ds	SON
coeur	Nc	CUR
brûle	Vvc	BRÛLER
en	S	EN
secret	Nc	SECRET
d'	S	DE
une	Dn	UN
nouvelle	Ag	NOUVEAU
flamme	Nc	FLAMME
;	Fw	;
Ou	Vvc	Ou
quelque	Di	QUELQUE
grand	Ag	GRAND
dessein	Nc	DESSEIN
doit	Vvc	DEVOIR
rouler	Vvn	ROULER
dans	S	DANS
son	Ds	SON
âme	Nc	ÂME
.	Fs	.
Pour	S	POUR
me	Pp	JE
le	Pp	IL
confier	Vvn	CONFIER
il	Pp	IL
m'	Pp	JE
a	Vuc	AVOIR
mandé	Ge	MANDER
trois	Vvc	TRAIRE
fois	Nc	FOI|FOIS
:	Fw	:
Mais	Cc	MAIS
toujours	Rg	TOUJOURS
quelque	Di	QUELQUE
obstacle	Nc	OBSTACLE
a	Vuc	AVOIR
retenu	Ge	RETENIR
sa	Ds	SON
voix	Nc	VOIX
.	Fs	.
Quoique	Cs	QUOIQUE
l'	Da	LE
ambition	Nc	AMBITION
ou	Cc	OU
l'	Da	LE
amour	Nc	AMOUR
entreprenne	Vvc	ENTREPRENDRE
Ce	Vvc	Ce
secret	Ag	SECRET
de	S	DE
son	Ds	SON
coeur	Nc	CUR
n'	Rp	NE
échappe	Vvc	ÉCHAPPER
qu'	Rg	QUE
avec	S	AVEC
peine	Nc	PEINE
.	Fs	.
Il	Pp	IL
me	Pp	JE
rappelle	Vvc	RAPPELER
encore	Rg	ENCORE
avec	S	AVEC
empressement	Nc	EMPRESSEMENT
;	Fw	;
Et	Vvc	Et
je	Pp	JE
veux	Vvc	VOULOIR
profiter	Vvn	PROFITER
de	S	DE
cet	Dd	CE
heureux	Ag	HEUREUX
moment	Nc	MOMENT
.	Fs	.
S'	Cs	SI
il	Pp	IL
me	Pp	JE
parle	Vvc	PARLER
en	S	EN
ce	Dd	CE
lieu	Nc	LIEU
,	Fw	,
quoiqu'il	Cs	quoiqu'il
puisse	Vvc	POUVOIR
m'	Pp	JE
apprendre	Vvn	APPRENDRE
Le	Vvc	Le
Comte	Nc	COMTE|COMTÉ
de	S	DE
Morray	Vvc	Morray
peut	Vvc	POUVOIR
aisément	Rg	AISÉMENT
l'	Pp	IL
entendre	Vvn	ENTENDRE
Dans	Vvc	Dans
l'	Da	LE
endroit	Nc	ENDROIT
concerté	Ge	CONCERTER
j'	Pp	JE
ai	Vuc	AVOIR
déjà	Rg	DÉJÀ
pris	Ge	PRENDRE
le	Da	LE
soin	Nc	SOIN
,	Fw	,
De	Vvc	De
conduire	Vvn	CONDUIRE
moi-même	Pp	LUI-MÊME
un	Dn	UN
fidèle	Ag	FIDÈLE
témoin	Nc	TÉMOIN
.	Fs	.
Pour	S	POUR
le	Da	LE
bien	Nc	BIEN
de	S	DE
l'	Da	LE
État	Nc	État
,	Fw	,
le	Da	LE
comte	Nc	COMTE|COMTÉ
y	Pp	Y
devrait	Vvc	DEVOIR
être	Vun	ÊTRE
.	Fs	.
Seigneur	Nc	SEIGNEUR
,	Fw	,
en	S	EN
ce	Dd	CE
moment	Nc	MOMENT
il	Pp	IL
nous	Pp	NOUS
entend	Vvc	ENTENDRE
peut-être	Rg	PEUT-ÊTRE
.	Fs	.
Je	Pp	JE
viens	Vvc	VENIR
vous	Pp	VOUS
répéter	Vvn	RÉPÉTER
les	Da	LE
serments	Nc	SERMENT
qu'	Pr	QUE
il	Pp	IL
a	Vuc	AVOIR
faits	Ge	FAIRE
,	Fw	,
De	Vvc	De
porter	Vvn	PORTER
votre	Ds	VOTRE
sort	Nc	SORT
plus	Rg	PLUS
loin	Rg	LOIN
que	Cs	QUE
vos	Ds	VOTRE
souhaits	Nc	SOUHAIT
.	Fs	.
Si	Rg	SI
jusqu'	S	JUSQUE
à	S	À
son	Ds	SON
hymen	Nc	HYMEN
Elisabeth	Ag	Elisabeth
l'	Pp	IL
élève	Vvc	ÉLEVER
,	Fw	,
Si	Vvc	Si
par	S	PAR
la	Da	LE
mort	Nc	MORT
du	S+Da	DE+LE
Duc	Nc	DUC
cette	Dd	CE
action	Nc	ACTION
s'	Pp	SE
achève	Vvc	ACHEVER
,	Fw	,
Sans	Vvc	Sans
cesse	Nc	CESSE
de	S	DE
son	Ds	SON
trône	Nc	TRÔNE
infatigable	Ag	INFATIGABLE
appui	Nc	APPUI
;	Fw	;
Vous	Nc	Vous
douterez	Vvc	DOUTER
qui	Pr	QUI
règne	Vvc	RÉGNER
ou	Cc	OU
de	S	DE
vous	Pp	VOUS
ou	Cc	OU
de	S	DE
lui	Pp	IL
.	Fs	.
Je	Pp	JE
me	Pp	JE
fie	Vvc	FIER
à	S	À
sa	Ds	SON
loi	Nc	LOI
.	Fs	.
Qu'	Cs	QUE
il	Pp	IL
se	Pp	IL
fie	Vvc	FIER
à	S	À
mon	Ds	MON
zèle	Nc	ZÈLE
.	Fs	.
Vaincu	Ge	VAINCRE
par	S	PAR
ses	Ds	SON
raisons	Nc	RAISON
je	Pp	JE
lui	Pp	IL
serai	Vuc	ÊTRE
fidèle	Ag	FIDÈLE
.	Fs	.
Un	Dn	UN
serment	Nc	SERMENT
solennel	Ag	SOLENNEL
après	S	APRÈS
de	Dn	UN
grands	Ag	GRAND
combats	Nc	COMBAT
,	Fw	,
Vient	Vvc	VENIR
de	S	DE
m'	Pp	JE
associer	Vvn	ASSOCIER
à	S	À
tous	Di	TOUT
ses	Ds	SON
attentats	Nc	ATTENTAT
Je	Vvc	Je
vous	Pp	VOUS
l'	Pp	IL
ai	Vuc	AVOIR
déjà	Rg	DÉJÀ
dit	Ge	DIRE
;	Fw	;
c'	Pd	CE
est	Vuc	ÊTRE
avec	S	AVEC
violence	Nc	VIOLENCE
Que	Vvc	Que
j'	Pp	JE
embrasse	Vvc	EMBRASSER
le	Da	LE
crime	Nc	CRIME
et	Cc	ET
quitte	Vvc	QUITTER
l'	Da	LE
innocence	Nc	INNOCENCE
:	Fw	:
Mais	Cc	MAIS
en	S	EN
vain	Ag	VAIN
ma	Ds	MON
vertu	Nc	VERTU
révolte	Vvc	RÉVOLTER
