Melistrate	Nc	Melistrate
amoureux	Ag	AMOUREUX
?	Fs	?
Ah	I	AH
!	Fs	!
Je	Pp	JE
ne	Rp	NE
le	Pp	IL
puis	Vvc	POUVOIR
croire	Vvn	CROIRE
;	Fw	;
S'	Vvc	S'
il	Pp	IL
aime	Vvc	AIMER
Merzabane	Vvc	Merzabane
,	Fw	,
il	Pp	IL
n'	Rp	NE
aime	Vvc	AIMER
que	Rg	QUE
la	Da	LE
gloire	Nc	GLOIRE
;	Fw	;
Et	Vvc	Et
cet	Dd	CE
ambitieux	Nc	AMBITIEUX
,	Fw	,
et	Cc	ET
superbe	Ag	SUPERBE
vainqueur	Nc	VAINQUEUR
,	Fw	,
Ne	Vvc	Ne
borne	Vvc	BORNER
pas	Rg	PAS
ses	Ds	SON
vux	Nc	VU
,	Fw	,
à	S	À
régner	Vvn	RÉGNER
sur	S	SUR
un	Dn	UN
coeur	Nc	CUR
:	Fw	:
Lorgueilleux	Nc	Lorgueilleux
aime	Vvc	AIMER
mieux	Rg	MIEUX
que	Cs	QUE
la	Da	LE
valeur	Nc	VALEUR
enchaîne	Vvc	ENCHAÎNER
Des	Ag	Des
soldats	Nc	SOLDAT
subjugués	Ge	SUBJUGUER
,	Fw	,
qu'	Cs	QUE
une	Dn	UN
fameuse	Ag	FAMEUX
Reine	Nc	REINE|ROI
,	Fw	,
Que	Vvc	Que
Mars	Nc	MAR|MARS
a	Vuc	AVOIR
fait	Ge	FAIRE
cent	Nc	CENT
fois	Nc	FOI|FOIS
triompher	Vvn	TRIOMPHER
à	S	À
son	Ds	SON
tour	Nc	TOUR
,	Fw	,
Mais	Vvc	Mais
qui	Pr	QUI
succombe	Vvc	SUCCOMBER
enfin	Rg	ENFIN
sous	S	SOUS
les	Da	LE
traits	Nc	TRAIT|TRAITS
de	S	DE
l'	Da	LE
amour	Nc	AMOUR
.	Fs	.
Son	Ds	SON
courage	Nc	COURAGE
qui	Pr	QUI
forme	Nc	FORME
ou	Pr	OÙ
calme	Vvc	CALMER
les	Da	LE
tempêtes	Nc	TEMPÊTE
,	Fw	,
Qui	Vvc	Qui
détruit	Vvc	DÉTRUIRE
,	Fw	,
quand	Cs	QUAND
il	Pp	IL
veut	Vvc	VOULOIR
,	Fw	,
ou	Cc	OU
produit	Vvc	PRODUIRE
nos	Ds	NOTRE
conquêtes	Nc	CONQUÊTE
,	Fw	,
