Ah	I	AH
!	Fs	!
Qu'	Cs	QUE
une	Dn	UN
femme	Nc	FEMME
Demoiselle	Ag	Demoiselle
est	Vuc	ÊTRE
une	Dn	UN
étrange	Ag	ÉTRANGE
affaire	Nc	AFFAIRE|AFFAIRÉ
,	Fw	,
et	Cc	ET
que	Cs	QUE
mon	Ds	MON
mariage	Nc	MARIAGE
est	Vuc	ÊTRE
une	Dn	UN
leçon	Nc	LEÇON
bien	Rg	BIEN
parlante	Ga	PARLER
à	S	À
tous	Di	TOUT
les	Da	LE
paysans	Nc	PAYSAN
qui	Pr	QUI
veulent	Vvc	VOULOIR
s'	Pp	SE
élever	Vvn	ÉLEVER
au-dessus	Rg	AU-DESSUS
de	S	DE
leur	Ds	LEUR
condition	Nc	CONDITION
,	Fw	,
et	Cc	ET
s'	Pp	SE
allier	Vvn	ALLIER
,	Fw	,
comme	Cs	COMME
j'	Pp	JE
ai	Vuc	AVOIR
fait	Ge	FAIRE
,	Fw	,
à	S	À
la	Da	LE
maison	Nc	MAISON
d'	S	DE
un	Dn	UN
gentilhomme	Nc	GENTILHOMME
.	Fs	.
La	Da	LE
noblesse	Nc	NOBLESSE
de	S	DE
soi	Pp	IL
est	Vuc	ÊTRE
bonne	Ag	BON
:	Fw	:
c'	Pd	CE
est	Vuc	ÊTRE
une	Dn	UN
chose	Nc	CHOSE
considérable	Ag	CONSIDÉRABLE
assurément	Rg	ASSURÉMENT
,	Fw	,
mais	Cc	MAIS
elle	Pp	IL
est	Vuc	ÊTRE
accompagnée	Ge	ACCOMPAGNER
de	S	DE
tant	Rg	TANT
de	S	DE
mauvaises	Ag	MAUVAIS
circonstances	Nc	CIRCONSTANCE
,	Fw	,
qu'	Cs	QUE
il	Pp	IL
est	Vuc	ÊTRE
très	Rg	TRÈS
bon	Ag	BON
de	S	DE
ne	Rp	NE
s'	Pp	SE
y	Pp	Y
point	Rg	POINT
frotter	Vvn	FROTTER
.	Fs	.
Je	Pp	JE
suis	Vuc	ÊTRE
devenu	Ge	DEVENIR
là-dessus	Rg	LÀ-DESSUS
savant	Ag	SAVANT
à	S	À
mes	Ds	MON
dépens	Nc	DÉPENS
,	Fw	,
et	Cc	ET
connais	Vvc	CONNAÎTRE
le	Da	LE
style	Nc	STYLE
des	S+Da	DE+LE|DE+LES
nobles	Ag	NOBLE
lorsqu'	Cs	LORSQUE
ils	Pp	ILS
