Doux	Ag	DOUX
cruels	Ag	CRUEL
tyrans	Nc	TYRAN
de	S	DE
mon	Ds	MON
âme	Nc	ÂME
insensée	Ag	INSENSÉ
,	Fw	,
Qui	Vvc	Qui
mettez	Vvc	METTRE
,	Fw	,
tant	Rg	TANT
de	S	DE
trouble	Nc	TROUBLE
en	S	EN
ma	Ds	MON
triste	Ag	TRISTE
pensée	Nc	PENSÉE
.	Fs	.
Chères	Ag	Chères
impressions	Nc	IMPRESSION
qui	Pr	QUI
causés	Ge	CAUSER
ma	Ds	MON
douleur	Nc	DOULEUR
,	Fw	,
Inimitables	Ag	INIMITABLE
traits	Nc	TRAIT|TRAITS
d'	S	DE
esprit	Nc	ESPRIT
et	Cc	ET
de	S	DE
valeur	Nc	VALEUR
,	Fw	,
Belle	Nc	BEAU
image	Nc	IMAGE
de	S	DE
Chrispe	Nc	Chrispe
où	Pr	OÙ
je	Pp	JE
vois	Vvc	ALLER|VOIR
tant	Rg	TANT
de	S	DE
gloire	Nc	GLOIRE
,	Fw	,
Ne	Vvc	Ne
t'	Pp	TU
émancipes	Vvc	ÉMANCIPER
plus	Rg	PLUS
d'	S	DE
errer	Vvn	ERRER
en	S	EN
ma	Ds	MON
mémoire	Nc	MÉMOIRE
,	Fw	,
Les	Vvc	Les
lois	Nc	LOI
de	S	DE
mon	Ds	MON
honneur	Nc	HONNEUR
t'	Pp	TU
en	Pp	EN
ont	Vuc	AVOIR
voulu	Ge	VOULOIR
bannir	Vvn	BANNIR
,	Fw	,
Et	Vvc	Et
mon	Ds	MON
chaste	Ag	CHASTE
dessein	Nc	DESSEIN
ne	Rp	NE
t'	Pp	TU
y	Pp	Y
peut	Vvc	POUVOIR
retenir	Vvn	RETENIR
.	Fs	.
Sors	Vvc	SORTIR
idole	Nc	IDOLE
charmante	Ga	CHARMER
,	Fw	,
abandonne	Vvc	ABANDONNER
la	Da	LE
place	Nc	PLACE|PLACÉ
,	Fw	,
Le	Vvc	Le
désir	Nc	DÉSIR
te	Pp	TU
retient	Vvc	RETENIR
mais	Cc	MAIS
la	Da	LE
vertu	Nc	VERTU
te	Pp	TU
chasse	Vvc	CHASSER
,	Fw	,
Et	Vvc	Et
trouve	Vvc	TROUVER
avec	S	AVEC
raison	Nc	RAISON
mes	Ds	MON
sens	Nc	SENS
bien	Rg	BIEN
effrontés	Ag	EFFRONTÉ
