Approuvez	Vvc	APPROUVER
ma	Ds	MON
faiblesse	Nc	FAIBLESSE
,	Fw	,
et	Cc	ET
souffrez	Vvc	SOUFFRIR
ma	Ds	MON
douleur	Nc	DOULEUR
,	Fw	,
Elle	Vvc	Elle
n'	Rp	NE
est	Vuc	ÊTRE
que	Rg	QUE
trop	Rg	TROP
juste	Ag	JUSTE
en	S	EN
un	Dn	UN
si	Rg	SI
grand	Ag	GRAND
malheur	Nc	MALHEUR
;	Fw	;
Si	Vvc	Si
près	Rg	PRÈS
de	S	DE
voir	Vvn	VOIR
sur	S	SUR
soi	Pp	IL
fondre	Vvn	FONDRE
de	S	DE
tels	Ag	TEL
orages	Nc	ORAGE
,	Fw	,
L'	Vvc	L'
ébranlement	Nc	ÉBRANLEMENT
sied	Vvc	SEOIR
bien	Rg	BIEN
aux	S+Da	À+LES
plus	Rg	PLUS
fermes	Ag	FERME
courages	Nc	COURAGE
,	Fw	,
Et	Vvc	Et
l'	Da	LE
esprit	Nc	ESPRIT
le	Da	LE
plus	Rg	PLUS
mâle	Ag	MÂLE
et	Cc	ET
le	Da	LE
moins	Nc	MOINS
abattu	Ge	ABATTRE
Ne	Vvc	Ne
saurait	Vvc	SAURER|SAVOIR
sans	S	SANS
désordre	Nc	DÉSORDRE
exercer	Vvn	EXERCER
sa	Ds	SON
vertu	Nc	VERTU
.	Fs	.
Quoique	Cs	QUOIQUE
le	Da	LE
mien	Ps	MIEN
s'	Pp	SE
étonne	Vvc	ÉTONNER
à	S	À
ces	Dd	CE
rudes	Ag	RUDE
alarmes	Nc	ALARME
,	Fw	,
Le	Vvc	Le
trouble	Ag	TROUBLE
de	S	DE
mon	Ds	MON
coeur	Nc	CUR
ne	Rp	NE
peut	Vvc	POUVOIR
rien	Pi	RIEN
sur	S	SUR
mes	Ds	MON
larmes	Nc	LARME
,	Fw	,
Et	Vvc	Et
parmi	S	PARMI
les	Da	LE
soupirs	Nc	SOUPIR
qu'	Pr	QUE
il	Pp	IL
pousse	Vvc	POUSSER
vers	S	VERS
les	Da	LE
cieux	Nc	CIEL|CIEUX
,	Fw	,
Ma	Vvc	Ma
constance	Nc	CONSTANCE
du	S+Da	DE+LE
moins	Nc	MOINS
règne	Vvc	RÉGNER
encore	Rg	ENCORE
sur	S	SUR
mes	Ds	MON
yeux	Nc	OEIL|YEUX
.	Fs	.
Quand	Cs	QUAND
on	Pp	ON
arrête	Vvc	ARRÊTER
là	Rg	LÀ
les	Da	LE
déplaisirs	Nc	DÉPLAISIR
d'	S	DE
une	Dn	UN
âme	Nc	ÂME
,	Fw	,
Si	Vvc	Si
l'	Pp	IL
on	Pp	ON
fait	Vvc	FAIRE
moins	Rg	MOINS
qu'	Cs	QUE
un	Dn	UN
homme	Nc	HOMME
,	Fw	,
on	Pp	ON
fait	Vvc	FAIRE
plus	Rg	PLUS
qu'	Cs	QUE
une	Dn	UN
femme	Nc	FEMME
:	Fw	:
Commander	Vvn	COMMANDER
à	S	À
ses	Ds	SON
pleurs	Nc	PLEUR
en	S	EN
cette	Dd	CE
extrémité	Nc	EXTRÉMITÉ
,	Fw	,
C'	Vvc	C'
est	Vuc	ÊTRE
montrer	Nc	MONTRER
,	Fw	,
pour	S	POUR
le	Da	LE
sexe	Nc	SEXE
assez	Rg	ASSEZ
de	S	DE
fermeté	Nc	FERMETÉ
.	Fs	.
C'	Pd	CE
en	Pp	EN
est	Vuc	ÊTRE
peut-être	Rg	PEUT-ÊTRE
assez	Rg	ASSEZ
pour	S	POUR
une	Dn	UN
âme	Nc	ÂME
commune	Ag	COMMUN
,	Fw	,
Qui	Vvc	Qui
du	S+Da	DE+LE
moindre	Ag	MOINDRE
péril	Nc	PÉRIL
se	Pp	IL
fait	Vvc	FAIRE
une	Dn	UN
infortune	Nc	INFORTUNE
;	Fw	;
Mais	Vvc	Mais
de	S	DE
cette	Dd	CE
faiblesse	Nc	FAIBLESSE
un	Dn	UN
grand	Ag	GRAND
coeur	Nc	CUR
est	Vuc	ÊTRE
honteux	Ag	HONTEUX
,	Fw	,
Il	Vvc	Il
ose	Vvc	OSER
espérer	Vvn	ESPÉRER
tout	Pi	TOUT
dans	S	DANS
un	Dn	UN
succès	Nc	SUCCÈS
douteux	Ag	DOUTEUX
.	Fs	.
Les	Da	LE
deux	Nc	DEUX
camps	Nc	CAMP
sont	Vuc	ÊTRE
rangés	Ge	RANGER
au	S+Da	À+LE
