Quoi	Pt	QUE|QUOI
!	Fs	!
vous	Pp	VOUS
,	Fw	,
contre	S	CONTRE
mon	Ds	MON
fils	Nc	FIL|FILS
!	Fs	!
vous	Pp	VOUS
,	Fw	,
son	Ds	SON
indigne	Ag	INDIGNE
frère	Nc	FRÈRE
!	Fs	!
Vous	Pp	VOUS
insolent	Vvc	INSOLER
!	Fs	!
Madame	Nc	MADAME
,	Fw	,
un	Dn	UN
peu	Rg	PEU
moins	Rg	MOINS
de	S	DE
colère	Nc	COLÈRE
!	Fs	!
Et	Cc	ET
me	Pp	JE
comprendre	Vvn	COMPRENDRE
,	Fw	,
encor	Nc	encor
,	Fw	,
dans	S	DANS
votre	Ds	VOTRE
différend	Nc	DIFFÉREND
!	Fs	!
Je	Pp	JE
vous	Pp	VOUS
honore	Vvc	HONORER
en	Pp	EN
Reine	Vvc	Reine
,	Fw	,
et	Cc	ET
l'	Da	LE
estime	Nc	ESTIME
en	S	EN
parent	Nc	PARENT
.	Fs	.
Mais	Cc	MAIS
,	Fw	,
s'	Pp	SE
il	Pp	IL
forge	Vvc	FORGER
un	Dn	UN
fantôme	Nc	FANTÔME
,	Fw	,
afin	S	AFIN
de	S	DE
le	Pp	IL
combattre	Vvn	COMBATTRE
...	Fs	...
Je	Vvc	Je
saurai	Vvc	SAURER|SAVOIR
bien	Rg	BIEN
,	Fw	,
perfide	Ag	PERFIDE
.	Fs	.
Ha	Rg	HA
!	Fs	!
Cruelle	Ag	CRUEL
marâtre	Nc	MARÂTRE
!	Fs	!
À	Nc	À
qui	Pr	QUI
lui	Pp	IL
déplaira	Vvc	DÉPLAIRE
,	Fw	,
faire	Vvn	FAIRE
perdre	Vvn	PERDRE
le	Da	LE
jour	Nc	JOUR
,	Fw	,
Et	Vvc	Et
contre	S	CONTRE
qui	Pr	QUI
le	Pp	IL
hait	Vvc	HAÏR
,	Fw	,
lui	Pp	IL
montrer	Vvn	MONTRER
mon	Ds	MON
amour	Nc	AMOUR
.	Fs	.
Madame	Nc	MADAME
,	Fw	,
quand	Cs	QUAND
le	Da	LE
sang	Nc	SANG
,	Fw	,
qui	Pr	QUI
me	Pp	JE
le	Da	LE
rang	Nc	RANG
si	Rg	SI
proche	Ag	PROCHE
,	Fw	,
Ne	Vvc	Ne
me	Pp	JE
laverait	Vvc	LAVER
pas	Rg	PAS
,	Fw	,
d'	S	DE
un	Dn	UN
semblable	Ag	SEMBLABLE
reproche	Nc	REPROCHE
;	Fw	;
Pour	Nc	POUR
savoir	Vvn	SAVOIR
à	S	À
quel	Dt	QUEL
point	Nc	POINT
,	Fw	,
je	Pp	JE
le	Pp	IL
dois	Vvc	DEVOIR
respecter	Vvn	RESPECTER
,	Fw	,
Il	Vvc	Il
suffit	Vvc	SUFFIRE
,	Fw	,
de	S	DE
l'	Da	LE
amour	Nc	AMOUR
,	Fw	,
qu'	Cs	QUE
on	Pp	ON
vous	Pp	VOUS
lui	Pp	IL
voit	Vvc	VOIR
porter	Vvn	PORTER
.	Fs	.
Il	Pp	IL
suffit	Vvc	SUFFIRE
,	Fw	,
qu'	Cs	QUE
en	S	EN
ce	Dd	CE
fils	Nc	FIL|FILS
,	Fw	,
nous	Pp	NOUS
voyons	Vvc	VOIR
votre	Ds	VOTRE
image	Nc	IMAGE
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
nous	Pp	NOUS
ne	Rp	NE
pouvons	Vvc	POUVOIR
,	Fw	,
lui	Pp	IL
rendre	Vvn	RENDRE
assez	Rg	ASSEZ
d'	S	DE
hommage	Nc	HOMMAGE
:	Fw	:
De	S	DE
ces	Dd	CE
raisons	Nc	RAISON
aussi	Rg	AUSSI
,	Fw	,
me	Pp	JE
faisant	Ga	FAIRE
une	Dn	UN
loi	Nc	LOI
,	Fw	,
J'	Vvc	J'
ai	Vuc	AVOIR
pour	S	POUR
lui	Pp	IL
le	Da	LE
respect	Nc	RESPECT
,	Fw	,
qu'	Cs	QUE
il	Pp	IL
dut	Vvc	DEVOIR
avoir	Vun	AVOIR
pour	S	POUR
moi	Pp	JE
.	Fs	.
Lui	Pp	IL
,	Fw	,
pour	S	POUR
vous	Pp	VOUS
!	Fs	!
Oui	Rg	OUI
,	Fw	,
pour	S	POUR
moi	Pp	JE
