Invincibles	Ag	INVINCIBLE
d'	S	DE
une	Dn	UN
action	Nc	ACTION
si	Rg	SI
noire	Ag	NOIR
,	Fw	,
Que	Vvc	Que
je	Pp	JE
vous	Pp	VOUS
vois	Vvc	ALLER|VOIR
subir	Vvn	SUBIR
une	Dn	UN
honteuse	Ag	HONTEUX
loi	Nc	LOI
,	Fw	,
Je	Vvc	Je
ne	Rp	NE
vous	Pp	VOUS
connais	Vvc	CONNAÎTRE
plus	Rg	PLUS
,	Fw	,
ou	Cc	OU
je	Pp	JE
vous	Pp	VOUS
méconnais	Vvc	MÉCONNAÎTRE
:	Fw	:
En	S	EN
un	Dn	UN
mot	Nc	MOT
de	S	DE
sujets	Nc	SUJET
si	Rg	SI
vaillants	Ag	VAILLANT
et	Cc	ET
si	Rg	SI
braves	Ag	BRAVE
,	Fw	,
Par	Nc	PAR
votre	Ds	VOTRE
lâcheté	Nc	LÂCHETÉ
vous	Pp	VOUS
vous	Pp	VOUS
rendez	Vvc	RENDRE
esclaves	Ag	ESCLAVE
,	Fw	,
Et	Vvc	Et
je	Pp	JE
croirais	Vvc	CROIRE
encor	Nc	encor
votre	Ds	VOTRE
sort	Nc	SORT
assez	Rg	ASSEZ
doux	Ag	DOUX
Si	Nc	SI
vous	Pp	VOUS
n'	Rp	NE
étiez	Vuc	ÊTRE
sujets	Nc	SUJET
d'	S	DE
un	Dn	UN
sujet	Nc	SUJET
comme	S	COMME
vous	Pp	VOUS
:	Fw	:
Le	Da	LE
Duc	Nc	DUC
de	S	DE
Northbelant	Ga	Northbelant
par	S	PAR
ses	Ds	SON
trames	Nc	TRAME
perfides	Ag	PERFIDE
Impose	Vvc	IMPOSER
un	Dn	UN
joug	Nc	JOUG
honteux	Ag	HONTEUX
à	S	À
vos	Ds	VOTRE
âmes	Nc	ÂME
timides	Ag	TIMIDE
,	Fw	,
Élevant	Nc	Élevant
une	Dn	UN
femme	Nc	FEMME
à	S	À
ce	Dd	CE
superbe	Ag	SUPERBE
rang	Nc	RANG
,	Fw	,
Où	Vvc	Où
son	Ds	SON
ambition	Nc	AMBITION
veut	Vvc	VOULOIR
élever	Vvn	ÉLEVER
son	Ds	SON
sang	Nc	SANG
.	Fs	.
Sur	S	SUR
sa	Ds	SON
tête	Nc	TÊTE
coupable	Ag	COUPABLE
il	Pp	IL
a	Vuc	AVOIR
mis	Ge	METTRE
la	Da	LE
couronne	Nc	COURONNE
,	Fw	,
Et	Vvc	Et
d'	S	DE
un	Dn	UN
commun	Ag	COMMUN
accord	Nc	ACCORD
le	Da	LE
peuple	Nc	PEUPLE
la	Pp	IL
lui	Pp	IL
donne	Vvc	DONNER
,	Fw	,
Il	Vvc	Il
accepte	Vvc	ACCEPTER
le	Da	LE
joug	Nc	JOUG
,	Fw	,
et	Cc	ET
n'	Rp	NE
en	Pp	EN
murmure	Vvc	MURMURER
pas	Rg	PAS
.	Fs	.
Ha	Rg	HA
!	Fs	!
Vous	Pp	VOUS
deviez	Vvc	DEVOIR|DÉVIER
plutôt	Rg	PLUTÔT
souffrir	Vvn	SOUFFRIR
mille	Nc	MILLE
trépas	Nc	TRÉPAS
,	Fw	,
Et	Vvc	Et
pour	S	POUR
ne	Rp	NE
perdre	Vvn	PERDRE
point	Rg	POINT
votre	Ds	VOTRE
gloire	Nc	GLOIRE
passée	Ge	PASSER
Punir	Vvn	PUNIR
les	Da	LE
déloyaux	Ag	DÉLOYAL
de	S	DE
la	Da	LE
seule	Ag	SEUL
pensée	Nc	PENSÉE
,	Fw	,
Étouffer	Nc	Étouffer
les	Da	LE
auteurs	Nc	AUTEUR
de	S	DE
la	Da	LE
rébellion	Nc	RÉBELLION
,	Fw	,
Et	Vvc	Et
couper	Vvn	COUPER
en	S	EN
naissant	Ga	NAÎTRE
la	Da	LE
tête	Nc	TÊTE
à	S	À
ce	Dd	CE
Lyon	Nc	Lyon
:	Fw	:
Mais	Cc	MAIS
puisque	Cs	PUISQUE
du	S+Da	DE+LE
passé	Ge	PASSER
le	Da	LE
repentir	Nc	REPENTIR
vous	Pp	VOUS
touche	Vvc	TOUCHER
,	Fw	,
Comme	Vvc	Comme
mon	Ds	MON
compagnon	Nc	COMPAGNON
l'	Pp	IL
a	Vuc	AVOIR
su	Ge	SAVOIR
de	S	DE
votre	Ds	VOTRE
bouche	Nc	BOUCHE
,	Fw	,
Et	Vvc	Et
comme	S	COMME
votre	Ds	VOTRE
front	Nc	FRONT
me	Pp	JE
le	Pp	IL
témoigne	Vvc	TÉMOIGNER
assez	Rg	ASSEZ
,	Fw	,
Vous	Nc	Vous
pouvez	Vvc	POUVOIR
réparer	Vvn	RÉPARER
tous	Di	TOUT
les	Da	LE
crimes	Nc	CRIME
passés	Ge	PASSER
,	Fw	,
Implorer	Nc	IMPLORER
seulement	Rg	SEULEMENT
la	Da	LE
merci	Nc	MERCI
de	S	DE
la	Da	LE
Reine	Nc	REINE|ROI
,	Fw	,
Elle	Vvc	Elle
est	Vuc	ÊTRE
juste	Ag	JUSTE
,	Fw	,
il	Pp	IL
est	Vuc	ÊTRE
vrai	Ag	VRAI
,	Fw	,
mais	Cc	MAIS
non	Rg	NON
pas	Rg	PAS
inhumaine	Ag	INHUMAIN
:	Fw	:
Allez	Vvc	ALLER
sans	S	SANS
craindre	Vvn	CRAINDRE
rien	Pi	RIEN
embrasser	Vvn	EMBRASSER
ses	Ds	SON
genoux	Nc	GENOU
,	Fw	,
Et	Vvc	Et
vous	Pp	VOUS
en	Pp	EN
recevrez	Vvc	RECEVOIR
un	Dn	UN
traitement	Nc	TRAITEMENT
si	Rg	SI
doux	Ag	DOUX
Que	Nc	Que
vous	Pp	VOUS
condamnerez	Vvc	CONDAMNER
vos	Ds	VOTRE
dernières	Ag	DERNIER
folies	Nc	FOLIE
,	Fw	,
Qui	Vvc	Qui
dans	S	DANS
vos	Ds	VOTRE
repentirs	Nc	REPENTIR
seront	Vuc	ÊTRE
ensevelies	Ge	ENSEVELIR
:	Fw	:
Si	Cs	SI
vous	Pp	VOUS
vous	Pp	VOUS
résolvez	Vvc	RÉSOUDRE
à	S	À
deux	Nc	DEUX
doigts	Nc	DOIGT
de	S	DE
la	Da	LE
mort	Nc	MORT
Londres	Vvc	Londres
ne	Rp	NE
sera	Vuc	ÊTRE
plus	Rg	PLUS
après	S	APRÈS
ce	Dd	CE
grand	Ag	GRAND
effort	Nc	EFFORT
,	Fw	,
Qui	Vvc	Qui
fera	Vvc	FAIRE|FERRER
trébucher	Vvn	TRÉBUCHER
ses	Ds	SON
superbes	Ag	SUPERBE
murailles	Nc	MURAILLE
,	Fw	,
Qu'	Vvc	Qu'
un	Dn	UN
théâtre	Nc	THÉÂTRE
sanglant	Ga	SANGLER
de	S	DE
mille	Nc	MILLE
funérailles	Nc	FUNÉRAILLE
.	Fs	.
Amis	Nc	AMI
opposez	Nc	OPPOSÉ
-vous	Nc	-vous
à	S	À
des	Dn	UN
malheurs	Nc	MALHEUR
si	Rg	SI
grands	Ag	GRAND
,	Fw	,
Conservez	Vvc	CONSERVER
vos	Ds	VOTRE
maisons	Nc	MAISON
,	Fw	,
vos	Ds	VOTRE
fils	Nc	FIL|FILS
et	Cc	ET
vos	Ds	VOTRE
parents	Nc	PARENT
,	Fw	,
Et	Vvc	Et
ne	Rp	NE
permettez	Vvc	PERMETTRE
pas	Rg	PAS
qu'	Cs	QUE
une	Dn	UN
insolente	Ag	INSOLENT
armée	Nc	ARMÉE
Avare	Ag	AVARE
de	S	DE
butin	Nc	BUTIN
,	Fw	,
et	Cc	ET
de	S	DE
meurtre	Nc	MEURTRE
affamée	Ge	AFFAMER
,	Fw	,
Dans	Vvc	Dans
les	Da	LE
premiers	Ag	PREMIER
transports	Nc	TRANSPORT|TRANSPORTS
d'	S	DE
une	Dn	UN
juste	Ag	JUSTE
fureur	Nc	FUREUR
Remplissent	Vvc	REMPLIR
vos	Ds	VOTRE
maisons	Nc	MAISON
de	S	DE
misère	Nc	MISÈRE
et	Cc	ET
d'	S	DE
horreur	Nc	HORREUR
,	Fw	,
Prévenez	Vvc	Prévenez
ce	Dd	CE
malheur	Nc	MALHEUR
,	Fw	,
et	Cc	ET
courez	Vvc	COURIR
au	S+Da	À+LE
remède	Nc	REMÈDE
,	Fw	,
Pour	Nc	POUR
moi	Pp	JE
dans	S	DANS
ce	Dd	CE
besoin	Nc	BESOIN
je	Pp	JE
vous	Pp	VOUS
donne	Vvc	DONNER
mon	Ds	MON
aide	Nc	AIDE
,	Fw	,
Votre	Nc	Votre
soumission	Nc	SOUMISSION
détournera	Vvc	DÉTOURNER
ce	Dd	CE
mal	Nc	MAL
,	Fw	,
Et	Vvc	Et
je	Pp	JE
promets	Vvc	PROMETTRE
à	S	À
tous	Di	TOUT
un	Dn	UN
pardon	Nc	PARDON
général	Nc	GÉNÉRAL
.	Fs	.
Quand	Cs	QUAND
vous	Pp	VOUS
n'	Rp	NE
y	Pp	Y
seriez	Vuc	ÊTRE
pas	Rg	PAS
obligés	Ge	OBLIGER
de	S	DE
naissance	Nc	NAISSANCE
Votre	Nc	Votre
salut	Nc	SALUT
dépend	Vvc	DÉPENDRE
de	S	DE
votre	Ds	VOTRE
obéissance	Nc	OBÉISSANCE
,	Fw	,
Il	Vvc	Il
faut	Vvc	FAILLIR|FALLOIR
suivre	Vvn	SUIVRE
les	Da	LE
lois	Nc	LOI
qu'	Pr	QUE
imposent	Vvc	IMPOSER
des	Dn	UN
vainqueurs	Nc	VAINQUEUR
,	Fw	,
Ouvrez	Vvc	OUVRER|OUVRIR
donc	Rg	DONC
devant	S	DEVANT
nous	Pp	NOUS
le	Da	LE
secret	Nc	SECRET
de	S	DE
vos	Ds	VOTRE
coeurs	Nc	CUR
.	Fs	.
Puisque	Cs	PUISQUE
je	Pp	JE
puis	Vvc	POUVOIR
pour	S	POUR
tous	Di	TOUT
vous	Pp	VOUS
parler	Vvn	PARLER
en	S	EN
ces	Dd	CE
termes	Nc	TERME
,	Fw	,
Nos	Nc	NÔ
résolutions	Nc	RÉSOLUTION
sont	Vuc	ÊTRE
entières	Ag	ENTIER
et	Cc	ET
fermes	Ag	FERME
:	Fw	:
Seigneur	Nc	SEIGNEUR
quelque	Di	QUELQUE
danger	Nc	DANGER
que	Pr	QUE
