	groupone	grouptwo	correlation	p-value
2	tragedie	tragicomedie	0.7709642889141111	5.7675336227656503e-11
0	comedie	tragedie	-0.5703498718886797	1.5313977501216354e-05
1	comedie	tragicomedie	0.010104900478570955	0.9444746827458772
