	docprops1	docprops2	relfreqs1	relfreqs2	meanrelfreqs	sd0	sd2	sdX	sr0	sr2	srX	dd0	dd2	ddX	dr0	dr2	drX
case	0.458128078817734	0.08058608058608059	1.019704433497537	0.08424908424908424	0.416058394160584	0.3775419982316534	0.3539138520671656	0.35391385206716564	0.3775419982316535	0.37754199823165346	0.3775419982316534	-0.4175824173912489	-0.4175824175824176	-0.4175824175824176	-0.4175824173184148	-0.3682469427055169	-0.3682469427055169
anything	0.4187192118226601	0.07326007326007326	0.5517241379310346	0.07326007326007326	0.3309002433090025	0.3454591385625868	0.34506123606256334	0.34506123606256345	0.22732738090538812	0.29402022676691586	0.29402022676691586	-0.4175824173902211	-0.4105974704246724	-0.4105974704246724	-0.41758241741814917	-0.3651418574073273	-0.3651418574073273
night	0.6502463054187192	0.3333333333333333	1.1970443349753694	0.4285714285714286	0.7311435523114356	0.3169129720853859	0.19265463404412106	0.19265463404412111	0.32265429118208944	0.21964654921917137	0.21964654921917134	-0.41758241751681985	-0.4169822112554785	-0.4169822112554785	-0.4175824175214939	-0.3716515656839471	-0.3716515656839471
paper	0.3251231527093596	0.054945054945054944	0.47783251231527096	0.0695970695970696	0.28588807785888076	0.2701780977643047	0.3207784001203364	0.3207784001203366	0.20424298974082106	0.2767886282856491	0.2767886282856491	-0.4175824173834377	-0.39314147727391724	-0.39314147727391724	-0.4175824174326616	-0.3644942473862083	-0.3644942473862083
fact	0.3103448275862069	0.040293040293040296	0.4729064039408867	0.04029304029304029	0.2749391727493918	0.2700517872931666	0.33857608053536314	0.3385760805353632	0.2122560967457877	0.3083254366282816	0.3083254366282816	-0.41758241732341483	-0.3942158429973559	-0.3942158429973559	-0.4175824173264149	-0.3647487408992201	-0.3647487408992201
nothing	0.5665024630541872	0.3076923076923077	0.935960591133005	0.380952380952381	0.697080291970803	0.25881015536187946	0.1766916303358141	0.17669163033581411	0.2524877065272004	0.19695128890347294	0.19695128890347294	-0.41758241752050557	-0.3944978533722876	-0.3944978533722876	-0.4175824175288273	-0.368061487848311	-0.368061487848311
room	0.5123152709359606	0.2673992673992674	1.0541871921182269	0.4432234432234432	0.7445255474452556	0.24491600353669324	0.1820532481232375	0.1820532481232376	0.2708804858183933	0.19456854275719765	0.19456854275719768	-0.41758241751799074	-0.38669075219710214	-0.38669075219710214	-0.41758241753053826	-0.3699252746284698	-0.3699252746284698
idea	0.2660098522167488	0.02197802197802198	0.3251231527093596	0.021978021978021976	0.2031630170316302	0.2440318302387268	0.3456874848142135	0.34568748481421363	0.1696994403722603	0.2807373647791275	0.2807373647791275	-0.4175824171754133	-0.38920568549064993	-0.38920568549064993	-0.41758241725974754	-0.3635215372632472	-0.3635215372632472
police	0.23645320197044334	0.0	0.3596059113300492	0.0	0.11435523114355231	0.23645320197044334	0.3775419982316534	0.3775419982316534	0.1882582944200327	0.3289071523373545	0.32890715233735457	0.3775419982316534	-0.3901690067583415	-0.3901690067583415	0.36679707369391984	-0.36420977175096453	-0.36420977175096453
fellow	0.35960591133004927	0.13186813186813187	0.477832512315271	0.15018315018315018	0.3236009732360097	0.2277377794619174	0.23030759540212012	0.23030759540212017	0.17775406606637184	0.20909983675633834	0.20909983675633834	-0.417582417490716	-0.3779893391389132	-0.3779893391389132	-0.4175824175130185	-0.36362850859808915	-0.36362850859808915
detective	0.22660098522167488	0.0	0.36453201970443355	0.0	0.09245742092457422	0.22660098522167488	0.36927156900562047	0.3692715690056205	0.189877523296684	0.3307633650492013	0.3307633650492013	0.34441181424080164	-0.38749557750667074	-0.38749557750667074	0.3775419982316534	-0.364255987356813	-0.364255987356813
question	0.3448275862068966	0.12087912087912088	0.4187192118226601	0.13919413919413923	0.28467153284671537	0.22394846532777568	0.23472405128604965	0.23472405128604967	0.1619354455021631	0.1981302093664032	0.19813020936640321	-0.41758241748649066	-0.3770486771269903	-0.3770486771269903	-0.41758241751680286	-0.3629995202581143	-0.3629995202581143
crime	0.23645320197044334	0.018315018315018316	0.35467980295566504	0.018315018315018316	0.10583941605839416	0.21813818365542503	0.33074081158047586	0.33074081158047586	0.18061885561737023	0.29774883966289256	0.29774883966289256	-0.41758241714827965	-0.3824481274549815	-0.3824481274549815	-0.4175824171600131	-0.3638938415759877	-0.3638938415759877
something	0.4827586206896552	0.2673992673992674	0.6403940886699508	0.3333333333333333	0.5413625304136254	0.2153593532903878	0.16828558676446154	0.16828558676446162	0.17098651973575238	0.15662005789671016	0.15662005789671019	-0.41758241752170766	-0.37645665239273335	-0.37645665239273335	-0.4175824175405124	-0.36399201498876577	-0.36399201498876577
murder	0.23645320197044334	0.02197802197802198	0.3448275862068966	0.021978021978021976	0.10583941605839417	0.21447517999242136	0.32225602441690543	0.3222560244169055	0.17617635587886543	0.2886259666768911	0.2886259666768911	-0.417582417220636	-0.3809161990310646	-0.3809161990310646	-0.41758241724019174	-0.3637364927677393	-0.3637364927677393
death	0.37438423645320196	0.16483516483516483	0.5812807881773399	0.19780219780219782	0.3394160583941606	0.20954907161803712	0.20212050489827552	0.20212050489827554	0.1961053266684197	0.20743781273836215	0.20743781273836215	-0.41758241750604147	-0.37190029530028723	-0.37190029530028723	-0.41758241751831815	-0.3644172643612336	-0.3644172643612336
doubt	0.3054187192118227	0.0989010989010989	0.438423645320197	0.10622710622710624	0.2907542579075426	0.2065176203107238	0.23807496010623386	0.23807496010623388	0.17924873887558837	0.23044183099372162	0.23044183099372162	-0.4175824174785729	-0.372361501403198	-0.372361501403198	-0.41758241749239366	-0.36366546557504487	-0.36366546557504487
house	0.5172413793103449	0.31868131868131866	1.1133004926108376	0.4395604395604396	0.6253041362530414	0.1985600606290262	0.1479228253571393	0.14792282535713935	0.29151527432341096	0.20444305989550568	0.20444305989550565	-0.4175824175278385	-0.37336978553457195	-0.373369785534572	-0.41758241752717257	-0.37070759830658007	-0.37070759830658007
