Measure 1	Measure 2	RBO	Kendall's Tau	p-value	Spearman Rho	p-value
sd0-ranks	sd2-ranks	0.8218353835970902	0.21333333333333337	0.13498807206800562	0.35	0.08631994521775342
sd0-ranks	sdX-ranks	0.8218353835970902	0.21333333333333337	0.13498807206800562	0.35	0.08631994521775342
sd0-ranks	sr0-ranks	0.8822158757148251	0.4533333333333334	0.0014917914925014109	0.63	0.0007379916732732269
sd0-ranks	sr2-ranks	0.8962399204121609	0.42666666666666675	0.002794931155460285	0.5915384615384616	0.0018428212334481065
sd0-ranks	srX-ranks	0.8962399204121609	0.42666666666666675	0.002794931155460285	0.5915384615384616	0.0018428212334481065
sd0-ranks	dd0-ranks	0.7940592708619545	0.046666666666666676	0.7436909177023769	0.10384615384615385	0.6213151863171391
sd0-ranks	dd2-ranks	0.7213633972798994	-0.6400000000000001	7.320385068788433e-06	-0.7923076923076923	2.3563996665439814e-06
sd0-ranks	ddX-ranks	0.7213633972798994	-0.6400000000000001	7.320385068788433e-06	-0.7923076923076923	2.3563996665439814e-06
sd0-ranks	dr0-ranks	0.7448504421513535	0.11686159857648115	0.4129064323756271	0.19195999585713447	0.35796416792915986
sd0-ranks	dr2-ranks	0.7332423458299697	-0.40666666666666673	0.0043814709255278255	-0.5684615384615384	0.003028330847108435
sd0-ranks	drX-ranks	0.7332423458299697	-0.40666666666666673	0.0043814709255278255	-0.5684615384615384	0.003028330847108435
sd2-ranks	sdX-ranks	1.0	1.0000000000000002	2.443704752442984e-12	1.0	0.0
sd2-ranks	sr0-ranks	0.8119649180180599	-0.10666666666666669	0.45484690736721645	-0.19538461538461538	0.34928733392328004
sd2-ranks	sr2-ranks	0.8217965197677132	0.6533333333333334	4.704001518178511e-06	0.8376923076923077	1.7546593840860256e-07
sd2-ranks	srX-ranks	0.8217965197677132	0.6533333333333334	4.704001518178511e-06	0.8376923076923077	1.7546593840860256e-07
sd2-ranks	dd0-ranks	0.854963116046426	0.8333333333333335	5.2596467193556925e-09	0.943076923076923	1.7503491349414965e-12
sd2-ranks	dd2-ranks	0.7555138189155944	-0.013333333333333336	0.9255700049218919	-0.0007692307692307692	0.9970883402731314
sd2-ranks	ddX-ranks	0.7555138189155944	-0.013333333333333336	0.9255700049218919	-0.0007692307692307692	0.9970883402731314
sd2-ranks	dr0-ranks	0.8272303974435713	0.8714536350989023	1.022668866707758e-09	0.9705712816584176	1.016123107947122e-15
sd2-ranks	dr2-ranks	0.7394316506422174	0.14	0.3266377946553922	0.2323076923076923	0.2638040049777121
sd2-ranks	drX-ranks	0.7394316506422174	0.14	0.3266377946553922	0.2323076923076923	0.2638040049777121
sdX-ranks	sr0-ranks	0.8119649180180599	-0.10666666666666669	0.45484690736721645	-0.19538461538461538	0.34928733392328004
sdX-ranks	sr2-ranks	0.8217965197677132	0.6533333333333334	4.704001518178511e-06	0.8376923076923077	1.7546593840860256e-07
sdX-ranks	srX-ranks	0.8217965197677132	0.6533333333333334	4.704001518178511e-06	0.8376923076923077	1.7546593840860256e-07
sdX-ranks	dd0-ranks	0.854963116046426	0.8333333333333335	5.2596467193556925e-09	0.943076923076923	1.7503491349414965e-12
sdX-ranks	dd2-ranks	0.7555138189155944	-0.013333333333333336	0.9255700049218919	-0.0007692307692307692	0.9970883402731314
sdX-ranks	ddX-ranks	0.7555138189155944	-0.013333333333333336	0.9255700049218919	-0.0007692307692307692	0.9970883402731314
sdX-ranks	dr0-ranks	0.8272303974435713	0.8714536350989023	1.022668866707758e-09	0.9705712816584176	1.016123107947122e-15
sdX-ranks	dr2-ranks	0.7394316506422174	0.14	0.3266377946553922	0.2323076923076923	0.2638040049777121
sdX-ranks	drX-ranks	0.7394316506422174	0.14	0.3266377946553922	0.2323076923076923	0.2638040049777121
sr0-ranks	sr2-ranks	0.9123032618397022	0.20000000000000004	0.16112496043343083	0.24615384615384614	0.23557603103467756
sr0-ranks	srX-ranks	0.9123032618397022	0.20000000000000004	0.16112496043343083	0.24615384615384614	0.23557603103467756
sr0-ranks	dd0-ranks	0.8037023329044142	-0.2466666666666667	0.0839402572308469	-0.38384615384615384	0.05818916037068153
sr0-ranks	dd2-ranks	0.7488405509976416	-0.6666666666666667	2.997463659992604e-06	-0.8192307692307693	5.500877242191293e-07
sr0-ranks	ddX-ranks	0.7488405509976416	-0.6666666666666667	2.997463659992604e-06	-0.8192307692307693	5.500877242191293e-07
sr0-ranks	dr0-ranks	0.7499090904651775	-0.1636062380070736	0.25166875913946174	-0.28659358098910864	0.16484988469199635
sr0-ranks	dr2-ranks	0.7609601007015734	-0.9266666666666669	8.432210353923024e-11	-0.9846153846153846	6.270747821504082e-19
sr0-ranks	drX-ranks	0.7609601007015734	-0.9266666666666669	8.432210353923024e-11	-0.9846153846153846	6.270747821504082e-19
sr2-ranks	srX-ranks	1.0	1.0000000000000002	2.443704752442984e-12	1.0	0.0
sr2-ranks	dd0-ranks	0.8048251317137078	0.5400000000000001	0.00015463536088628982	0.7084615384615385	7.397926422789478e-05
sr2-ranks	dd2-ranks	0.7363297403238422	-0.2266666666666667	0.11225518151619468	-0.3038461538461538	0.13977669221855882
sr2-ranks	ddX-ranks	0.7363297403238422	-0.2266666666666667	0.11225518151619468	-0.3038461538461538	0.13977669221855882
sr2-ranks	dr0-ranks	0.7422341124469467	0.63773043794594	7.886132109197092e-06	0.8040007842513248	1.2873020339257907e-06
sr2-ranks	dr2-ranks	0.7684327940257145	-0.19333333333333336	0.17554881842305914	-0.1992307692307692	0.3396925245488783
sr2-ranks	drX-ranks	0.7684327940257145	-0.19333333333333336	0.17554881842305914	-0.1992307692307692	0.3396925245488783
srX-ranks	dd0-ranks	0.8048251317137078	0.5400000000000001	0.00015463536088628982	0.7084615384615385	7.397926422789478e-05
srX-ranks	dd2-ranks	0.7363297403238422	-0.2266666666666667	0.11225518151619468	-0.3038461538461538	0.13977669221855882
srX-ranks	ddX-ranks	0.7363297403238422	-0.2266666666666667	0.11225518151619468	-0.3038461538461538	0.13977669221855882
srX-ranks	dr0-ranks	0.7422341124469467	0.63773043794594	7.886132109197092e-06	0.8040007842513248	1.2873020339257907e-06
srX-ranks	dr2-ranks	0.7684327940257145	-0.19333333333333336	0.17554881842305914	-0.1992307692307692	0.3396925245488783
srX-ranks	drX-ranks	0.7684327940257145	-0.19333333333333336	0.17554881842305914	-0.1992307692307692	0.3396925245488783
dd0-ranks	dd2-ranks	0.769630038436705	0.15333333333333335	0.28267546939653876	0.21076923076923076	0.3118670341866451
dd0-ranks	ddX-ranks	0.769630038436705	0.15333333333333335	0.28267546939653876	0.21076923076923076	0.3118670341866451
dd0-ranks	dr0-ranks	0.7981515448654344	0.9048426632636112	2.301063995544438e-10	0.9782650690675211	3.2338118564277095e-17
dd0-ranks	dr2-ranks	0.7874720229979808	0.25333333333333335	0.07590159487638093	0.4076923076923077	0.043077118260726716
dd0-ranks	drX-ranks	0.7874720229979808	0.25333333333333335	0.07590159487638093	0.4076923076923077	0.043077118260726716
dd2-ranks	ddX-ranks	1.0	1.0000000000000002	2.443704752442984e-12	1.0	0.0
dd2-ranks	dr0-ranks	0.702594567488245	0.07011695914588868	0.6232328115361421	0.11656087924791934	0.5789875834047526
dd2-ranks	dr2-ranks	0.828484247714226	0.6733333333333335	2.385217980143511e-06	0.8238461538461539	4.1854381389918974e-07
dd2-ranks	drX-ranks	0.828484247714226	0.6733333333333335	2.385217980143511e-06	0.8238461538461539	4.1854381389918974e-07
ddX-ranks	dr0-ranks	0.702594567488245	0.07011695914588868	0.6232328115361421	0.11656087924791934	0.5789875834047526
ddX-ranks	dr2-ranks	0.828484247714226	0.6733333333333335	2.385217980143511e-06	0.8238461538461539	4.1854381389918974e-07
ddX-ranks	drX-ranks	0.828484247714226	0.6733333333333335	2.385217980143511e-06	0.8238461538461539	4.1854381389918974e-07
dr0-ranks	dr2-ranks	0.6837132793471965	0.1702840436400154	0.23283275614478371	0.31736873062552295	0.12213317200557454
dr0-ranks	drX-ranks	0.6837132793471965	0.1702840436400154	0.23283275614478371	0.31736873062552295	0.12213317200557454
dr2-ranks	drX-ranks	1.0	1.0000000000000002	2.443704752442984e-12	1.0	0.0
