	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
zoology	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.011029411764705883	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
congratulations	0.01	0.0	0.005	0.0	0.9900000000000004	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
risus	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
ritual	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
construction	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0024509803921568627	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
river-water	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
conspirator	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.004901960784313725	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
rocking-chair	0.01	0.0	0.01	0.0	0.9900000000000003	0.0	0.006127450980392157	0.01	0.07410933811240385	0.13916221088607408	0.1237687106915113	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5071837227754197	-0.45317625636427405	0.5429411764705881	-0.10396087259204088
consistence	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
role	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0024509803921568627	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
conseedar	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
conseeda	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
connivance	0.01	0.0	0.005	0.0	0.9900000000000004	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
romanticism	0.01	0.0	0.005	0.0	0.9900000000000004	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
conjuror	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
conjunction	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0024509803921568627	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
conflict	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
complication	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0024509803921568627	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
confirmation	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.003676470588235294	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
rose-water	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
rough-looking	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0024509803921568627	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
conductor	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
round-the-corner	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
condonment	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
condensation	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
roysterer	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
roysterers	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
rubbish-heaps	0.01	0.0	0.005	0.0	0.9900000000000004	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
compunction	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
rudy	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
ruffianism	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
comprehension	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.003676470588235294	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
ringlet	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
contemporary	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
rigor	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.004901960784313725	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
contraction	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.003676470588235294	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
repairer	0.01	0.0	0.005	0.0	0.9900000000000003	0.0	0.0012254901960784314	0.01	0.07410933811240385	0.13690757386359526	0.1130283325208901	0.542941176470588	0.5429411764705881	-0.5090799396412	-0.31058538177489914	-0.5219742143140957	-0.4528915138286631	0.5429411764705881	-0.10396087259204088
