	docpropone	docproptwo	zetascores
holmes	0.8214285714285714	0.05194805194805195	0.7694805194805194
sherlock	0.5952380952380952	0.022727272727272728	0.5725108225108225
watson	0.5357142857142857	0.03571428571428571	0.5
case	0.6666666666666666	0.2597402597402597	0.4069264069264069
anything	0.6547619047619048	0.275974025974026	0.3787878787878788
dr.	0.40476190476190477	0.05844155844155844	0.3463203463203463
death	0.6309523809523809	0.288961038961039	0.34199134199134196
henry	0.36904761904761907	0.04220779220779221	0.3268398268398269
quite	0.5357142857142857	0.22077922077922077	0.31493506493506496
street	0.4880952380952381	0.17532467532467533	0.31277056277056275
baskerville	0.30952380952380953	0.0	0.30952380952380953
night	0.8333333333333334	0.525974025974026	0.3073593073593074
mr.	0.5476190476190477	0.2532467532467532	0.29437229437229445
cab	0.30952380952380953	0.01948051948051948	0.29004329004329005
stapleton	0.2857142857142857	0.0	0.2857142857142857
london	0.4642857142857143	0.18181818181818182	0.2824675324675325
moor	0.35714285714285715	0.08116883116883117	0.275974025974026
put	0.8095238095238095	0.5357142857142857	0.27380952380952384
evidently	0.34523809523809523	0.07142857142857142	0.27380952380952384
fellow	0.5714285714285714	0.3116883116883117	0.2597402597402597
mystery	0.35714285714285715	0.09740259740259741	0.2597402597402597
certainly	0.4523809523809524	0.19480519480519481	0.25757575757575757
matter	0.7857142857142857	0.5292207792207793	0.25649350649350644
mortimer	0.25	0.0	0.25
gentleman	0.5	0.25	0.25
affair	0.35714285714285715	0.10714285714285714	0.25
mrs.	0.3333333333333333	0.09740259740259741	0.2359307359307359
expression	0.39285714285714285	0.1590909090909091	0.23376623376623376
course	0.5476190476190477	0.31493506493506496	0.23268398268398272
suppose	0.42857142857142855	0.19805194805194806	0.23051948051948049
rather	0.5833333333333334	0.3538961038961039	0.2294372294372295
surprise	0.44047619047619047	0.21103896103896103	0.22943722943722944
baronet	0.2261904761904762	0.0	0.2261904761904762
detective	0.27380952380952384	0.048701298701298704	0.22510822510822515
fact	0.4523809523809524	0.22727272727272727	0.22510822510822512
hall	0.4642857142857143	0.24025974025974026	0.22402597402597405
appear	0.5476190476190477	0.32792207792207795	0.21969696969696972
dog	0.3333333333333333	0.11363636363636363	0.21969696969696967
able	0.4880952380952381	0.2694805194805195	0.2186147186147186
feel	0.6428571428571429	0.4253246753246753	0.21753246753246758
inside	0.32142857142857145	0.1038961038961039	0.21753246753246755
get	0.8214285714285714	0.6038961038961039	0.21753246753246747
drive	0.5238095238095238	0.30844155844155846	0.21536796536796537
lestrade	0.21428571428571427	0.0	0.21428571428571427
barrymore	0.21428571428571427	0.0	0.21428571428571427
sholto	0.21428571428571427	0.0	0.21428571428571427
hardly	0.5238095238095238	0.3116883116883117	0.21212121212121215
baker	0.21428571428571427	0.006493506493506494	0.20779220779220778
yes	0.6309523809523809	0.4253246753246753	0.2056277056277056
companion	0.5714285714285714	0.36688311688311687	0.20454545454545453
reach	0.5833333333333334	0.37987012987012986	0.2034632034632035
miss	0.3333333333333333	0.12987012987012986	0.20346320346320346
convict	0.20238095238095238	0.0	0.20238095238095238
room	0.6428571428571429	0.44155844155844154	0.20129870129870137
problem	0.27380952380952384	0.07792207792207792	0.19588744588744592
police	0.2857142857142857	0.09090909090909091	0.1948051948051948
report	0.2976190476190476	0.1038961038961039	0.1937229437229437
drebber	0.19047619047619047	0.0	0.19047619047619047
paper	0.4166666666666667	0.22727272727272727	0.18939393939393942
discover	0.27380952380952384	0.08441558441558442	0.18939393939393942
trace	0.34523809523809523	0.15584415584415584	0.1893939393939394
no.	0.25	0.06168831168831169	0.18831168831168832
just	0.6785714285714286	0.4902597402597403	0.18831168831168832
however	0.7976190476190477	0.6103896103896104	0.1872294372294373
return	0.5119047619047619	0.3246753246753247	0.1872294372294372
inquiry	0.23809523809523808	0.05519480519480519	0.1829004329004329
charles	0.23809523809523808	0.05519480519480519	0.1829004329004329
always	0.5357142857142857	0.3538961038961039	0.18181818181818182
observe	0.40476190476190477	0.22402597402597402	0.18073593073593075
question	0.5119047619047619	0.33116883116883117	0.1807359307359307
wrong	0.34523809523809523	0.16558441558441558	0.17965367965367965
morstan	0.17857142857142858	0.0	0.17857142857142858
guess	0.2857142857142857	0.10714285714285714	0.17857142857142855
murder	0.30952380952380953	0.1331168831168831	0.17640692640692643
imagine	0.32142857142857145	0.1461038961038961	0.17532467532467536
n't	0.5476190476190477	0.37337662337662336	0.1742424242424243
consider	0.2619047619047619	0.08766233766233766	0.17424242424242425
particular	0.25	0.07792207792207792	0.17207792207792208
crime	0.2619047619047619	0.09090909090909091	0.170995670995671
doctor	0.2261904761904762	0.05519480519480519	0.170995670995671
suspicion	0.2261904761904762	0.05519480519480519	0.170995670995671
information	0.21428571428571427	0.045454545454545456	0.16883116883116883
window	0.5	0.33116883116883117	0.16883116883116883
importance	0.2619047619047619	0.09415584415584416	0.16774891774891776
difficulty	0.2619047619047619	0.09415584415584416	0.16774891774891776
treasure	0.2261904761904762	0.05844155844155844	0.16774891774891776
grimpen	0.16666666666666666	0.0	0.16666666666666666
point	0.6666666666666666	0.5	0.16666666666666663
confess	0.25	0.08441558441558442	0.16558441558441558
hound	0.23809523809523808	0.07467532467532467	0.1634199134199134
recognize	0.21428571428571427	0.05194805194805195	0.16233766233766234
difficult	0.25	0.09090909090909091	0.1590909090909091
else	0.42857142857142855	0.2694805194805195	0.15909090909090906
about	0.8928571428571429	0.737012987012987	0.1558441558441559
examine	0.25	0.09415584415584416	0.15584415584415584
boot	0.25	0.09415584415584416	0.15584415584415584
exactly	0.2857142857142857	0.12987012987012986	0.15584415584415584
nerve	0.2619047619047619	0.10714285714285714	0.15476190476190477
gregson	0.15476190476190477	0.0	0.15476190476190477
lose	0.5	0.3474025974025974	0.15259740259740262
theory	0.21428571428571427	0.06168831168831169	0.1525974025974026
conclusion	0.21428571428571427	0.06168831168831169	0.1525974025974026
clue	0.17857142857142858	0.025974025974025976	0.1525974025974026
pocket	0.27380952380952384	0.1266233766233766	0.14718614718614723
object	0.2857142857142857	0.1396103896103896	0.1461038961038961
business	0.39285714285714285	0.24675324675324675	0.1461038961038961
die	0.42857142857142855	0.2824675324675325	0.14610389610389607
act	0.2976190476190476	0.1525974025974026	0.14502164502164502
appearance	0.30952380952380953	0.16558441558441558	0.14393939393939395
hotel	0.16666666666666666	0.022727272727272728	0.14393939393939392
stangerson	0.14285714285714285	0.0	0.14285714285714285
depend	0.17857142857142858	0.03571428571428571	0.14285714285714285
thaddeus	0.14285714285714285	0.0	0.14285714285714285
become	0.5	0.35714285714285715	0.14285714285714285
entirely	0.2857142857142857	0.14285714285714285	0.14285714285714285
article	0.15476190476190477	0.012987012987012988	0.14177489177489178
jones	0.15476190476190477	0.012987012987012988	0.14177489177489178
want	0.47619047619047616	0.3344155844155844	0.14177489177489178
kind	0.3333333333333333	0.19155844155844157	0.14177489177489175
chance	0.4880952380952381	0.3474025974025974	0.1406926406926407
evening	0.4166666666666667	0.275974025974026	0.1406926406926407
revolver	0.16666666666666666	0.025974025974025976	0.14069264069264067
o'clock	0.25	0.11038961038961038	0.13961038961038963
since	0.6190476190476191	0.4805194805194805	0.13852813852813856
possession	0.19047619047619047	0.05194805194805195	0.1385281385281385
melancholy	0.16666666666666666	0.032467532467532464	0.1341991341991342
walk	0.5952380952380952	0.461038961038961	0.1341991341991342
stop	0.35714285714285715	0.22402597402597402	0.13311688311688313
criminal	0.17857142857142858	0.045454545454545456	0.13311688311688313
station	0.25	0.11688311688311688	0.13311688311688313
realize	0.21428571428571427	0.08116883116883117	0.1331168831168831
apply	0.14285714285714285	0.00974025974025974	0.1331168831168831
deal	0.2857142857142857	0.1525974025974026	0.1331168831168831
occur	0.2857142857142857	0.1525974025974026	0.1331168831168831
mind	0.75	0.6168831168831169	0.13311688311688308
sure	0.44047619047619047	0.30844155844155846	0.132034632034632
because	0.44047619047619047	0.30844155844155846	0.132034632034632
remember	0.4523809523809524	0.32142857142857145	0.13095238095238093
family	0.32142857142857145	0.19155844155844157	0.12987012987012989
jefferson	0.14285714285714285	0.012987012987012988	0.12987012987012986
circumstance	0.17857142857142858	0.048701298701298704	0.12987012987012986
card	0.19047619047619047	0.06168831168831169	0.12878787878787878
belong	0.19047619047619047	0.06168831168831169	0.12878787878787878
private	0.2261904761904762	0.09740259740259741	0.12878787878787878
story	0.27380952380952384	0.1461038961038961	0.12770562770562774
expect	0.35714285714285715	0.2305194805194805	0.12662337662337664
pretty	0.2857142857142857	0.1590909090909091	0.1266233766233766
discovery	0.15476190476190477	0.02922077922077922	0.12554112554112554
suspect	0.15476190476190477	0.02922077922077922	0.12554112554112554
nothing	0.7261904761904762	0.6006493506493507	0.1255411255411255
track	0.27380952380952384	0.14935064935064934	0.12445887445887449
person	0.27380952380952384	0.14935064935064934	0.12445887445887449
